Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NIACL,2017,20-March,2017-03-20,2017-11-13,2017-11-13,2017-12-01,15.0,331.286,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NIACL,2017,20-September,2017-09-20,2017-11-13,2017-11-13,2017-12-01,15.0,331.286,SUCCESS,375.0,309.25,2017-12-02,2018-01-20,34.0,317.0,2018-01-10,266.55,2017-12-18,-4.31,-19.54,15.23,316.13,-4.57,273.13,-17.55
NIACL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,341.218,SUCCESS,359.5,317.5,2018-04-12,2018-07-20,71.0,382.43,2018-05-30,252.7,2018-07-20,12.08,-25.94,38.02,373.98,9.6,267.55,-21.59
NIACL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,216.26,SUCCESS,240.0,198.0,2018-10-13,2019-01-20,66.0,238.2,2018-11-12,171.2,2018-12-26,10.15,-20.84,30.98,230.3,6.49,176.05,-18.59
NIACL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,188.34,SUCCESS,199.9,178.0,2019-04-11,2019-07-20,67.0,195.45,2019-04-12,128.1,2019-07-19,3.78,-31.98,35.76,191.1,1.47,129.3,-31.35
NIACL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,103.0333,SUCCESS,114.05,95.65,2019-10-15,2020-01-20,67.0,179.15,2019-10-31,94.4,2019-10-15,73.88,-8.38,82.25,170.65,65.63,94.9,-7.89
NIACL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,101.88,SUCCESS,131.25,75.0,2020-04-16,2020-07-20,66.0,138.0,2020-06-09,108.9,2020-06-25,35.45,6.89,28.56,131.7,29.27,110.55,8.51
NIACL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,104.7367,SUCCESS,114.0,101.0,2020-10-13,2021-01-20,69.0,143.8,2021-01-20,99.8,2020-11-04,37.3,-4.71,42.01,138.9,32.62,100.1,-4.43
NIACL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,155.3833,SUCCESS,171.9,145.0,2021-04-14,2021-07-20,66.0,183.0,2021-06-07,142.15,2021-04-19,17.77,-8.52,26.29,176.8,13.78,144.4,-7.07
NIACL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,164.1067,SUCCESS,177.9,160.25,2021-10-09,2022-01-20,71.0,170.0,2021-10-11,133.7,2021-12-23,3.59,-18.53,22.12,165.65,0.94,134.8,-17.86
NIACL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,115.86,SUCCESS,126.9,110.25,2022-04-09,2022-07-20,70.0,123.1,2022-04-11,78.15,2022-07-01,6.25,-32.55,38.8,120.8,4.26,78.6,-32.16
NIACL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,86.4367,SUCCESS,90.9,82.5,2022-10-12,2023-01-20,71.0,142.35,2022-12-20,84.55,2022-10-12,64.69,-2.18,66.87,137.9,59.54,85.25,-1.37
NIACL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,100.69,SUCCESS,107.9,94.6,2023-04-13,2023-07-20,68.0,129.75,2023-05-04,101.55,2023-04-13,28.86,0.85,28.01,126.65,25.78,102.5,1.8
NIACL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,138.8533,SUCCESS,150.8,133.1,2023-10-12,2024-01-20,70.0,261.9,2023-12-01,130.1,2023-10-26,88.62,-6.3,94.92,255.2,83.79,135.55,-2.38
NIACL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,232.52,SUCCESS,248.0,218.0,2024-04-13,2024-07-20,66.0,299.23,2024-07-16,192.45,2024-06-04,28.69,-17.23,45.92,289.92,24.69,200.0,-13.99
NIACL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,224.4673,SUCCESS,245.0,202.01,2024-10-12,2025-01-20,68.0,221.8,2024-12-20,168.8,2024-11-21,-1.19,-24.8,23.61,216.04,-3.75,170.56,-24.02
NIACL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,158.016,SUCCESS,170.57,145.04,2025-04-12,2025-07-20,67.0,208.49,2025-06-11,157.25,2025-04-15,31.94,-0.48,32.43,198.92,25.89,160.36,1.48
NIACL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,192.062,SUCCESS,202.9,185.75,2025-10-14,2026-01-20,67.0,192.56,2025-10-30,143.0,2026-01-20,0.26,-25.54,25.8,190.92,-0.59,143.52,-25.27
NIACL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,133.6893,SUCCESS,180.4,116.97,2026-04-16,2026-07-20,65.0,218.0,2026-06-22,145.5,2026-06-04,63.06,8.83,54.23,212.11,58.66,146.93,9.9
NIACL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
