Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NIBL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,66.6233,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NIBL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,66.6233,SUCCESS,72.0,62.1,2016-01-16,2016-01-20,3.0,60.5,2016-01-18,52.65,2016-01-20,-9.19,-20.97,11.78,60.1,-9.79,57.55,-13.62
NIBL,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-13,15.0,45.5133,SUCCESS,49.9,43.0,2016-04-14,2016-07-20,66.0,49.4,2016-05-02,31.2,2016-05-31,8.54,-31.45,39.99,46.6,2.39,33.05,-27.38
NIBL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,44.3867,SUCCESS,48.0,42.05,2016-10-11,2017-01-20,71.0,51.0,2016-10-20,28.1,2017-01-04,14.9,-36.69,51.59,48.5,9.27,29.45,-33.65
NIBL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,32.38,SUCCESS,34.75,28.3,2017-04-11,2017-07-20,70.0,45.0,2017-05-15,30.5,2017-06-28,38.97,-5.81,44.78,43.2,33.42,31.15,-3.8
NIBL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,29.4767,SUCCESS,31.9,28.1,2017-10-12,2018-01-20,70.0,35.55,2017-10-31,28.05,2017-12-18,20.6,-4.84,25.44,32.3,9.58,28.5,-3.31
NIBL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,22.0167,SUCCESS,26.8,19.0,2018-04-12,2018-07-20,71.0,25.65,2018-04-12,17.1,2018-06-05,16.5,-22.33,38.83,25.25,14.69,17.35,-21.2
NIBL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,25.42,SUCCESS,28.5,23.45,2018-10-13,2019-01-20,65.0,26.7,2018-10-19,21.1,2018-12-27,5.04,-16.99,22.03,26.55,4.45,22.2,-12.67
NIBL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,19.8667,SUCCESS,22.5,18.45,2019-04-11,2019-07-20,66.0,23.85,2019-04-11,7.65,2019-07-19,20.05,-61.49,81.54,22.65,14.01,8.35,-57.97
NIBL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,6.6433,SUCCESS,7.25,5.8,2019-10-15,2020-01-20,67.0,8.4,2019-11-05,5.6,2020-01-17,26.44,-15.7,42.15,8.05,21.17,5.65,-14.95
NIBL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,5.4633,SUCCESS,6.65,4.55,2020-04-16,2020-07-20,63.0,9.5,2020-07-01,3.65,2020-05-19,73.89,-33.19,107.08,9.05,65.65,3.8,-30.45
NIBL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,6.2233,SUCCESS,6.65,6.0,2020-10-13,2021-01-20,54.0,11.35,2020-12-30,4.8,2020-11-04,82.38,-22.87,105.25,11.0,76.75,5.05,-18.85
NIBL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,19.9567,SUCCESS,26.75,14.3,2021-04-14,2021-07-20,66.0,24.35,2021-05-07,16.25,2021-04-26,22.01,-18.57,40.59,24.3,21.76,17.1,-14.31
NIBL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,18.85,SUCCESS,20.0,17.5,2021-10-09,2022-01-20,71.0,34.7,2021-10-18,19.35,2021-10-11,84.08,2.65,81.43,31.65,67.9,20.0,6.1
NIBL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,26.67,SUCCESS,33.35,19.6,2022-04-09,2022-07-20,70.0,27.1,2022-04-12,18.25,2022-06-23,1.61,-31.57,33.18,26.35,-1.2,19.0,-28.76
NIBL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,24.35,SUCCESS,27.3,22.1,2022-10-12,2023-01-20,71.0,24.3,2022-11-01,19.35,2023-01-19,-0.21,-20.53,20.33,23.25,-4.52,19.85,-18.48
NIBL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,17.4333,SUCCESS,24.7,15.2,2023-04-13,2023-07-20,68.0,27.0,2023-06-21,17.5,2023-05-26,54.88,0.38,54.49,25.8,47.99,17.85,2.39
NIBL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,32.3067,SUCCESS,34.65,30.7,2023-10-12,2024-01-20,70.0,51.0,2023-12-20,25.75,2023-11-10,57.86,-20.3,78.16,48.6,50.43,26.5,-17.97
NIBL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,34.35,SUCCESS,37.8,29.1,2024-04-13,2024-07-20,66.0,39.7,2024-07-09,29.8,2024-06-04,15.57,-13.25,28.82,38.02,10.68,31.55,-8.15
NIBL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,34.3673,SUCCESS,37.75,31.0,2024-10-12,2025-01-20,68.0,39.9,2024-10-15,21.2,2025-01-17,16.1,-38.31,54.41,37.01,7.69,21.76,-36.68
NIBL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,22.9033,SUCCESS,28.49,19.5,2025-04-12,2025-07-20,67.0,37.17,2025-06-03,21.51,2025-04-28,62.29,-6.08,68.37,37.17,62.29,21.82,-4.73
NIBL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,28.8393,SUCCESS,32.38,26.15,2025-10-14,2026-01-20,67.0,40.8,2025-12-31,26.01,2025-12-09,41.47,-9.81,51.28,37.84,31.21,26.99,-6.41
NIBL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,28.1693,SUCCESS,30.0,25.3,2026-04-16,2026-07-20,65.0,36.5,2026-05-15,28.91,2026-06-24,29.57,2.63,26.94,34.97,24.14,29.57,4.97
NIBL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
