Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NIITLTD,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,32.1767,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NIITLTD,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,32.1767,SUCCESS,39.09,27.47,2002-01-16,2002-01-20,3.0,36.72,2002-01-18,32.16,2002-01-17,14.12,-0.05,14.17,36.0,11.88,32.79,1.91
NIITLTD,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,32.0947,SUCCESS,39.8,28.96,2002-04-12,2002-07-20,70.0,46.48,2002-04-19,28.15,2002-05-21,44.82,-12.29,57.11,45.29,41.11,29.65,-7.62
NIITLTD,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,17.772,SUCCESS,18.85,16.57,2002-10-12,2003-01-20,67.0,26.33,2002-12-19,15.12,2002-10-29,48.15,-14.92,63.08,25.64,44.27,15.85,-10.81
NIITLTD,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,14.4973,SUCCESS,15.95,12.73,2003-04-09,2003-07-20,70.0,20.8,2003-07-10,12.54,2003-04-17,43.47,-13.5,56.98,20.44,40.99,13.05,-9.98
NIITLTD,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,19.7487,SUCCESS,22.11,18.0,2003-10-14,2004-01-20,71.0,37.84,2004-01-06,18.44,2003-10-23,91.61,-6.63,98.23,37.14,88.06,18.81,-4.75
NIITLTD,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,24.812,SUCCESS,27.25,23.12,2004-04-13,2004-07-20,62.0,27.6,2004-04-13,13.8,2004-05-17,11.24,-44.38,55.62,27.31,10.07,15.1,-39.14
NIITLTD,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,21.1033,SUCCESS,22.51,20.3,2004-10-09,2005-01-20,71.0,26.0,2004-12-24,17.03,2004-10-26,23.2,-19.3,42.51,24.34,15.34,19.97,-5.37
NIITLTD,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,24.5147,SUCCESS,26.62,22.65,2005-04-12,2005-07-20,72.0,36.85,2005-07-20,19.67,2005-05-04,50.32,-19.76,70.08,34.95,42.57,24.5,-0.06
NIITLTD,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,40.7633,SUCCESS,48.09,34.17,2005-10-11,2006-01-20,70.0,46.9,2005-12-08,33.77,2005-10-28,15.05,-17.16,32.21,42.73,4.82,36.41,-10.68
NIITLTD,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,38.682,SUCCESS,41.67,36.8,2006-04-11,2006-07-20,72.0,54.27,2006-05-26,35.24,2006-04-28,40.3,-8.9,49.2,52.11,34.71,37.44,-3.21
NIITLTD,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,43.076,SUCCESS,46.1,41.27,2006-10-12,2007-01-20,69.0,87.74,2007-01-18,40.12,2006-10-19,103.69,-6.86,110.55,78.7,82.7,40.31,-6.42
NIITLTD,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,92.86,SUCCESS,99.7,86.34,2007-04-12,2007-07-20,45.0,139.23,2007-06-06,88.71,2007-04-13,49.94,-4.47,54.4,132.77,42.98,97.13,4.6
NIITLTD,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,25.4033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NIITLTD,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,25.4033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NIITLTD,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,25.4033,SUCCESS,31.0,22.05,2009-01-17,2009-01-20,2.0,24.7,2009-01-20,21.65,2009-01-20,-2.77,-14.77,12.01,23.45,-7.69,22.85,-10.05
NIITLTD,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,21.99,SUCCESS,27.5,19.2,2009-04-16,2009-07-20,66.0,74.6,2009-07-02,23.85,2009-04-16,239.25,8.46,230.79,70.7,221.51,24.35,10.73
NIITLTD,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,71.0933,SUCCESS,77.5,66.25,2009-10-16,2010-01-20,65.0,79.2,2010-01-18,53.4,2009-11-04,11.4,-24.89,36.29,77.15,8.52,54.85,-22.85
NIITLTD,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,61.36,SUCCESS,70.4,56.3,2010-04-14,2010-07-20,69.0,73.95,2010-04-27,57.15,2010-05-27,20.52,-6.86,27.38,73.05,19.05,58.55,-4.58
NIITLTD,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,68.58,SUCCESS,74.45,65.2,2010-10-09,2011-01-20,72.0,71.7,2010-10-22,50.5,2010-12-10,4.55,-26.36,30.91,69.0,0.61,52.0,-24.18
NIITLTD,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,55.0167,SUCCESS,60.6,46.5,2011-04-09,2011-07-20,70.0,59.8,2011-04-27,50.25,2011-05-25,8.69,-8.66,17.36,58.9,7.06,51.85,-5.76
NIITLTD,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,44.49,SUCCESS,47.4,42.1,2011-10-12,2012-01-20,70.0,52.5,2011-10-17,34.45,2011-12-29,18.0,-22.57,40.57,49.8,11.94,34.85,-21.67
NIITLTD,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,50.46,SUCCESS,56.4,47.5,2012-04-12,2012-07-20,72.0,52.45,2012-04-12,37.8,2012-06-28,3.94,-25.09,29.03,49.7,-1.51,38.45,-23.8
NIITLTD,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,33.15,SUCCESS,36.7,30.25,2012-10-12,2013-01-20,67.0,35.75,2012-10-19,26.15,2013-01-18,7.84,-21.12,28.96,34.8,4.98,26.6,-19.76
NIITLTD,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,22.42,SUCCESS,25.45,19.5,2013-04-12,2013-07-20,69.0,25.0,2013-04-29,17.7,2013-07-19,11.51,-21.05,32.56,24.05,7.27,17.95,-19.94
NIITLTD,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,19.19,SUCCESS,21.15,18.4,2013-10-12,2014-01-20,68.0,30.2,2014-01-07,19.1,2013-10-18,57.37,-0.47,57.84,28.95,50.86,19.8,3.18
NIITLTD,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,28.2767,SUCCESS,33.5,25.95,2014-04-10,2014-07-20,44.0,65.7,2014-06-13,30.25,2014-04-16,132.35,6.98,125.37,62.25,120.15,30.65,8.39
NIITLTD,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,94.5267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NIITLTD,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,94.5267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NIITLTD,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,94.5267,SUCCESS,107.4,80.5,2016-01-16,2016-01-20,3.0,83.7,2016-01-18,72.25,2016-01-20,-11.45,-23.57,12.11,78.85,-16.58,75.65,-19.97
NIITLTD,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,79.8967,SUCCESS,84.6,77.1,2016-04-13,2016-07-20,67.0,90.85,2016-07-15,77.2,2016-05-24,13.71,-3.38,17.08,88.95,11.33,77.8,-2.62
NIITLTD,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,97.7533,SUCCESS,107.95,90.0,2016-10-11,2017-01-20,71.0,97.75,2016-10-14,69.1,2016-11-09,-0.0,-29.31,29.31,96.65,-1.13,70.9,-27.47
NIITLTD,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,79.95,SUCCESS,86.1,72.0,2017-04-11,2017-07-20,70.0,94.5,2017-06-22,77.0,2017-04-13,18.2,-3.69,21.89,93.0,16.32,77.95,-2.5
NIITLTD,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,101.0767,SUCCESS,114.65,93.4,2017-10-12,2018-01-20,70.0,119.25,2018-01-12,88.95,2017-12-18,17.98,-12.0,29.98,115.1,13.87,92.55,-8.44
NIITLTD,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,101.0733,SUCCESS,114.5,84.2,2018-04-12,2018-07-20,71.0,124.8,2018-04-23,88.0,2018-07-06,23.47,-12.93,36.41,117.3,16.05,88.7,-12.24
NIITLTD,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,72.4,SUCCESS,90.85,60.6,2018-10-13,2019-01-20,66.0,95.0,2018-12-05,68.2,2018-10-15,31.22,-5.8,37.02,92.8,28.18,71.25,-1.59
NIITLTD,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,94.8867,SUCCESS,116.5,87.2,2019-04-11,2019-07-20,67.0,116.85,2019-04-12,96.15,2019-07-11,23.15,1.33,21.82,114.7,20.88,96.8,2.02
NIITLTD,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,90.41,SUCCESS,96.45,86.0,2019-10-15,2020-01-20,67.0,112.5,2020-01-09,74.0,2019-10-17,24.43,-18.15,42.58,108.8,20.34,78.05,-13.67
NIITLTD,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,75.4767,SUCCESS,93.3,54.0,2020-04-16,2020-07-20,66.0,102.4,2020-07-15,80.15,2020-04-21,35.67,6.19,29.48,97.3,28.91,80.6,6.79
NIITLTD,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,132.7433,SUCCESS,142.75,121.8,2020-10-13,2021-01-20,69.0,210.7,2021-01-06,129.05,2020-10-16,58.73,-2.78,61.51,207.3,56.17,129.7,-2.29
NIITLTD,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,162.7267,SUCCESS,194.4,136.0,2021-04-14,2021-07-20,66.0,319.4,2021-07-05,161.5,2021-04-19,96.28,-0.75,97.03,313.7,92.78,164.85,1.3
NIITLTD,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,350.7133,SUCCESS,387.4,311.5,2021-10-09,2022-01-20,71.0,507.0,2022-01-17,280.15,2021-10-25,44.56,-20.12,64.68,495.65,41.33,285.85,-18.49
NIITLTD,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,592.5333,SUCCESS,658.2,470.95,2022-04-09,2022-07-20,70.0,658.65,2022-04-13,330.4,2022-05-26,11.16,-44.24,55.4,654.15,10.4,352.7,-40.48
NIITLTD,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,315.4633,SUCCESS,334.95,301.7,2022-10-12,2023-01-20,71.0,352.75,2022-12-13,271.0,2022-10-28,11.82,-14.09,25.91,344.75,9.28,274.4,-13.02
NIITLTD,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,339.2267,SUCCESS,377.9,318.5,2023-04-13,2023-07-20,68.0,416.85,2023-05-29,0.0,2023-06-08,22.88,-100.0,122.88,405.4,19.51,80.45,-76.28
NIITLTD,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,122.4167,SUCCESS,130.45,117.0,2023-10-12,2024-01-20,70.0,135.0,2024-01-20,106.0,2023-10-26,10.28,-13.41,23.69,129.4,5.7,109.05,-10.92
