Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NILKAMAL,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-18,15.0,20.5267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NILKAMAL,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-18,15.0,20.5267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NILKAMAL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,18.3033,SUCCESS,20.0,16.6,2002-04-12,2002-07-20,70.0,38.5,2002-07-02,19.05,2002-04-12,110.34,4.08,106.26,34.7,89.58,19.6,7.08
NILKAMAL,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,28.2233,SUCCESS,30.75,27.0,2002-10-12,2003-01-20,67.0,33.8,2002-12-06,25.05,2002-12-17,19.76,-11.24,31.0,31.25,10.72,26.35,-6.64
NILKAMAL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,22.8433,SUCCESS,26.0,21.0,2003-04-09,2003-07-20,70.0,41.4,2003-07-08,22.8,2003-04-30,81.23,-0.19,81.42,38.55,68.76,23.05,0.9
NILKAMAL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,35.3767,SUCCESS,39.0,32.05,2003-10-14,2004-01-20,70.0,74.8,2003-12-26,34.0,2003-10-30,111.44,-3.89,115.33,70.25,98.58,34.35,-2.9
NILKAMAL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,44.5233,SUCCESS,56.0,38.0,2004-04-13,2004-07-20,70.0,63.5,2004-07-19,38.0,2004-05-17,42.62,-14.65,57.27,57.25,28.58,39.35,-11.62
NILKAMAL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,55.9133,SUCCESS,59.85,53.0,2004-10-09,2005-01-20,71.0,86.4,2004-12-30,54.6,2004-10-27,54.52,-2.35,56.87,81.75,46.21,55.25,-1.19
NILKAMAL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,66.0,SUCCESS,72.95,62.1,2005-04-12,2005-07-20,72.0,135.5,2005-06-07,62.0,2005-05-04,105.3,-6.06,111.36,131.1,98.64,62.35,-5.53
NILKAMAL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,145.4567,SUCCESS,173.0,131.0,2005-10-11,2006-01-20,70.0,240.0,2006-01-12,134.95,2005-10-28,65.0,-7.22,72.22,228.05,56.78,135.95,-6.54
