Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NLCINDIA,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,10.47,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NLCINDIA,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,10.47,SUCCESS,11.85,9.7,2002-01-16,2002-01-20,3.0,12.55,2002-01-17,11.6,2002-01-16,19.87,10.79,9.07,11.95,14.14,11.7,11.75
NLCINDIA,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,22.0967,SUCCESS,26.9,18.7,2002-04-12,2002-07-20,70.0,37.75,2002-06-04,19.75,2002-04-19,70.84,-10.62,81.46,37.05,67.67,20.0,-9.49
NLCINDIA,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,19.39,SUCCESS,23.4,16.75,2002-10-12,2003-01-20,67.0,26.4,2002-12-06,19.3,2002-11-12,36.15,-0.46,36.62,25.45,31.25,19.55,0.83
NLCINDIA,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,27.19,SUCCESS,29.7,25.8,2003-04-09,2003-07-20,70.0,47.5,2003-07-03,28.6,2003-04-25,74.7,5.19,69.51,45.55,67.52,28.9,6.29
NLCINDIA,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,44.9233,SUCCESS,57.8,35.55,2003-10-14,2004-01-20,71.0,84.8,2004-01-09,48.85,2003-10-29,88.77,8.74,80.03,79.75,77.52,49.35,9.85
NLCINDIA,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,53.7467,SUCCESS,64.2,35.9,2004-04-13,2004-07-20,70.0,71.9,2004-04-15,37.95,2004-05-17,33.78,-29.39,63.17,68.8,28.01,39.35,-26.79
NLCINDIA,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,58.6833,SUCCESS,66.9,50.4,2004-10-09,2005-01-20,71.0,81.2,2005-01-04,57.55,2004-11-22,38.37,-1.93,40.3,78.0,32.92,58.25,-0.74
NLCINDIA,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,65.9733,SUCCESS,70.8,61.3,2005-04-12,2005-07-20,72.0,87.75,2005-07-20,65.25,2005-04-18,33.01,-1.1,34.1,86.7,31.42,66.75,1.18
NLCINDIA,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,83.2933,SUCCESS,87.35,66.65,2005-10-11,2006-01-20,70.0,85.0,2005-11-23,63.1,2005-10-27,2.05,-24.24,26.29,80.85,-2.93,66.35,-20.34
NLCINDIA,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,76.34,SUCCESS,84.15,72.6,2006-04-11,2006-07-20,72.0,100.2,2006-05-09,44.0,2006-06-14,31.25,-42.36,73.62,95.75,25.43,48.35,-36.66
NLCINDIA,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,66.2333,SUCCESS,71.7,62.4,2006-10-12,2007-01-20,69.0,72.0,2006-11-17,52.6,2006-12-13,8.71,-20.58,29.29,69.0,4.18,54.55,-17.64
NLCINDIA,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,51.8133,SUCCESS,56.25,49.0,2007-04-12,2007-07-20,45.0,70.25,2007-06-04,53.1,2007-04-12,35.58,2.48,33.1,68.55,32.3,54.5,5.19
NLCINDIA,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,69.5333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NLCINDIA,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,69.5333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NLCINDIA,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,69.5333,SUCCESS,76.95,60.4,2009-01-17,2009-01-20,2.0,91.7,2009-01-20,72.35,2009-01-20,31.88,4.05,27.83,87.05,25.19,77.0,10.74
NLCINDIA,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,85.0367,SUCCESS,100.8,71.5,2009-04-16,2009-07-20,66.0,147.1,2009-06-05,83.0,2009-05-13,72.98,-2.4,75.38,144.5,69.93,87.25,2.6
