Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NOIDATOLL,2002,20-March,2002-03-20,2002-12-06,2002-12-06,2003-01-01,15.0,8.3533,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NOIDATOLL,2002,20-September,2002-09-20,2002-12-06,2002-12-06,2003-01-01,15.0,8.3533,SUCCESS,18.0,6.4,2003-01-02,2003-01-20,13.0,8.5,2003-01-02,6.05,2003-01-16,1.76,-27.57,29.33,7.5,-10.22,6.6,-20.99
NOIDATOLL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-21,15.0,6.52,SUCCESS,7.1,5.8,2003-04-22,2003-07-20,61.0,8.8,2003-06-26,6.0,2003-04-25,34.97,-7.98,42.94,8.5,30.37,6.35,-2.61
NOIDATOLL,2003,20-September,2003-09-20,2003-12-08,2003-12-08,2003-12-29,15.0,7.6367,SUCCESS,8.95,6.05,2003-12-30,2004-01-20,16.0,12.7,2004-01-15,6.9,2004-01-08,66.3,-9.65,75.95,11.9,55.83,7.0,-8.34
NOIDATOLL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,6.9633,SUCCESS,7.7,6.35,2004-04-13,2004-07-20,70.0,9.0,2004-04-23,5.7,2004-04-16,29.25,-18.14,47.39,8.35,19.91,6.25,-10.24
NOIDATOLL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,8.1233,SUCCESS,8.6,7.5,2004-10-09,2005-01-20,71.0,18.25,2005-01-12,8.1,2004-10-20,124.66,-0.29,124.95,16.95,108.66,8.75,7.71
NOIDATOLL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,18.1667,SUCCESS,23.25,15.25,2005-04-12,2005-07-20,72.0,32.4,2005-05-23,17.1,2005-05-09,78.35,-5.87,84.22,31.4,72.84,17.75,-2.29
NOIDATOLL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,33.7633,SUCCESS,38.6,30.75,2005-10-11,2006-01-20,70.0,38.0,2006-01-04,28.0,2005-10-21,12.55,-17.07,29.62,36.45,7.96,29.4,-12.92
NOIDATOLL,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,40.53,SUCCESS,45.4,35.3,2006-04-11,2006-07-20,72.0,64.8,2006-05-02,33.1,2006-07-18,59.88,-18.33,78.21,62.2,53.47,34.1,-15.86
NOIDATOLL,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,39.6733,SUCCESS,43.7,37.9,2006-10-12,2007-01-20,69.0,43.3,2006-10-12,32.15,2006-12-12,9.14,-18.96,28.1,42.05,5.99,32.9,-17.07
NOIDATOLL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,24.7433,SUCCESS,28.85,23.5,2007-04-12,2007-07-20,45.0,31.45,2007-05-08,26.3,2007-06-13,27.1,6.29,20.81,30.8,24.48,26.4,6.7
NOIDATOLL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,23.2167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NOIDATOLL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,23.2167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
NOIDATOLL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,23.2167,SUCCESS,28.35,19.8,2009-01-17,2009-01-20,2.0,24.9,2009-01-19,22.55,2009-01-20,7.25,-2.87,10.12,23.6,1.65,23.2,-0.07
NOIDATOLL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,25.2633,SUCCESS,30.1,21.65,2009-04-16,2009-07-20,66.0,48.5,2009-06-15,25.45,2009-04-17,91.98,0.74,91.24,46.8,85.25,25.85,2.32
NOIDATOLL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,40.7067,SUCCESS,42.9,38.8,2009-10-16,2010-01-20,65.0,45.9,2009-10-21,32.1,2009-11-03,12.76,-21.14,33.9,45.2,11.04,32.4,-20.41
NOIDATOLL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,33.68,SUCCESS,34.9,32.25,2010-04-14,2010-07-20,69.0,35.0,2010-04-28,26.75,2010-05-27,3.92,-20.58,24.5,34.3,1.84,26.85,-20.28
