Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
NRAIL,2017,20-March,2017-03-20,2017-04-05,2017-04-05,2017-04-26,15.0,267.9167,SUCCESS,304.0,223.0,2017-04-27,2017-07-20,59.0,345.0,2017-05-16,267.0,2017-04-27,28.77,-0.34,29.11,334.5,24.85,270.55,0.98
NRAIL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,275.19,SUCCESS,304.0,250.0,2017-10-12,2018-01-20,70.0,600.0,2018-01-15,267.0,2017-10-23,118.03,-2.98,121.01,578.55,110.24,268.9,-2.29
NRAIL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,456.4333,SUCCESS,517.8,401.0,2018-04-12,2018-07-20,71.0,549.0,2018-04-19,336.8,2018-06-28,20.28,-26.21,46.49,531.9,16.53,345.0,-24.41
NRAIL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,478.7767,SUCCESS,590.0,411.7,2018-10-13,2019-01-20,66.0,532.0,2018-10-30,358.0,2019-01-18,11.12,-25.23,36.34,523.65,9.37,360.6,-24.68
NRAIL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,318.7133,SUCCESS,360.0,295.0,2019-04-11,2019-07-20,67.0,351.0,2019-05-13,154.1,2019-07-19,10.13,-51.65,61.78,338.6,6.24,156.7,-50.83
NRAIL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,252.4367,SUCCESS,292.0,221.0,2019-10-15,2020-01-20,67.0,292.5,2020-01-13,192.5,2019-12-27,15.87,-23.74,39.61,273.35,8.28,197.4,-21.8
NRAIL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,151.5833,SUCCESS,190.45,123.3,2020-04-16,2020-07-20,66.0,258.0,2020-06-30,156.55,2020-05-27,70.2,3.28,66.93,228.55,50.78,159.15,4.99
NRAIL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,188.24,SUCCESS,200.0,174.0,2020-10-13,2021-01-20,69.0,243.8,2020-12-21,171.5,2020-10-14,29.52,-8.89,38.41,234.3,24.47,172.85,-8.18
NRAIL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,237.2767,SUCCESS,259.0,217.0,2021-04-14,2021-07-20,66.0,275.0,2021-05-25,193.85,2021-04-22,15.9,-18.3,34.2,256.25,8.0,204.05,-14.0
NRAIL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,322.94,SUCCESS,361.0,305.4,2021-10-09,2022-01-20,70.0,345.5,2021-10-12,227.7,2021-11-29,6.99,-29.49,36.48,338.9,4.94,233.7,-27.63
NRAIL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,274.8733,SUCCESS,303.0,256.9,2022-04-09,2022-07-20,70.0,302.0,2022-04-18,200.2,2022-06-20,9.87,-27.17,37.04,294.45,7.12,205.1,-25.38
NRAIL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,388.6433,SUCCESS,427.9,349.0,2022-10-12,2023-01-20,71.0,424.9,2022-10-13,261.25,2022-12-26,9.33,-32.78,42.11,416.95,7.28,270.5,-30.4
NRAIL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,214.1467,SUCCESS,228.9,196.25,2023-04-13,2023-07-20,68.0,322.7,2023-06-08,223.6,2023-04-17,50.69,4.41,46.28,308.0,43.83,227.95,6.45
NRAIL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,366.87,SUCCESS,383.85,347.0,2023-10-12,2024-01-20,70.0,525.8,2024-01-20,330.1,2023-10-25,43.32,-10.02,53.34,513.65,40.01,337.0,-8.14
NRAIL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,468.78,SUCCESS,506.5,408.0,2024-04-13,2024-07-20,66.0,548.0,2024-06-24,364.05,2024-06-04,16.9,-22.34,39.24,527.35,12.49,388.8,-17.06
NRAIL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,366.8367,SUCCESS,415.05,343.0,2024-10-12,2025-01-20,68.0,390.65,2024-12-17,318.0,2024-10-25,6.49,-13.31,19.8,382.85,4.37,328.2,-10.53
NRAIL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,231.8567,SUCCESS,258.0,205.75,2025-04-12,2025-07-20,67.0,393.0,2025-07-02,225.1,2025-05-08,69.5,-2.91,72.42,385.55,66.29,227.99,-1.67
NRAIL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,420.0633,SUCCESS,483.05,357.3,2025-10-14,2026-01-20,67.0,514.0,2025-11-14,428.0,2025-10-15,22.36,1.89,20.47,506.45,20.57,431.55,2.73
NRAIL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,419.8733,SUCCESS,489.0,385.0,2026-04-16,2026-07-20,65.0,519.0,2026-05-06,401.2,2026-07-08,23.61,-4.45,28.06,506.0,20.51,407.8,-2.88
NRAIL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
