Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
OBCL,2022,20-March,2022-03-20,2022-04-07,2022-04-07,2022-04-29,15.0,152.6567,SUCCESS,164.8,140.05,2022-04-30,2022-07-20,57.0,145.9,2022-05-02,105.0,2022-07-20,-4.43,-31.22,26.79,138.4,-9.34,108.55,-28.89
OBCL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,99.8033,SUCCESS,104.6,95.75,2022-10-12,2023-01-20,71.0,109.6,2022-11-02,74.25,2022-10-27,9.82,-25.6,35.42,105.1,5.31,74.95,-24.9
OBCL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,54.5433,SUCCESS,63.05,48.2,2023-04-13,2023-07-20,68.0,68.8,2023-04-13,48.6,2023-07-19,26.14,-10.9,37.03,63.15,15.78,49.35,-9.52
OBCL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,50.9667,SUCCESS,57.35,48.05,2023-10-12,2024-01-20,70.0,71.7,2023-10-23,52.05,2023-10-19,40.68,2.13,38.55,67.9,33.22,52.55,3.11
OBCL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,52.62,SUCCESS,56.8,46.5,2024-04-13,2024-07-20,66.0,69.0,2024-06-27,50.0,2024-04-19,31.13,-4.98,36.11,61.95,17.73,51.0,-3.08
OBCL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,56.9093,SUCCESS,61.38,54.52,2024-10-12,2025-01-20,68.0,62.8,2024-12-06,55.01,2024-11-19,10.35,-3.34,13.69,61.19,7.52,55.16,-3.07
OBCL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,52.468,SUCCESS,57.0,49.56,2025-04-12,2025-07-20,67.0,60.0,2025-04-23,51.66,2025-07-14,14.36,-1.54,15.9,56.38,7.46,52.27,-0.38
OBCL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,55.6727,SUCCESS,59.69,54.1,2025-10-14,2026-01-20,67.0,59.6,2025-12-19,53.0,2025-10-31,7.05,-4.8,11.86,58.6,5.26,53.4,-4.08
OBCL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,55.826,SUCCESS,61.06,54.01,2026-04-16,2026-07-20,65.0,62.0,2026-06-11,49.0,2026-06-03,11.06,-12.23,23.29,59.89,7.28,50.87,-8.88
OBCL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
