Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
OBEROIRLTY,2010,20-March,2010-03-20,2010-10-20,2010-10-20,2010-11-09,15.0,286.9833,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
OBEROIRLTY,2010,20-September,2010-09-20,2010-10-20,2010-10-20,2010-11-09,15.0,286.9833,SUCCESS,306.35,271.1,2010-11-10,2011-01-20,50.0,292.3,2010-11-10,216.0,2010-11-25,1.85,-24.73,26.59,286.75,-0.08,241.9,-15.71
OBEROIRLTY,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,242.9433,SUCCESS,263.95,215.35,2011-04-09,2011-07-20,70.0,272.2,2011-04-21,215.0,2011-05-30,12.04,-11.5,23.54,262.7,8.13,220.15,-9.38
OBEROIRLTY,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,226.6933,SUCCESS,250.0,218.0,2011-10-12,2012-01-20,70.0,263.85,2012-01-17,201.55,2011-12-01,16.39,-11.09,27.48,252.4,11.34,205.7,-9.26
OBEROIRLTY,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,268.3867,SUCCESS,284.0,240.4,2012-04-12,2012-07-20,72.0,287.2,2012-04-18,225.55,2012-07-12,7.01,-15.96,22.97,273.35,1.85,231.55,-13.73
OBEROIRLTY,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,260.27,SUCCESS,284.0,227.15,2012-10-12,2013-01-20,67.0,319.8,2013-01-18,255.9,2012-10-30,22.87,-1.68,24.55,316.65,21.66,263.25,1.14
OBEROIRLTY,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,256.1933,SUCCESS,284.75,225.2,2013-04-12,2013-07-20,69.0,284.4,2013-05-20,191.0,2013-06-26,11.01,-25.45,36.46,260.4,1.64,191.65,-25.19
OBEROIRLTY,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,170.73,SUCCESS,183.8,163.0,2013-10-12,2014-01-20,68.0,244.7,2014-01-06,168.5,2013-10-17,43.33,-1.31,44.63,237.7,39.23,170.3,-0.25
OBEROIRLTY,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,213.8,SUCCESS,234.4,197.65,2014-04-10,2014-07-20,44.0,276.4,2014-06-09,197.55,2014-05-08,29.28,-7.6,36.88,274.3,28.3,199.75,-6.57
OBEROIRLTY,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,265.5933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
OBEROIRLTY,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,265.5933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
OBEROIRLTY,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,265.5933,SUCCESS,279.55,250.0,2016-01-16,2016-01-20,3.0,264.8,2016-01-18,231.4,2016-01-20,-0.3,-12.87,12.58,248.3,-6.51,237.5,-10.58
OBEROIRLTY,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,236.0633,SUCCESS,244.8,229.6,2016-04-13,2016-07-20,67.0,316.25,2016-07-07,235.0,2016-04-13,33.97,-0.45,34.42,309.6,31.15,237.05,0.42
OBEROIRLTY,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,300.7767,SUCCESS,339.0,283.0,2016-10-11,2017-01-20,71.0,377.9,2016-11-03,248.3,2016-11-15,25.64,-17.45,43.09,362.25,20.44,261.65,-13.01
OBEROIRLTY,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,375.83,SUCCESS,396.4,360.2,2017-04-11,2017-07-20,70.0,416.0,2017-05-05,335.3,2017-06-28,10.69,-10.78,21.47,411.65,9.53,344.5,-8.34
OBEROIRLTY,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,418.3767,SUCCESS,439.9,401.0,2017-10-12,2018-01-20,70.0,562.35,2018-01-12,405.05,2017-10-12,34.41,-3.19,37.6,555.25,32.72,419.55,0.28
OBEROIRLTY,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,498.82,SUCCESS,538.8,467.0,2018-04-12,2018-07-20,71.0,610.0,2018-04-24,450.5,2018-07-19,22.29,-9.69,31.98,577.15,15.7,457.4,-8.3
OBEROIRLTY,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,397.11,SUCCESS,459.95,351.35,2018-10-13,2019-01-20,66.0,492.0,2018-12-18,366.1,2018-10-19,23.9,-7.81,31.7,483.45,21.74,373.25,-6.01
OBEROIRLTY,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,530.9667,SUCCESS,572.8,492.3,2019-04-11,2019-07-20,67.0,641.7,2019-07-04,487.05,2019-05-09,20.86,-8.27,29.13,623.75,17.47,492.35,-7.27
OBEROIRLTY,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,508.6667,SUCCESS,562.0,467.25,2019-10-15,2020-01-20,67.0,573.0,2020-01-15,486.05,2019-10-24,12.65,-4.45,17.09,558.45,9.79,492.05,-3.27
OBEROIRLTY,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,350.7933,SUCCESS,452.75,291.4,2020-04-16,2020-07-20,66.0,435.0,2020-04-20,290.0,2020-05-22,24.0,-17.33,41.33,391.7,11.66,292.9,-16.5
OBEROIRLTY,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,400.13,SUCCESS,433.0,370.1,2020-10-13,2021-01-20,69.0,628.0,2021-01-07,370.05,2020-10-13,56.95,-7.52,64.47,595.15,48.74,383.15,-4.24
OBEROIRLTY,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,573.0933,SUCCESS,608.5,541.6,2021-04-14,2021-07-20,66.0,729.0,2021-07-15,515.1,2021-04-23,27.2,-10.12,37.32,714.85,24.74,521.6,-8.99
OBEROIRLTY,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,875.99,SUCCESS,989.5,705.55,2021-10-09,2022-01-20,71.0,1051.9,2021-11-03,770.0,2021-12-20,20.08,-12.1,32.18,1035.5,18.21,800.7,-8.59
OBEROIRLTY,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,948.5167,SUCCESS,1016.0,888.65,2022-04-09,2022-07-20,70.0,1021.5,2022-04-13,725.95,2022-06-20,7.69,-23.46,31.16,1001.2,5.55,737.65,-22.23
OBEROIRLTY,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,942.2267,SUCCESS,1051.3,878.3,2022-10-12,2023-01-20,71.0,976.9,2022-12-02,802.4,2022-12-26,3.68,-14.84,18.52,960.8,1.97,816.9,-13.3
OBEROIRLTY,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,860.99,SUCCESS,927.0,814.3,2023-04-13,2023-07-20,68.0,1091.55,2023-07-20,869.3,2023-04-21,26.78,0.97,25.81,1080.0,25.44,873.35,1.44
OBEROIRLTY,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,1131.1033,SUCCESS,1169.0,1073.65,2023-10-12,2024-01-20,70.0,1585.55,2024-01-15,1051.1,2023-10-26,40.18,-7.07,47.25,1570.15,38.82,1069.4,-5.46
OBEROIRLTY,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1499.18,SUCCESS,1586.8,1352.5,2024-04-13,2024-07-20,66.0,1953.05,2024-06-14,1359.25,2024-04-19,30.27,-9.33,39.61,1934.9,29.06,1394.65,-6.97
OBEROIRLTY,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1867.44,SUCCESS,1970.0,1714.05,2024-10-12,2025-01-20,68.0,2343.65,2024-12-27,1884.25,2024-10-18,25.5,0.9,24.6,2322.65,24.38,1903.7,1.94
OBEROIRLTY,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1592.68,SUCCESS,1704.25,1452.0,2025-04-12,2025-07-20,67.0,2005.0,2025-06-25,1510.0,2025-05-09,25.89,-5.19,31.08,1989.0,24.88,1534.2,-3.67
OBEROIRLTY,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1609.1267,SUCCESS,1697.7,1563.5,2025-10-14,2026-01-20,67.0,1833.7,2025-11-04,1505.4,2026-01-20,13.96,-6.45,20.4,1807.5,12.33,1523.8,-5.3
OBEROIRLTY,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,1539.3533,SUCCESS,1720.0,1391.2,2026-04-16,2026-07-20,65.0,1986.1,2026-07-06,1571.0,2026-05-18,29.02,2.06,26.97,1953.4,26.9,1582.7,2.82
OBEROIRLTY,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
