Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
OFSS,2002,20-March,2002-03-20,2002-06-28,2002-06-28,2002-07-18,15.0,259.1607,SUCCESS,277.9,246.83,2002-07-19,2002-07-20,1.0,254.4,2002-07-19,247.5,2002-07-19,-1.84,-4.5,2.66,251.95,-2.78,251.95,-2.78
OFSS,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,286.3513,SUCCESS,311.25,235.0,2002-10-12,2003-01-20,67.0,469.2,2003-01-20,261.78,2002-10-30,63.85,-8.58,72.44,461.55,61.18,297.0,3.72
OFSS,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,457.6687,SUCCESS,500.0,428.5,2003-04-09,2003-07-20,70.0,684.0,2003-07-10,400.6,2003-04-10,49.45,-12.47,61.92,671.23,46.66,415.3,-9.26
OFSS,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,760.4867,SUCCESS,825.0,722.1,2003-10-14,2004-01-20,71.0,895.0,2003-12-30,635.05,2003-10-30,17.69,-16.49,34.18,872.5,14.73,646.35,-15.01
OFSS,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,582.5833,SUCCESS,620.0,542.65,2004-04-13,2004-07-20,70.0,627.0,2004-04-15,340.0,2004-05-17,7.62,-41.64,49.26,607.25,4.23,410.4,-29.56
OFSS,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,644.12,SUCCESS,669.65,610.05,2004-10-09,2005-01-20,71.0,682.0,2005-01-05,520.0,2004-10-14,5.88,-19.27,25.15,674.1,4.65,528.8,-17.9
OFSS,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,593.96,SUCCESS,621.8,571.1,2005-04-12,2005-07-20,72.0,893.0,2005-07-18,540.05,2005-04-19,50.35,-9.08,59.42,883.6,48.76,553.15,-6.87
OFSS,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,971.9333,SUCCESS,1018.25,901.55,2005-10-11,2006-01-20,70.0,1153.0,2006-01-16,821.55,2005-10-28,18.63,-15.47,34.1,1143.6,17.66,861.5,-11.36
OFSS,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,1345.09,SUCCESS,1437.95,1235.0,2006-04-11,2006-07-20,72.0,1456.9,2006-04-12,832.0,2006-06-08,8.31,-38.15,46.46,1409.75,4.81,859.7,-36.09
OFSS,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,1437.2733,SUCCESS,1499.0,1420.3,2006-10-12,2007-01-20,69.0,2170.0,2007-01-17,1432.2,2006-10-17,50.98,-0.35,51.33,2147.6,49.42,1440.15,0.2
OFSS,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,2052.0133,SUCCESS,2208.0,1899.0,2007-04-12,2007-07-20,45.0,2542.0,2007-04-27,2101.0,2007-04-12,23.88,2.39,21.49,2522.4,22.92,2175.65,6.03
OFSS,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,463.9433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
OFSS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,463.9433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
OFSS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,463.9433,SUCCESS,500.0,416.0,2009-01-17,2009-01-20,2.0,457.7,2009-01-19,435.0,2009-01-20,-1.35,-6.24,4.89,447.3,-3.59,438.8,-5.42
OFSS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,766.8833,SUCCESS,867.0,685.1,2009-04-16,2009-07-20,66.0,1375.0,2009-06-24,775.0,2009-04-16,79.3,1.06,78.24,1339.05,74.61,805.2,5.0
OFSS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,1905.19,SUCCESS,2198.6,1717.0,2009-10-16,2010-01-20,65.0,2525.0,2010-01-18,1912.0,2009-11-04,32.53,0.36,32.18,2475.3,29.92,1975.4,3.69
