Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
OMKARCHEM,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,20.6433,SUCCESS,28.75,12.74,2011-04-09,2011-07-20,70.0,39.7,2011-07-20,22.03,2011-06-07,92.31,6.72,85.6,39.58,91.73,23.28,12.77
OMKARCHEM,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,32.662,SUCCESS,35.5,29.33,2011-10-12,2012-01-20,70.0,35.47,2011-10-25,25.39,2012-01-06,8.6,-22.26,30.86,33.05,1.19,25.82,-20.95
OMKARCHEM,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,28.9193,SUCCESS,36.96,26.28,2012-04-12,2012-07-20,72.0,38.47,2012-04-20,28.08,2012-06-14,33.03,-2.9,35.93,36.91,27.63,30.79,6.47
OMKARCHEM,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,41.3373,SUCCESS,45.02,37.99,2012-10-12,2013-01-20,67.0,71.28,2013-01-17,42.24,2012-10-12,72.43,2.18,70.25,70.3,70.06,43.32,4.8
OMKARCHEM,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,54.4593,SUCCESS,60.38,46.08,2013-04-12,2013-07-20,69.0,64.61,2013-07-11,50.16,2013-04-23,18.64,-7.89,26.53,59.83,9.86,51.02,-6.32
OMKARCHEM,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,34.9173,SUCCESS,35.98,33.26,2013-10-12,2014-01-20,68.0,58.39,2014-01-16,35.28,2013-10-14,67.22,1.04,66.18,57.72,65.3,37.82,8.31
OMKARCHEM,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,69.2533,SUCCESS,72.0,66.24,2014-04-10,2014-07-20,44.0,69.6,2014-04-10,49.97,2014-05-12,0.5,-27.84,28.35,68.33,-1.33,51.84,-25.14
OMKARCHEM,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,109.8233,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
OMKARCHEM,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,109.8233,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
OMKARCHEM,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,109.8233,SUCCESS,119.95,101.76,2016-01-16,2016-01-20,3.0,102.72,2016-01-18,86.21,2016-01-20,-6.47,-21.5,15.03,94.22,-14.21,88.54,-19.38
OMKARCHEM,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,85.4693,SUCCESS,93.1,77.04,2016-04-13,2016-07-20,67.0,94.9,2016-04-13,68.88,2016-07-15,11.03,-19.41,30.44,92.35,8.05,70.13,-17.95
OMKARCHEM,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,84.6427,SUCCESS,93.53,77.33,2016-10-11,2017-01-20,71.0,90.24,2016-10-17,58.15,2016-11-09,6.61,-31.3,37.91,86.76,2.5,69.5,-17.89
OMKARCHEM,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,74.8447,SUCCESS,78.86,72.26,2017-04-11,2017-07-20,70.0,121.9,2017-07-14,74.35,2017-06-23,62.87,-0.66,63.53,116.35,55.46,75.45,0.81
OMKARCHEM,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,81.0933,SUCCESS,91.05,73.8,2017-10-12,2018-01-20,70.0,85.6,2017-10-12,70.4,2018-01-19,5.56,-13.19,18.74,83.0,2.35,71.95,-11.28
OMKARCHEM,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,35.75,SUCCESS,39.8,32.75,2018-04-12,2018-07-20,71.0,34.9,2018-04-12,12.05,2018-07-20,-2.38,-66.29,63.92,33.75,-5.59,12.05,-66.29
OMKARCHEM,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,11.1267,SUCCESS,13.0,10.1,2018-10-13,2019-01-20,66.0,29.25,2019-01-18,8.4,2018-10-29,162.88,-24.51,187.39,28.6,157.04,8.7,-21.81
OMKARCHEM,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,17.28,SUCCESS,19.0,15.2,2019-04-11,2019-07-20,67.0,18.65,2019-04-15,6.2,2019-07-17,7.93,-64.12,72.05,17.8,3.01,6.25,-63.83
OMKARCHEM,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,6.1633,SUCCESS,7.3,5.05,2019-10-15,2020-01-20,67.0,5.4,2019-10-15,3.25,2019-12-17,-12.39,-47.27,34.88,5.1,-17.25,3.4,-44.84
OMKARCHEM,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,2.5567,SUCCESS,2.95,2.25,2020-04-16,2020-07-20,66.0,6.5,2020-07-06,2.8,2020-04-16,154.24,9.52,144.72,6.4,150.33,2.8,9.52
OMKARCHEM,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,7.1567,SUCCESS,8.15,6.55,2020-10-13,2021-01-20,46.0,11.7,2020-12-10,5.4,2020-10-21,63.48,-24.55,88.03,11.15,55.8,5.5,-23.15
OMKARCHEM,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-05-17,15.0,11.45,SUCCESS,13.4,9.65,2021-05-18,2021-07-20,29.0,11.15,2021-07-20,7.65,2021-07-09,-2.62,-33.19,30.57,11.15,-2.62,8.05,-29.69
OMKARCHEM,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,16.9067,SUCCESS,19.5,15.65,2021-10-09,2022-01-20,71.0,47.0,2021-12-13,18.05,2021-11-01,178.0,6.76,171.23,45.1,166.76,19.0,12.38
OMKARCHEM,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,33.7,SUCCESS,39.45,29.45,2022-04-09,2022-07-20,70.0,40.25,2022-04-11,19.3,2022-06-21,19.44,-42.73,62.17,37.5,11.28,19.9,-40.95
OMKARCHEM,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,19.4367,SUCCESS,22.15,17.75,2022-10-12,2023-01-20,71.0,32.3,2022-10-28,11.7,2022-10-18,66.18,-39.8,105.99,30.8,58.46,13.2,-32.09
OMKARCHEM,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-05-10,15.0,9.37,SUCCESS,25.2,7.15,2023-05-11,2023-07-20,46.0,12.45,2023-07-14,6.8,2023-05-30,32.87,-27.43,60.3,11.9,27.0,7.05,-24.76
OMKARCHEM,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,9.5967,SUCCESS,11.9,7.45,2023-10-12,2024-01-20,70.0,10.35,2023-10-12,7.8,2023-11-01,7.85,-18.72,26.57,10.35,7.85,8.0,-16.64
OMKARCHEM,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,6.6733,SUCCESS,8.2,5.85,2024-04-16,2024-07-20,65.0,8.53,2024-07-19,6.15,2024-06-05,27.82,-7.84,35.66,8.53,27.82,6.3,-5.59
OMKARCHEM,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,9.1193,SUCCESS,10.14,8.25,2024-10-12,2025-01-20,33.0,11.12,2024-11-11,7.53,2024-12-30,21.94,-17.43,39.37,10.68,17.11,7.53,-17.43
OMKARCHEM,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,6.052,SUCCESS,7.29,5.45,2025-04-12,2025-07-20,42.0,7.91,2025-06-05,5.01,2025-05-09,30.7,-17.22,47.92,7.81,29.05,5.25,-13.25
