Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ONEPOINT,2019,20-March,2019-03-20,2019-05-09,2019-05-09,2019-05-29,15.0,4.722,SUCCESS,6.0,4.03,2019-05-30,2019-07-20,36.0,4.89,2019-05-31,2.55,2019-07-17,3.56,-46.0,49.56,4.79,1.44,2.73,-42.19
ONEPOINT,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,2.296,SUCCESS,2.86,1.88,2019-10-15,2020-01-20,67.0,2.37,2019-10-15,0.99,2019-12-02,3.22,-56.88,60.1,2.19,-4.62,1.05,-54.27
ONEPOINT,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-16,15.0,1.7627,SUCCESS,2.2,1.39,2020-04-17,2020-07-20,65.0,2.0,2020-06-11,1.33,2020-07-17,13.46,-24.55,38.01,1.92,8.93,1.44,-18.31
ONEPOINT,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,1.49,SUCCESS,1.64,1.37,2020-10-13,2021-01-20,70.0,2.93,2021-01-05,1.4,2020-10-14,96.64,-6.04,102.68,2.81,88.59,1.41,-5.37
ONEPOINT,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,1.642,SUCCESS,1.81,1.52,2021-04-14,2021-07-20,66.0,7.35,2021-07-16,1.41,2021-04-19,347.62,-14.13,361.75,7.0,326.31,1.56,-4.99
ONEPOINT,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,4.346,SUCCESS,5.06,3.94,2021-10-09,2022-01-20,71.0,14.75,2022-01-20,4.18,2021-10-12,239.39,-3.82,243.21,14.05,223.29,4.32,-0.6
ONEPOINT,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,11.7167,SUCCESS,13.25,10.7,2022-04-09,2022-07-20,70.0,13.9,2022-04-19,9.05,2022-06-17,18.63,-22.76,41.39,13.5,15.22,9.8,-16.36
ONEPOINT,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,11.2633,SUCCESS,15.5,9.6,2022-10-12,2023-01-20,71.0,19.1,2022-11-29,13.25,2022-10-12,69.58,17.64,51.94,18.75,66.47,14.0,24.3
ONEPOINT,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,18.5267,SUCCESS,19.75,16.55,2023-04-13,2023-07-20,68.0,24.4,2023-07-18,17.8,2023-04-13,31.7,-3.92,35.62,23.85,28.73,18.05,-2.57
ONEPOINT,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,34.4233,SUCCESS,37.8,28.1,2023-10-12,2024-01-20,70.0,69.95,2024-01-20,31.4,2023-10-31,103.21,-8.78,111.99,67.45,95.94,31.75,-7.77
ONEPOINT,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,52.72,SUCCESS,56.0,44.65,2024-04-16,2024-07-20,65.0,77.2,2024-07-05,48.2,2024-05-13,46.43,-8.57,55.01,75.8,43.78,49.6,-5.92
ONEPOINT,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,69.1127,SUCCESS,74.28,63.21,2024-10-12,2025-01-20,68.0,68.09,2024-11-08,49.6,2025-01-14,-1.48,-28.23,26.75,67.3,-2.62,50.71,-26.63
ONEPOINT,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,48.4193,SUCCESS,59.25,41.01,2025-04-12,2025-07-20,67.0,69.99,2025-05-20,47.55,2025-06-16,44.55,-1.8,46.35,69.33,43.19,49.48,2.19
ONEPOINT,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,46.524,SUCCESS,51.2,42.12,2025-10-14,2026-01-20,67.0,59.55,2026-01-19,41.8,2025-10-17,28.0,-10.15,38.15,57.7,24.02,44.54,-4.26
ONEPOINT,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,46.8373,SUCCESS,53.78,40.58,2026-04-16,2026-07-20,65.0,65.85,2026-05-29,51.56,2026-04-30,40.59,10.08,30.51,64.5,37.71,52.81,12.75
ONEPOINT,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
