Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ORISSAMINE,2010,20-March,2010-03-20,2010-09-29,2010-09-29,2010-10-19,15.0,4488.5953,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ORISSAMINE,2010,20-September,2010-09-20,2010-09-29,2010-09-29,2010-10-19,15.0,4488.5953,SUCCESS,5913.63,3336.14,2010-10-20,2011-01-20,65.0,9220.0,2010-11-15,4804.68,2011-01-17,105.41,7.04,98.37,8909.94,98.5,5021.43,11.87
ORISSAMINE,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,5329.068,SUCCESS,6734.4,4750.0,2011-04-09,2011-07-20,70.0,6385.0,2011-07-06,4400.0,2011-05-30,19.81,-17.43,37.25,6289.7,18.03,4469.94,-16.12
ORISSAMINE,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,4545.866,SUCCESS,5130.0,4229.9,2011-10-12,2012-01-20,70.0,5064.9,2011-11-09,2660.01,2011-12-19,11.42,-41.49,52.9,4934.49,8.55,2730.31,-39.94
ORISSAMINE,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,3501.1907,SUCCESS,3780.0,3305.0,2012-04-12,2012-07-20,72.0,3716.89,2012-04-12,2550.0,2012-06-04,6.16,-27.17,33.33,3631.33,3.72,2584.95,-26.17
ORISSAMINE,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,4495.792,SUCCESS,4768.0,4311.2,2012-10-12,2013-01-20,67.0,4975.6,2012-10-18,3505.0,2012-11-21,10.67,-22.04,32.71,4862.6,8.16,3529.2,-21.5
ORISSAMINE,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,2596.1333,SUCCESS,2948.0,2300.0,2013-04-12,2013-07-20,69.0,3115.0,2013-05-10,1814.0,2013-06-26,19.99,-30.13,50.11,3038.8,17.05,1840.65,-29.1
ORISSAMINE,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,1875.5833,SUCCESS,1992.0,1801.0,2013-10-12,2014-01-20,68.0,2440.0,2013-11-25,1860.0,2013-10-17,30.09,-0.83,30.92,2392.0,27.53,1868.95,-0.35
ORISSAMINE,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,2252.63,SUCCESS,2460.0,2135.0,2014-04-10,2014-07-20,44.0,5172.95,2014-06-11,2210.0,2014-05-08,129.64,-1.89,131.53,4899.45,117.5,2234.0,-0.83
ORISSAMINE,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,1884.6533,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ORISSAMINE,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,1884.6533,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ORISSAMINE,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,1884.6533,SUCCESS,2007.45,1732.0,2016-01-16,2016-01-20,3.0,1760.0,2016-01-18,1642.9,2016-01-20,-6.61,-12.83,6.21,1697.4,-9.94,1642.9,-12.83
ORISSAMINE,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,1996.7867,SUCCESS,2295.0,1741.25,2016-04-13,2016-07-20,67.0,2408.0,2016-06-03,1800.0,2016-05-25,20.59,-9.86,30.45,2266.15,13.49,1816.8,-9.01
ORISSAMINE,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,2050.8767,SUCCESS,2210.45,1900.0,2016-10-11,2017-01-20,71.0,2694.0,2016-11-01,1916.25,2016-11-09,31.36,-6.56,37.92,2616.95,27.6,1983.05,-3.31
ORISSAMINE,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,2132.2433,SUCCESS,2259.95,2046.0,2017-04-11,2017-07-20,70.0,2278.85,2017-04-11,1860.3,2017-06-27,6.88,-12.75,19.63,2212.35,3.76,1880.7,-11.8
ORISSAMINE,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,1761.22,SUCCESS,1905.0,1720.1,2017-10-12,2018-01-20,70.0,2345.0,2017-11-07,1696.95,2017-10-16,33.15,-3.65,36.8,2263.0,28.49,1708.4,-3.0
ORISSAMINE,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,1593.17,SUCCESS,1670.0,1545.0,2018-04-12,2018-07-20,71.0,1901.4,2018-04-12,866.3,2018-07-20,19.35,-45.62,64.97,1776.2,11.49,884.65,-44.47
ORISSAMINE,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,768.8633,SUCCESS,940.0,665.3,2018-10-13,2019-01-20,66.0,1098.7,2018-11-09,613.5,2018-10-29,42.9,-20.21,63.11,1017.1,32.29,626.05,-18.57
ORISSAMINE,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,883.3733,SUCCESS,1014.0,825.1,2019-04-11,2019-07-20,67.0,957.85,2019-04-11,666.0,2019-07-19,8.43,-24.61,33.04,943.25,6.78,671.75,-23.96
ORISSAMINE,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,836.3567,SUCCESS,972.95,689.05,2019-10-15,2020-01-20,67.0,1528.9,2019-11-11,840.0,2019-10-15,82.8,0.44,82.37,1469.35,75.68,846.2,1.18
ORISSAMINE,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,1070.1267,SUCCESS,1317.75,862.6,2020-04-16,2020-07-20,66.0,1820.0,2020-06-08,1225.0,2020-05-07,70.07,14.47,55.6,1741.5,62.74,1251.0,16.9
ORISSAMINE,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,2137.02,SUCCESS,2467.5,1895.0,2020-10-13,2021-01-20,69.0,2785.6,2020-11-27,2000.0,2020-10-23,30.35,-6.41,36.76,2614.95,22.36,2021.55,-5.4
ORISSAMINE,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,2438.7467,SUCCESS,2779.7,2250.0,2021-04-14,2021-07-20,66.0,3802.0,2021-06-17,2203.95,2021-04-19,55.9,-9.63,65.53,3625.9,48.68,2286.45,-6.24
ORISSAMINE,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,2897.1067,SUCCESS,3338.85,2809.0,2021-10-09,2022-01-20,71.0,3125.95,2022-01-20,2200.0,2021-12-20,7.9,-24.06,31.96,3008.3,3.84,2251.6,-22.28
ORISSAMINE,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,2886.0467,SUCCESS,3184.0,2650.0,2022-04-09,2022-07-20,70.0,3674.8,2022-04-27,2250.0,2022-06-21,27.33,-22.04,49.37,3608.3,25.03,2291.3,-20.61
ORISSAMINE,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,2881.2467,SUCCESS,3060.0,2733.15,2022-10-12,2023-01-20,71.0,3299.0,2023-01-19,2460.0,2022-11-24,14.5,-14.62,29.12,3205.95,11.27,2536.9,-11.95
