Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
PALASHSECU,2017,20-March,2017-03-20,2017-07-28,2017-07-28,2017-08-18,15.0,61.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PALASHSECU,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,77.14,SUCCESS,87.0,69.5,2017-10-12,2018-01-20,70.0,102.9,2017-11-02,72.55,2017-10-12,33.39,-5.95,39.34,98.05,27.11,74.0,-4.07
PALASHSECU,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,55.05,SUCCESS,62.2,48.3,2018-04-12,2018-07-20,71.0,61.25,2018-04-30,41.1,2018-06-29,11.26,-25.34,36.6,60.85,10.54,43.0,-21.89
PALASHSECU,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,41.2033,SUCCESS,50.8,35.55,2018-10-13,2019-01-20,58.0,46.8,2018-12-12,35.4,2018-11-05,13.58,-14.08,27.67,46.45,12.73,35.95,-12.75
PALASHSECU,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,41.6667,SUCCESS,43.7,39.5,2019-04-11,2019-07-20,66.0,47.6,2019-06-04,34.0,2019-07-19,14.24,-18.4,32.64,45.8,9.92,35.75,-14.2
PALASHSECU,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,38.1633,SUCCESS,45.0,28.85,2019-10-15,2020-01-20,67.0,39.9,2020-01-10,24.1,2019-11-22,4.55,-36.85,41.4,36.85,-3.44,25.4,-33.44
PALASHSECU,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-16,15.0,20.0633,SUCCESS,24.65,17.1,2020-04-17,2020-07-20,65.0,29.55,2020-06-16,18.05,2020-05-20,47.28,-10.03,57.32,28.15,40.31,19.0,-5.3
PALASHSECU,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,34.0067,SUCCESS,35.85,31.55,2020-10-13,2021-01-20,67.0,46.45,2021-01-18,27.1,2020-11-03,36.59,-20.31,56.9,46.1,35.56,28.0,-17.66
PALASHSECU,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-15,15.0,49.25,SUCCESS,53.6,44.65,2021-04-16,2021-07-20,65.0,93.5,2021-06-30,49.35,2021-04-20,89.85,0.2,89.64,89.7,82.13,50.35,2.23
PALASHSECU,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,83.2833,SUCCESS,94.95,70.0,2021-10-09,2022-01-20,71.0,98.0,2021-12-29,66.1,2021-12-02,17.67,-20.63,38.3,92.55,11.13,67.85,-18.53
PALASHSECU,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,112.12,SUCCESS,123.95,104.0,2022-04-09,2022-07-20,70.0,125.0,2022-04-11,86.0,2022-07-18,11.49,-23.3,34.78,120.8,7.74,86.7,-22.67
PALASHSECU,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,89.5133,SUCCESS,119.5,82.5,2022-10-12,2023-01-20,71.0,152.8,2022-12-15,82.6,2022-11-03,70.7,-7.72,78.42,151.65,69.42,84.95,-5.1
PALASHSECU,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,97.7067,SUCCESS,114.7,86.25,2023-04-13,2023-07-20,68.0,143.9,2023-06-19,96.1,2023-04-19,47.28,-1.64,48.92,141.3,44.62,98.4,0.71
PALASHSECU,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,110.7533,SUCCESS,139.7,101.3,2023-10-12,2024-01-20,70.0,165.6,2023-11-13,100.95,2023-10-26,49.52,-8.85,58.37,159.15,43.7,102.5,-7.45
PALASHSECU,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,124.96,SUCCESS,140.95,114.1,2024-04-13,2024-07-20,66.0,150.3,2024-04-22,113.85,2024-06-04,20.28,-8.89,29.17,149.95,20.0,125.25,0.23
PALASHSECU,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,146.3633,SUCCESS,169.44,131.35,2024-10-12,2025-01-20,68.0,198.7,2024-11-01,139.05,2025-01-13,35.76,-5.0,40.75,188.7,28.93,143.79,-1.76
PALASHSECU,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,122.794,SUCCESS,138.7,114.5,2025-04-12,2025-07-20,67.0,142.0,2025-06-13,114.6,2025-05-07,15.64,-6.67,22.31,133.77,8.94,116.37,-5.23
PALASHSECU,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,118.2333,SUCCESS,132.7,114.22,2025-10-14,2026-01-20,67.0,128.9,2025-10-17,95.25,2026-01-20,9.02,-19.44,28.46,122.98,4.01,95.94,-18.86
PALASHSECU,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,88.1027,SUCCESS,98.74,79.01,2026-04-16,2026-07-20,65.0,108.5,2026-05-15,88.05,2026-07-09,23.15,-0.06,23.21,101.17,14.83,89.32,1.38
PALASHSECU,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
