Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
PARSVNATH,2006,20-March,2006-03-20,2006-11-30,2006-11-30,2006-12-20,15.0,239.01,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PARSVNATH,2006,20-September,2006-09-20,2006-11-30,2006-11-30,2006-12-20,15.0,239.01,SUCCESS,287.83,194.5,2006-12-21,2007-01-20,20.0,237.5,2007-01-03,206.75,2007-01-11,-0.63,-13.5,12.87,234.23,-2.0,208.8,-12.64
PARSVNATH,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,130.806,SUCCESS,143.48,117.53,2007-04-12,2007-07-20,45.0,176.2,2007-05-18,129.5,2007-04-12,34.7,-1.0,35.7,172.15,31.61,142.18,8.7
PARSVNATH,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.4373,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PARSVNATH,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.4373,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PARSVNATH,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.4373,SUCCESS,27.5,18.05,2009-01-17,2009-01-20,2.0,21.0,2009-01-19,19.28,2009-01-20,-6.41,-14.07,7.67,20.55,-8.41,20.05,-10.64
PARSVNATH,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,19.992,SUCCESS,26.7,16.08,2009-04-16,2009-07-20,66.0,55.6,2009-06-05,22.78,2009-04-16,178.11,13.95,164.17,53.8,169.11,23.43,17.2
PARSVNATH,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,67.322,SUCCESS,75.75,60.13,2009-10-16,2010-01-20,65.0,70.15,2009-10-16,46.28,2009-11-03,4.2,-31.26,35.46,69.3,2.94,48.2,-28.4
PARSVNATH,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,57.4107,SUCCESS,60.33,55.0,2010-04-14,2010-07-20,69.0,68.7,2010-07-14,53.58,2010-05-12,19.66,-6.67,26.34,67.8,18.1,55.1,-4.02
PARSVNATH,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,71.282,SUCCESS,74.75,68.3,2010-10-09,2011-01-20,72.0,72.0,2010-10-18,46.05,2010-11-26,1.01,-35.4,36.4,70.98,-0.42,50.15,-29.65
PARSVNATH,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,43.9467,SUCCESS,50.3,36.55,2011-04-09,2011-07-20,70.0,49.9,2011-07-14,39.15,2011-05-09,13.55,-10.91,24.46,49.05,11.61,40.15,-8.64
PARSVNATH,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,66.0267,SUCCESS,71.8,62.25,2011-10-12,2012-01-20,70.0,82.25,2011-10-20,32.4,2011-11-25,24.57,-50.93,75.5,80.2,21.47,34.0,-48.51
PARSVNATH,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,57.0433,SUCCESS,62.25,51.4,2012-04-12,2012-07-20,72.0,62.6,2012-06-18,52.25,2012-05-28,9.74,-8.4,18.14,61.6,7.99,52.65,-7.7
PARSVNATH,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,40.56,SUCCESS,44.0,37.9,2012-10-12,2013-01-20,67.0,43.15,2012-12-07,35.85,2012-11-01,6.39,-11.61,18.0,42.3,4.29,36.0,-11.24
PARSVNATH,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,38.2733,SUCCESS,40.35,34.1,2013-04-12,2013-07-20,69.0,37.3,2013-05-20,27.3,2013-06-25,-2.54,-28.67,26.13,36.5,-4.63,28.7,-25.01
PARSVNATH,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,26.7367,SUCCESS,29.1,25.4,2013-10-12,2014-01-20,68.0,28.2,2013-11-06,23.4,2013-11-27,5.47,-12.48,17.95,27.15,1.55,23.9,-10.61
PARSVNATH,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,24.39,SUCCESS,26.5,23.0,2014-04-10,2014-07-20,44.0,37.9,2014-06-10,23.3,2014-05-02,55.39,-4.47,59.86,37.4,53.34,23.5,-3.65
PARSVNATH,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,25.41,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PARSVNATH,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,25.41,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PARSVNATH,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,25.41,SUCCESS,29.0,21.2,2016-01-16,2016-01-20,3.0,21.35,2016-01-18,18.1,2016-01-20,-15.98,-28.77,12.79,19.7,-22.47,18.45,-27.39
PARSVNATH,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,18.4833,SUCCESS,20.75,17.6,2016-04-13,2016-07-20,67.0,24.7,2016-07-13,17.3,2016-05-25,33.63,-6.4,40.04,23.95,29.58,17.5,-5.32
PARSVNATH,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,13.76,SUCCESS,14.75,12.9,2016-10-11,2017-01-20,71.0,14.8,2016-10-13,10.95,2016-11-15,7.56,-20.42,27.98,14.2,3.2,11.7,-14.97
PARSVNATH,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,13.1233,SUCCESS,16.25,12.25,2017-04-11,2017-07-20,70.0,17.45,2017-04-18,12.65,2017-06-12,32.97,-3.61,36.58,16.6,26.49,12.7,-3.23
PARSVNATH,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,22.0633,SUCCESS,24.6,20.15,2017-10-12,2018-01-20,70.0,33.85,2017-12-01,21.3,2017-10-16,53.42,-3.46,56.88,32.65,47.98,22.3,1.07
PARSVNATH,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,14.4733,SUCCESS,16.05,13.65,2018-04-12,2018-07-20,71.0,17.4,2018-05-03,10.15,2018-07-20,20.22,-29.87,50.09,16.85,16.42,10.45,-27.8
PARSVNATH,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,8.81,SUCCESS,10.95,7.2,2018-10-13,2019-01-20,66.0,11.15,2018-11-29,6.45,2018-10-26,26.56,-26.79,53.35,9.3,5.56,6.75,-23.38
