Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
PATINTLOG,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,18.5073,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PATINTLOG,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,18.5073,SUCCESS,21.37,15.64,2009-01-17,2009-01-20,2.0,18.32,2009-01-19,15.71,2009-01-19,-1.01,-15.11,14.1,16.34,-11.71,16.34,-11.71
PATINTLOG,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,16.138,SUCCESS,20.96,13.2,2009-04-16,2009-07-20,65.0,29.34,2009-05-22,15.8,2009-04-21,81.81,-2.09,83.9,28.92,79.2,16.76,3.85
PATINTLOG,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,23.2747,SUCCESS,26.49,21.79,2009-10-16,2010-01-20,65.0,38.56,2010-01-18,20.16,2009-11-04,65.67,-13.38,79.06,35.54,52.7,20.66,-11.23
PATINTLOG,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,28.48,SUCCESS,32.65,24.56,2010-04-14,2010-07-20,69.0,35.71,2010-07-20,22.63,2010-06-24,25.39,-20.54,45.93,34.99,22.86,24.4,-14.33
PATINTLOG,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,31.7527,SUCCESS,33.95,30.18,2010-10-09,2011-01-20,72.0,39.98,2010-11-12,21.46,2011-01-20,25.91,-32.42,58.33,38.69,21.85,22.63,-28.73
PATINTLOG,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,19.5027,SUCCESS,24.73,16.47,2011-04-09,2011-07-20,69.0,29.5,2011-07-01,18.11,2011-05-06,51.26,-7.14,58.4,28.8,47.67,19.28,-1.14
PATINTLOG,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,27.5533,SUCCESS,34.29,24.14,2011-10-12,2012-01-20,69.0,29.42,2011-10-13,15.67,2011-12-21,6.77,-43.13,49.9,28.5,3.44,16.01,-41.89
PATINTLOG,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,19.0367,SUCCESS,20.7,17.02,2012-04-12,2012-07-20,69.0,23.38,2012-04-18,15.93,2012-05-08,22.82,-16.32,39.14,22.25,16.88,16.34,-14.17
PATINTLOG,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,17.298,SUCCESS,19.49,15.3,2012-10-12,2013-01-20,67.0,21.71,2012-11-30,16.43,2012-10-29,25.51,-5.02,30.52,20.37,17.76,16.76,-3.11
PATINTLOG,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-12,15.0,14.608,SUCCESS,16.76,13.07,2013-04-13,2013-07-20,59.0,15.09,2013-04-26,8.63,2013-07-10,3.3,-40.92,44.22,15.05,3.03,9.43,-35.45
PATINTLOG,2013,20-September,2013-09-20,2013-09-25,2013-09-25,2013-10-24,15.0,9.0867,SUCCESS,11.74,8.04,2013-10-25,2014-01-20,44.0,16.39,2014-01-16,8.39,2013-11-01,80.37,-7.67,88.04,15.64,72.12,8.43,-7.23
