Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
PGHL,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,271.2133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PGHL,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,271.2133,SUCCESS,284.9,261.1,2002-01-16,2002-01-20,3.0,301.0,2002-01-18,268.0,2002-01-17,10.98,-1.18,12.17,297.6,9.73,270.35,-0.32
PGHL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,309.7767,SUCCESS,343.0,273.0,2002-04-12,2002-07-20,70.0,370.0,2002-04-18,289.0,2002-07-09,19.44,-6.71,26.15,357.75,15.49,292.0,-5.74
PGHL,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,250.23,SUCCESS,262.0,242.45,2002-10-12,2003-01-20,67.0,280.0,2003-01-06,221.35,2002-10-30,11.9,-11.54,23.44,261.3,4.42,225.6,-9.84
PGHL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,234.48,SUCCESS,240.0,219.1,2003-04-09,2003-07-20,70.0,315.0,2003-07-14,214.85,2003-04-16,34.34,-8.37,42.71,303.1,29.26,218.95,-6.62
PGHL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,323.1533,SUCCESS,372.0,305.0,2003-10-14,2004-01-20,71.0,458.7,2003-12-22,321.0,2003-10-24,41.95,-0.67,42.61,450.95,39.55,328.3,1.59
PGHL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,358.15,SUCCESS,384.9,334.0,2004-04-13,2004-07-20,70.0,484.95,2004-07-14,301.15,2004-05-18,35.4,-15.92,51.32,464.85,29.79,365.35,2.01
PGHL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,450.1267,SUCCESS,471.45,420.0,2004-10-09,2005-01-20,71.0,598.0,2004-12-21,427.0,2004-10-18,32.85,-5.14,37.99,579.9,28.83,430.6,-4.34
PGHL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,419.72,SUCCESS,445.0,375.0,2005-04-12,2005-07-20,72.0,475.25,2005-06-24,388.0,2005-04-15,13.23,-7.56,20.79,449.65,7.13,393.4,-6.27
PGHL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,457.84,SUCCESS,481.2,417.9,2005-10-11,2006-01-20,70.0,619.8,2006-01-03,413.05,2005-10-28,35.37,-9.78,45.16,592.2,29.35,414.8,-9.4
PGHL,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,579.1833,SUCCESS,639.0,556.0,2006-04-11,2006-07-20,72.0,627.75,2006-04-27,428.5,2006-06-08,8.39,-26.02,34.4,617.25,6.57,437.1,-24.53
PGHL,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,518.1233,SUCCESS,534.95,510.0,2006-10-12,2007-01-20,69.0,540.0,2006-10-21,425.0,2006-12-12,4.22,-17.97,22.2,513.05,-0.98,431.9,-16.64
PGHL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,403.3533,SUCCESS,447.0,388.05,2007-04-12,2007-07-20,45.0,442.0,2007-05-30,395.0,2007-04-30,9.58,-2.07,11.65,430.55,6.74,398.15,-1.29
PGHL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,302.4333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PGHL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,302.4333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PGHL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,302.4333,SUCCESS,324.0,286.1,2009-01-17,2009-01-20,2.0,342.4,2009-01-20,298.55,2009-01-19,13.22,-1.28,14.5,305.85,1.13,305.7,1.08
PGHL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,345.0133,SUCCESS,376.0,324.0,2009-04-16,2009-07-20,66.0,429.7,2009-06-10,319.2,2009-04-21,24.55,-7.48,32.03,395.25,14.56,334.15,-3.15
PGHL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,417.2433,SUCCESS,501.15,398.0,2009-10-16,2010-01-20,65.0,652.95,2010-01-19,502.0,2009-10-16,56.49,20.31,36.18,640.5,53.51,519.35,24.47
PGHL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,626.53,SUCCESS,653.0,614.05,2010-04-14,2010-07-20,69.0,773.8,2010-07-08,582.35,2010-05-07,23.51,-7.05,30.56,765.4,22.16,612.15,-2.3
PGHL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,714.0233,SUCCESS,749.0,700.0,2010-10-09,2011-01-20,72.0,1008.0,2010-10-21,675.0,2010-12-10,41.17,-5.47,46.64,940.25,31.68,684.55,-4.13
PGHL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,598.1567,SUCCESS,650.0,557.0,2011-04-09,2011-07-20,70.0,710.15,2011-07-18,569.15,2011-06-10,18.72,-4.85,23.57,703.15,17.55,584.2,-2.33
PGHL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,631.7367,SUCCESS,659.0,606.0,2011-10-12,2012-01-20,70.0,669.9,2011-11-14,585.2,2011-12-20,6.04,-7.37,13.41,665.0,5.27,587.9,-6.94
PGHL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,609.6767,SUCCESS,623.5,592.05,2012-04-12,2012-07-20,72.0,712.95,2012-04-13,555.0,2012-06-01,16.94,-8.97,25.91,673.9,10.53,556.75,-8.68
PGHL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,636.6867,SUCCESS,690.0,615.0,2012-10-12,2013-01-20,67.0,684.5,2013-01-14,590.0,2012-11-23,7.51,-7.33,14.84,679.75,6.76,596.8,-6.26
PGHL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,622.7267,SUCCESS,639.9,605.05,2013-04-12,2013-07-20,69.0,680.0,2013-05-31,608.0,2013-07-16,9.2,-2.36,11.56,663.4,6.53,611.1,-1.87
PGHL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,571.85,SUCCESS,612.9,550.05,2013-10-12,2014-01-20,68.0,688.0,2013-11-26,545.25,2014-01-13,20.31,-4.65,24.96,648.55,13.41,547.85,-4.2
PGHL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,638.0967,SUCCESS,692.4,584.0,2014-04-10,2014-07-20,44.0,764.0,2014-06-12,611.05,2014-05-19,19.73,-4.24,23.97,740.25,16.01,619.55,-2.91
PGHL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,763.5933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PGHL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,763.5933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PGHL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,763.5933,SUCCESS,802.0,723.15,2016-01-16,2016-01-20,3.0,723.5,2016-01-18,700.0,2016-01-20,-5.25,-8.33,3.08,715.85,-6.25,702.55,-7.99
PGHL,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,643.9367,SUCCESS,655.0,625.1,2016-04-13,2016-07-20,67.0,769.0,2016-05-16,648.0,2016-04-13,19.42,0.63,18.79,733.75,13.95,649.5,0.86
PGHL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,714.2433,SUCCESS,733.0,686.0,2016-10-11,2017-01-20,71.0,1060.0,2016-12-16,700.0,2016-10-13,48.41,-1.99,50.4,1039.15,45.49,707.5,-0.94
PGHL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,1059.55,SUCCESS,1199.0,997.0,2017-04-11,2017-07-20,70.0,1277.95,2017-07-20,995.0,2017-05-29,20.61,-6.09,26.7,1225.45,15.66,1009.5,-4.72
PGHL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,1050.5033,SUCCESS,1116.9,1001.0,2017-10-12,2018-01-20,70.0,1686.8,2018-01-15,1015.5,2017-10-17,60.57,-3.33,63.9,1649.05,56.98,1025.4,-2.39
PGHL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,1516.88,SUCCESS,1597.85,1475.1,2018-04-12,2018-07-20,71.0,2668.0,2018-06-20,1508.55,2018-04-18,75.89,-0.55,76.44,2567.45,69.26,1510.4,-0.43
PGHL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,2766.6,SUCCESS,3029.0,2509.6,2018-10-13,2019-01-20,66.0,3399.9,2019-01-10,2567.0,2018-10-23,22.89,-7.21,30.11,3347.9,21.01,2627.8,-5.02
PGHL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,3638.97,SUCCESS,3994.0,3280.0,2019-04-11,2019-07-20,67.0,5050.0,2019-05-17,3575.55,2019-05-28,38.78,-1.74,40.52,4908.7,34.89,3611.2,-0.76
PGHL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,4539.9067,SUCCESS,4861.25,4200.0,2019-10-15,2020-01-20,67.0,4988.65,2019-10-29,3783.0,2019-12-18,9.88,-16.67,26.56,4921.75,8.41,3926.75,-13.51
PGHL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,3773.09,SUCCESS,4744.45,2891.45,2020-04-16,2020-07-20,66.0,4450.0,2020-04-16,3810.25,2020-05-20,17.94,0.98,16.96,4346.9,15.21,3830.35,1.52
PGHL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,5135.4667,SUCCESS,5495.0,4800.0,2020-10-13,2021-01-20,69.0,7350.0,2020-12-24,5045.0,2020-10-26,43.12,-1.76,44.88,7110.75,38.46,5058.7,-1.49
PGHL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,6220.5967,SUCCESS,6534.85,6017.0,2021-04-14,2021-07-20,66.0,6576.0,2021-04-29,5495.0,2021-06-30,5.71,-11.66,17.38,6434.6,3.44,5520.2,-11.26
PGHL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,5513.6933,SUCCESS,5851.75,5309.0,2021-10-09,2022-01-20,71.0,5800.0,2021-10-11,4903.0,2021-11-29,5.19,-11.08,16.27,5697.8,3.34,4959.6,-10.05
PGHL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,4245.8867,SUCCESS,4519.45,3991.65,2022-04-09,2022-07-20,70.0,4566.0,2022-05-18,3901.05,2022-06-20,7.54,-8.12,15.66,4494.35,5.85,3952.55,-6.91
PGHL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,4116.69,SUCCESS,4354.0,3900.55,2022-10-12,2023-01-20,71.0,4380.0,2022-11-14,3870.1,2022-12-30,6.4,-5.99,12.39,4362.8,5.98,3953.0,-3.98
PGHL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,4817.8633,SUCCESS,5135.9,4492.8,2023-04-13,2023-07-20,68.0,5369.0,2023-06-07,4575.0,2023-05-11,11.44,-5.04,16.48,5318.9,10.4,4641.8,-3.65
PGHL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,5034.5133,SUCCESS,5187.0,4850.05,2023-10-12,2024-01-20,70.0,5282.0,2023-11-20,4900.0,2023-10-30,4.92,-2.67,7.59,5238.45,4.05,4935.0,-1.98
PGHL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,4789.4833,SUCCESS,4928.95,4655.4,2024-04-13,2024-07-20,66.0,5275.3,2024-07-18,4636.55,2024-04-25,10.14,-3.19,13.34,5214.85,8.88,4662.4,-2.65
PGHL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,5337.4333,SUCCESS,5566.0,5100.0,2024-10-12,2025-01-20,68.0,5850.0,2024-12-12,4863.0,2024-10-29,9.6,-8.89,18.49,5770.6,8.12,4987.25,-6.56
PGHL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,5249.96,SUCCESS,5600.05,4903.85,2025-04-12,2025-07-20,67.0,6175.5,2025-06-12,4960.0,2025-05-09,17.63,-5.52,23.15,5951.0,13.35,5020.0,-4.38
PGHL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,6248.6333,SUCCESS,6399.0,6000.0,2025-10-14,2026-01-20,67.0,6409.0,2025-10-16,5353.0,2026-01-14,2.57,-14.33,16.9,6284.5,0.57,5381.0,-13.89
PGHL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,4856.18,SUCCESS,5047.2,4707.0,2026-04-16,2026-07-20,65.0,6975.0,2026-07-15,4907.0,2026-04-16,43.63,1.05,42.58,6918.5,42.47,4997.7,2.91
PGHL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
