Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
PIIND,2011,20-March,2011-03-20,2011-06-15,2011-06-15,2011-07-06,15.0,72.344,SUCCESS,81.0,68.0,2011-07-07,2011-07-20,10.0,90.5,2011-07-20,75.81,2011-07-07,25.1,4.79,20.31,88.24,21.97,76.5,5.74
PIIND,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,115.344,SUCCESS,122.4,108.99,2011-10-12,2012-01-20,69.0,125.6,2011-10-17,86.4,2012-01-20,8.89,-25.09,33.99,123.98,7.49,88.91,-22.92
PIIND,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,106.9347,SUCCESS,115.5,100.23,2012-04-12,2012-07-20,72.0,117.2,2012-04-18,85.99,2012-05-15,9.6,-19.59,29.19,115.34,7.86,88.93,-16.84
PIIND,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,108.9647,SUCCESS,119.0,104.43,2012-10-12,2013-01-20,67.0,143.42,2013-01-04,94.99,2012-10-30,31.62,-12.82,44.45,133.6,22.61,99.49,-8.7
PIIND,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,125.3753,SUCCESS,133.6,119.0,2013-04-12,2013-07-20,69.0,149.0,2013-04-16,117.65,2013-05-23,18.84,-6.16,25.0,142.75,13.86,119.75,-4.49
PIIND,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,151.08,SUCCESS,168.4,134.2,2013-10-12,2014-01-20,68.0,266.55,2014-01-08,160.0,2013-10-21,76.43,5.9,70.53,262.55,73.78,161.95,7.19
PIIND,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,263.2733,SUCCESS,280.0,248.1,2014-04-10,2014-07-20,44.0,339.4,2014-05-27,237.0,2014-04-25,28.92,-9.98,38.89,323.2,22.76,243.6,-7.47
PIIND,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,669.1933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PIIND,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,669.1933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PIIND,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,669.1933,SUCCESS,715.95,626.25,2016-01-16,2016-01-20,3.0,649.85,2016-01-18,598.0,2016-01-19,-2.89,-10.64,7.75,620.3,-7.31,611.25,-8.66
