Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
PIXTRANS,2022,20-March,2022-03-20,2022-04-28,2022-04-28,2022-05-19,15.0,902.8767,SUCCESS,1121.2,713.7,2022-05-20,2022-07-20,44.0,935.05,2022-07-20,739.6,2022-05-31,3.56,-18.08,21.65,915.8,1.43,760.3,-15.79
PIXTRANS,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,860.6133,SUCCESS,899.8,780.75,2022-10-12,2023-01-20,71.0,955.0,2022-11-11,783.5,2022-12-23,10.97,-8.96,19.93,928.85,7.93,794.1,-7.73
PIXTRANS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,774.8767,SUCCESS,834.7,728.05,2023-04-13,2023-07-20,68.0,1354.0,2023-07-17,753.5,2023-05-10,74.74,-2.76,77.5,1302.3,68.07,757.0,-2.31
PIXTRANS,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,1156.3067,SUCCESS,1249.5,1056.4,2023-10-12,2024-01-20,70.0,1488.9,2023-12-12,1028.15,2023-10-30,28.76,-11.08,39.85,1440.7,24.59,1090.45,-5.7
PIXTRANS,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1376.3933,SUCCESS,1570.0,1281.05,2024-04-13,2024-07-20,66.0,1710.0,2024-07-16,1185.0,2024-06-04,24.24,-13.91,38.14,1612.7,17.17,1230.4,-10.61
PIXTRANS,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1563.76,SUCCESS,1718.0,1458.2,2024-10-12,2025-01-20,68.0,2799.95,2024-12-02,1375.6,2024-10-25,79.05,-12.03,91.08,2713.8,73.54,1414.6,-9.54
PIXTRANS,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1601.5133,SUCCESS,1799.6,1361.5,2025-04-12,2025-07-20,67.0,1773.9,2025-05-19,1421.7,2025-04-30,10.76,-11.23,21.99,1741.9,8.77,1452.3,-9.32
PIXTRANS,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1445.5067,SUCCESS,1488.0,1410.2,2025-10-14,2026-01-20,67.0,1498.3,2025-10-30,1263.1,2026-01-12,3.65,-12.62,16.27,1486.6,2.84,1268.8,-12.22
PIXTRANS,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,1449.0333,SUCCESS,1499.4,1383.0,2026-04-16,2026-07-20,65.0,1937.9,2026-07-16,1455.8,2026-04-27,33.74,0.47,33.27,1911.8,31.94,1483.5,2.38
PIXTRANS,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
