Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
POONAWALLA,2004,20-March,2004-03-20,2004-04-27,2004-04-27,2004-05-19,15.0,5.114,SUCCESS,5.58,4.22,2004-05-20,2004-07-20,28.0,5.24,2004-05-20,3.8,2004-06-15,2.46,-25.69,28.16,5.0,-2.23,3.8,-25.69
POONAWALLA,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,5.4513,SUCCESS,6.1,4.5,2004-10-09,2005-01-20,70.0,13.6,2005-01-10,5.06,2004-11-01,149.48,-7.18,156.66,13.39,145.63,5.6,2.73
POONAWALLA,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,14.5047,SUCCESS,15.12,13.7,2005-04-12,2005-07-20,71.0,36.68,2005-07-19,14.0,2005-04-20,152.88,-3.48,156.36,35.13,142.2,14.0,-3.48
POONAWALLA,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,27.7853,SUCCESS,37.0,21.22,2005-10-11,2006-01-20,68.0,24.8,2006-01-10,16.4,2005-10-31,-10.74,-40.98,30.23,23.68,-14.78,17.0,-38.82
POONAWALLA,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,28.64,SUCCESS,36.54,24.42,2006-04-11,2006-07-20,72.0,36.0,2006-05-12,24.42,2006-06-12,25.7,-14.73,40.43,34.67,21.05,25.69,-10.3
POONAWALLA,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,33.8973,SUCCESS,36.66,32.0,2006-10-12,2007-01-20,66.0,44.82,2006-11-28,32.0,2006-11-16,32.22,-5.6,37.82,42.9,26.56,32.78,-3.3
POONAWALLA,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-12,15.0,36.3793,SUCCESS,48.2,33.04,2007-04-13,2007-07-20,44.0,60.6,2007-05-10,34.2,2007-04-17,66.58,-5.99,72.57,57.75,58.74,35.44,-2.58
POONAWALLA,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-21,15.0,39.5207,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
POONAWALLA,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-21,15.0,39.5207,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
POONAWALLA,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-21,15.0,39.5207,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
POONAWALLA,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-17,15.0,30.9273,SUCCESS,37.0,27.47,2009-04-18,2009-07-20,63.0,42.8,2009-06-17,26.26,2009-05-19,38.39,-15.09,53.48,39.66,28.24,27.25,-11.89
POONAWALLA,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,33.2373,SUCCESS,39.4,29.99,2009-10-16,2010-01-20,65.0,45.4,2010-01-14,28.6,2009-11-04,36.59,-13.95,50.55,43.93,32.17,29.62,-10.88
POONAWALLA,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,57.9853,SUCCESS,63.18,54.6,2010-04-14,2010-07-20,69.0,64.5,2010-05-10,50.09,2010-05-26,11.24,-13.62,24.85,63.55,9.6,51.62,-10.98
POONAWALLA,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,79.73,SUCCESS,85.7,77.1,2010-10-09,2011-01-20,72.0,87.4,2010-11-16,57.6,2011-01-11,9.62,-27.76,37.38,84.3,5.73,59.9,-24.87
POONAWALLA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,60.0633,SUCCESS,69.4,57.0,2011-04-09,2011-07-20,70.0,81.45,2011-07-07,63.1,2011-04-11,35.61,5.06,30.55,80.7,34.36,65.35,8.8
POONAWALLA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,70.5967,SUCCESS,75.0,66.55,2011-10-12,2012-01-20,69.0,73.75,2011-10-13,45.0,2011-12-02,4.47,-36.26,40.72,71.55,1.35,51.0,-27.76
POONAWALLA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,72.8567,SUCCESS,76.6,68.4,2012-04-12,2012-07-20,72.0,74.25,2012-04-20,55.65,2012-06-15,1.91,-23.62,25.53,72.55,-0.42,56.05,-23.07
POONAWALLA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,63.9667,SUCCESS,67.9,60.5,2012-10-12,2013-01-20,67.0,110.5,2013-01-10,61.05,2012-10-25,72.75,-4.56,77.31,102.05,59.54,62.8,-1.82
POONAWALLA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,81.7267,SUCCESS,86.75,78.0,2013-04-12,2013-07-20,69.0,102.9,2013-05-21,77.4,2013-04-15,25.91,-5.29,31.2,100.1,22.48,80.6,-1.38
POONAWALLA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,64.97,SUCCESS,72.1,61.5,2013-10-12,2014-01-20,68.0,82.0,2013-11-01,62.0,2013-12-12,26.21,-4.57,30.78,75.65,16.44,63.25,-2.65
POONAWALLA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,69.9333,SUCCESS,76.0,65.25,2014-04-10,2014-07-20,44.0,117.0,2014-06-06,71.3,2014-04-10,67.3,1.95,65.35,114.1,63.16,73.35,4.89
POONAWALLA,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,86.9533,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
POONAWALLA,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,86.9533,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
POONAWALLA,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,86.9533,SUCCESS,100.8,65.5,2016-01-16,2016-01-20,3.0,76.95,2016-01-19,68.95,2016-01-18,-11.5,-20.7,9.2,76.1,-12.48,73.15,-15.87
POONAWALLA,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,77.8067,SUCCESS,84.5,73.25,2016-04-13,2016-07-20,67.0,116.1,2016-07-04,84.95,2016-04-13,49.22,9.18,40.04,113.9,46.39,87.55,12.52
POONAWALLA,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,106.78,SUCCESS,125.65,96.3,2016-10-11,2017-01-20,71.0,124.2,2016-10-25,85.5,2016-11-09,16.31,-19.93,36.24,120.75,13.08,90.4,-15.34
POONAWALLA,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,109.49,SUCCESS,128.6,99.95,2017-04-11,2017-07-20,70.0,181.3,2017-07-18,112.75,2017-04-24,65.59,2.98,62.61,172.75,57.78,113.35,3.53
