Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
POWERGRID,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,44.518,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
POWERGRID,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,44.518,SUCCESS,48.32,40.22,2009-01-17,2009-01-20,2.0,50.06,2009-01-20,42.19,2009-01-20,12.45,-5.23,17.68,48.94,9.93,44.02,-1.12
POWERGRID,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,53.788,SUCCESS,56.76,49.22,2009-04-16,2009-07-20,66.0,73.13,2009-05-20,51.3,2009-04-29,35.96,-4.63,40.59,70.65,31.35,51.75,-3.79
POWERGRID,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,61.7347,SUCCESS,64.13,60.22,2009-10-16,2010-01-20,65.0,68.32,2010-01-15,53.47,2009-11-30,10.67,-13.39,24.05,66.74,8.11,56.14,-9.06
POWERGRID,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,60.6847,SUCCESS,63.51,59.23,2010-04-14,2010-07-20,69.0,67.78,2010-04-28,55.74,2010-07-19,11.69,-8.15,19.84,64.63,6.5,56.17,-7.44
POWERGRID,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,60.6093,SUCCESS,63.93,58.75,2010-10-09,2011-01-20,72.0,62.86,2010-10-11,51.64,2010-11-30,3.71,-14.8,18.51,61.82,2.0,52.79,-12.9
POWERGRID,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,57.0367,SUCCESS,60.33,54.45,2011-04-09,2011-07-20,70.0,63.11,2011-07-15,53.44,2011-05-26,10.65,-6.31,16.95,62.13,8.93,53.75,-5.76
POWERGRID,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,54.6987,SUCCESS,56.19,53.18,2011-10-12,2012-01-20,70.0,60.75,2011-10-28,52.96,2011-11-23,11.06,-3.18,14.24,59.32,8.45,53.47,-2.25
POWERGRID,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,60.8753,SUCCESS,63.0,58.95,2012-04-12,2012-07-20,72.0,64.88,2012-04-20,56.31,2012-05-15,6.58,-7.5,14.08,64.49,5.94,56.95,-6.45
POWERGRID,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,66.6807,SUCCESS,68.34,53.55,2012-10-12,2013-01-20,67.0,68.88,2012-11-20,62.1,2013-01-16,3.3,-6.87,10.17,68.68,3.0,62.47,-6.31
