Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
PRUDENT,2022,20-March,2022-03-20,2022-05-20,2022-05-20,2022-06-09,15.0,549.51,SUCCESS,650.0,470.35,2022-06-10,2022-07-20,29.0,598.0,2022-06-10,460.95,2022-06-17,8.82,-16.12,24.94,584.5,6.37,484.8,-11.78
PRUDENT,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,678.61,SUCCESS,750.0,583.85,2022-10-12,2023-01-20,70.0,1108.0,2023-01-03,655.05,2022-10-12,63.27,-3.47,66.75,1070.35,57.73,659.55,-2.81
PRUDENT,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,822.47,SUCCESS,883.0,703.3,2023-04-13,2023-07-20,68.0,1088.55,2023-07-20,804.05,2023-04-13,32.35,-2.24,34.59,1082.0,31.55,819.8,-0.32
PRUDENT,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,1178.41,SUCCESS,1316.95,1075.6,2023-10-12,2024-01-20,70.0,1378.15,2023-10-18,1093.55,2023-11-07,16.95,-7.2,24.15,1357.7,15.21,1110.25,-5.78
PRUDENT,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1292.68,SUCCESS,1384.95,1201.5,2024-04-13,2024-07-20,66.0,2156.0,2024-07-18,1299.1,2024-04-15,66.79,0.5,66.29,2100.5,62.49,1362.6,5.41
PRUDENT,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,2507.7067,SUCCESS,2847.05,2295.9,2024-10-12,2025-01-20,68.0,3735.2,2024-11-01,2514.05,2024-10-18,48.95,0.25,48.7,3520.5,40.39,2563.15,2.21
PRUDENT,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,2212.2067,SUCCESS,2462.0,1750.05,2025-04-12,2025-07-20,67.0,3030.0,2025-06-02,2064.0,2025-05-05,36.97,-6.7,43.67,2984.4,34.91,2206.8,-0.24
PRUDENT,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,2668.26,SUCCESS,2993.0,2512.9,2025-10-14,2026-01-20,67.0,2802.8,2025-10-24,2304.8,2026-01-20,5.04,-13.62,18.66,2783.8,4.33,2339.1,-12.34
PRUDENT,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,2311.1267,SUCCESS,2610.0,2150.0,2026-04-16,2026-07-20,65.0,3160.1,2026-06-23,2558.0,2026-04-16,36.73,10.68,26.05,3079.3,33.24,2613.8,13.1
PRUDENT,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
