Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
PSB,2010,20-March,2010-03-20,2010-12-30,2010-12-30,2011-01-19,15.0,116.546,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PSB,2010,20-September,2010-09-20,2010-12-30,2010-12-30,2011-01-19,15.0,116.546,SUCCESS,139.36,111.72,2011-01-20,2011-01-20,1.0,114.71,2011-01-20,113.05,2011-01-20,-1.58,-3.0,1.42,114.14,-2.06,114.14,-2.06
PSB,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,101.2753,SUCCESS,109.2,93.57,2011-04-09,2011-07-20,70.0,107.82,2011-04-25,91.91,2011-05-25,6.46,-9.25,15.71,107.02,5.67,92.1,-9.06
PSB,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,62.9987,SUCCESS,67.35,59.85,2011-10-12,2012-01-20,70.0,75.29,2011-11-01,55.1,2012-01-07,19.51,-12.54,32.05,72.58,15.21,55.76,-11.49
PSB,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,72.072,SUCCESS,76.81,68.49,2012-04-12,2012-07-20,72.0,75.81,2012-04-18,57.95,2012-05-18,5.19,-19.59,24.78,74.48,3.34,57.95,-19.59
PSB,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,64.9713,SUCCESS,67.92,63.55,2012-10-12,2013-01-20,67.0,78.37,2013-01-08,60.13,2012-11-19,20.62,-7.45,28.07,76.09,17.11,60.42,-7.01
PSB,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,56.0553,SUCCESS,59.14,54.2,2013-04-12,2013-07-20,69.0,60.61,2013-04-30,50.8,2013-07-18,8.13,-9.38,17.5,59.23,5.66,51.35,-8.39
PSB,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,40.64,SUCCESS,44.35,39.25,2013-10-12,2014-01-20,68.0,54.5,2013-11-05,41.25,2013-10-17,34.1,1.5,32.6,52.25,28.57,41.75,2.73
PSB,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,43.3933,SUCCESS,46.3,40.9,2014-04-10,2014-07-20,44.0,83.8,2014-06-05,43.9,2014-04-10,93.12,1.17,91.95,80.15,84.71,44.45,2.44
PSB,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,38.02,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
