Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
PTC,2004,20-March,2004-03-20,2004-04-07,2004-04-07,2004-04-29,15.0,49.4167,SUCCESS,61.2,31.1,2004-04-30,2004-07-20,58.0,53.75,2004-05-13,38.4,2004-05-17,8.77,-22.29,31.06,52.8,6.85,39.9,-19.26
PTC,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,56.94,SUCCESS,60.2,55.05,2004-10-09,2005-01-20,71.0,63.4,2005-01-11,49.0,2004-11-22,11.35,-13.94,25.29,58.95,3.53,49.5,-13.07
PTC,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,48.0567,SUCCESS,52.45,43.25,2005-04-12,2005-07-20,72.0,48.2,2005-04-13,41.25,2005-05-02,0.3,-14.16,14.46,47.8,-0.53,41.6,-13.44
PTC,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,50.63,SUCCESS,56.9,44.15,2005-10-11,2006-01-20,70.0,67.0,2006-01-13,45.6,2005-10-31,32.33,-9.93,42.27,64.3,27.0,46.0,-9.14
PTC,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,58.42,SUCCESS,62.0,55.5,2006-04-11,2006-07-20,72.0,82.65,2006-05-10,45.0,2006-06-09,41.48,-22.97,64.45,77.35,32.4,46.2,-20.92
PTC,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,57.1233,SUCCESS,60.5,55.85,2006-10-12,2007-01-20,69.0,66.75,2007-01-16,46.6,2006-12-12,16.85,-18.42,35.27,65.7,15.01,47.55,-16.76
PTC,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,59.2667,SUCCESS,61.5,57.0,2007-04-12,2007-07-20,45.0,72.5,2007-05-28,54.0,2007-04-17,22.33,-8.89,31.21,66.75,12.63,54.6,-7.87
PTC,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,68.33,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PTC,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,68.33,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
PTC,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,68.33,SUCCESS,75.6,61.2,2009-01-17,2009-01-20,2.0,71.5,2009-01-20,64.55,2009-01-20,4.64,-5.53,10.17,68.85,0.76,66.5,-2.68
PTC,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,68.9467,SUCCESS,83.0,60.0,2009-04-16,2009-07-20,66.0,100.2,2009-06-01,68.6,2009-05-14,45.33,-0.5,45.83,97.7,41.7,70.6,2.4
PTC,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,90.0567,SUCCESS,109.7,85.65,2009-10-16,2010-01-20,65.0,125.25,2010-01-08,88.2,2009-10-27,39.08,-2.06,41.14,124.1,37.8,91.15,1.21
PTC,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,111.0,SUCCESS,115.6,107.5,2010-04-14,2010-07-20,69.0,123.0,2010-05-18,96.5,2010-05-25,10.81,-13.06,23.87,114.25,2.93,98.2,-11.53
PTC,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,119.2833,SUCCESS,126.9,113.55,2010-10-09,2011-01-20,72.0,150.0,2010-12-30,105.2,2010-11-26,25.75,-11.81,37.56,141.8,18.88,108.65,-8.91
PTC,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,86.2433,SUCCESS,96.9,78.75,2011-04-09,2011-07-20,70.0,93.85,2011-04-27,68.0,2011-06-20,8.82,-21.15,29.97,92.3,7.02,72.25,-16.23
PTC,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,69.03,SUCCESS,72.65,66.25,2011-10-12,2012-01-20,70.0,75.9,2011-11-04,38.35,2011-12-30,9.95,-44.44,54.4,74.0,7.2,38.85,-43.72
