Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
QUICKHEAL,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,219.28,SUCCESS,235.7,209.0,2016-04-13,2016-07-20,67.0,297.25,2016-07-08,198.0,2016-05-23,35.56,-9.7,45.26,292.6,33.44,221.65,1.08
QUICKHEAL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,229.1467,SUCCESS,247.3,209.35,2016-10-11,2017-01-20,71.0,295.7,2016-12-09,201.0,2016-11-09,29.04,-12.28,41.33,284.8,24.29,223.45,-2.49
QUICKHEAL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,241.2433,SUCCESS,263.3,232.2,2017-04-11,2017-07-20,70.0,259.35,2017-04-11,201.0,2017-05-30,7.51,-16.68,24.19,254.75,5.6,202.0,-16.27
QUICKHEAL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,184.6133,SUCCESS,198.1,176.3,2017-10-12,2018-01-20,70.0,404.0,2018-01-11,183.2,2017-10-19,118.84,-0.77,119.6,384.25,108.14,183.7,-0.49
QUICKHEAL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,289.9433,SUCCESS,316.3,263.1,2018-04-12,2018-07-20,71.0,354.8,2018-05-09,243.0,2018-07-19,22.37,-16.19,38.56,347.7,19.92,249.1,-14.09
QUICKHEAL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,208.6867,SUCCESS,263.75,181.25,2018-10-13,2019-01-20,66.0,236.95,2018-12-19,178.1,2018-12-11,13.54,-14.66,28.2,227.55,9.04,181.4,-13.08
QUICKHEAL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,224.2567,SUCCESS,235.0,219.35,2019-04-11,2019-07-20,67.0,239.95,2019-04-24,134.1,2019-07-19,7.0,-40.2,47.2,239.45,6.77,135.75,-39.47
QUICKHEAL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,126.4467,SUCCESS,146.2,113.0,2019-10-15,2020-01-20,67.0,147.35,2020-01-15,114.5,2019-10-15,16.53,-9.45,25.98,143.5,13.49,115.35,-8.78
QUICKHEAL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,80.7867,SUCCESS,99.9,65.15,2020-04-16,2020-07-20,66.0,125.7,2020-06-25,90.0,2020-04-16,55.59,11.4,44.19,122.6,51.76,97.05,20.13
QUICKHEAL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,159.2867,SUCCESS,177.8,138.1,2020-10-13,2021-01-20,69.0,183.3,2020-10-14,144.0,2020-12-22,15.08,-9.6,24.67,177.95,11.72,149.75,-5.99
QUICKHEAL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,188.78,SUCCESS,202.9,181.5,2021-04-14,2021-07-20,66.0,317.0,2021-07-15,181.05,2021-05-04,67.92,-4.09,72.02,312.95,65.77,182.0,-3.59
QUICKHEAL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,233.1467,SUCCESS,244.0,222.4,2021-10-09,2022-01-20,71.0,257.0,2021-12-31,210.05,2021-11-29,10.23,-9.91,20.14,247.6,6.2,213.05,-8.62
QUICKHEAL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,186.4933,SUCCESS,204.5,175.95,2022-04-09,2022-07-20,70.0,208.7,2022-07-19,141.0,2022-06-21,11.91,-24.39,36.3,202.4,8.53,144.65,-22.44
QUICKHEAL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,199.1167,SUCCESS,211.95,186.2,2022-10-12,2023-01-20,71.0,215.0,2022-10-20,157.95,2022-12-28,7.98,-20.67,28.65,206.6,3.76,166.05,-16.61
QUICKHEAL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,140.3133,SUCCESS,149.7,128.0,2023-04-13,2023-07-20,68.0,176.1,2023-07-06,125.0,2023-04-18,25.5,-10.91,36.42,172.0,22.58,134.55,-4.11
QUICKHEAL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,278.0433,SUCCESS,358.35,213.85,2023-10-12,2024-01-20,70.0,516.3,2024-01-19,285.05,2023-10-23,85.69,2.52,83.17,496.0,78.39,291.05,4.68
QUICKHEAL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,486.95,SUCCESS,512.0,466.6,2024-04-13,2024-07-20,66.0,633.3,2024-07-18,390.0,2024-06-04,30.05,-19.91,49.96,614.55,26.2,411.2,-15.56
QUICKHEAL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,677.2667,SUCCESS,825.0,620.15,2024-10-12,2025-01-20,68.0,818.55,2024-10-14,533.2,2025-01-15,20.86,-21.27,42.13,794.3,17.28,539.65,-20.32
QUICKHEAL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,289.0333,SUCCESS,329.4,252.9,2025-04-12,2025-07-20,67.0,416.7,2025-07-03,245.0,2025-05-05,44.17,-15.23,59.4,403.8,39.71,255.65,-11.55
QUICKHEAL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,310.9467,SUCCESS,335.7,297.0,2025-10-14,2026-01-20,67.0,371.4,2025-10-16,200.0,2026-01-20,19.44,-35.68,55.12,347.55,11.77,201.3,-35.26
QUICKHEAL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,147.51,SUCCESS,171.0,125.0,2026-04-16,2026-07-20,65.0,243.25,2026-05-11,157.6,2026-07-20,64.9,6.84,58.06,215.44,46.05,161.03,9.17
QUICKHEAL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
