Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RALLIS,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,2.5513,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RALLIS,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,2.5513,SUCCESS,2.75,2.41,2002-01-16,2002-01-20,3.0,2.82,2002-01-18,2.61,2002-01-16,10.53,2.3,8.23,2.78,8.96,2.61,2.3
RALLIS,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,4.6647,SUCCESS,5.48,4.22,2002-04-12,2002-07-20,70.0,9.4,2002-07-08,4.03,2002-05-21,101.51,-13.61,115.12,8.92,91.22,4.24,-9.1
RALLIS,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,4.832,SUCCESS,5.53,4.09,2002-10-12,2003-01-20,67.0,5.47,2002-10-14,3.89,2002-12-17,13.2,-19.5,32.7,5.38,11.34,4.27,-11.63
RALLIS,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,3.7367,SUCCESS,3.96,3.51,2003-04-09,2003-07-20,70.0,6.37,2003-06-18,3.47,2003-04-30,70.47,-7.14,77.61,6.1,63.25,3.48,-6.87
RALLIS,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,5.3747,SUCCESS,6.07,5.12,2003-10-14,2004-01-20,71.0,9.01,2003-12-19,5.28,2003-10-29,67.64,-1.76,69.4,8.85,64.66,5.3,-1.39
RALLIS,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,4.868,SUCCESS,5.71,3.51,2004-04-13,2004-07-20,70.0,5.91,2004-05-12,3.56,2004-06-01,21.41,-26.87,48.27,5.73,17.71,4.15,-14.75
RALLIS,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,7.08,SUCCESS,7.65,6.67,2004-10-09,2005-01-20,71.0,17.3,2004-12-07,6.2,2004-10-18,144.35,-12.43,156.78,16.9,138.7,6.26,-11.58
RALLIS,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,15.9247,SUCCESS,19.67,14.19,2005-04-12,2005-07-20,72.0,25.85,2005-07-15,15.24,2005-04-20,62.33,-4.3,66.63,23.49,47.51,15.56,-2.29
RALLIS,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,22.076,SUCCESS,23.89,19.71,2005-10-11,2006-01-20,70.0,29.7,2005-12-23,18.48,2005-10-19,34.54,-16.29,50.82,28.72,30.1,19.15,-13.25
