Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RAMCOIND,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-21,15.0,5.8273,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RAMCOIND,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-21,15.0,5.8273,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RAMCOIND,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,5.1207,SUCCESS,5.43,4.82,2002-04-12,2002-07-20,69.0,7.8,2002-07-12,5.21,2002-04-12,52.32,1.74,50.58,7.72,50.76,5.5,7.41
RAMCOIND,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-16,15.0,5.5493,SUCCESS,6.05,5.2,2002-10-17,2003-01-20,60.0,7.87,2003-01-20,5.16,2002-11-27,41.82,-7.02,48.83,7.62,37.31,5.31,-4.31
RAMCOIND,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,7.1833,SUCCESS,8.0,6.55,2003-04-09,2003-07-20,70.0,9.65,2003-06-23,6.0,2003-04-10,34.34,-16.47,50.81,9.35,30.16,6.68,-7.01
RAMCOIND,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-14,15.0,10.29,SUCCESS,11.5,9.25,2003-10-15,2004-01-20,70.0,20.35,2004-01-12,10.01,2003-10-23,97.76,-2.72,100.49,19.58,90.28,10.3,0.1
RAMCOIND,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,13.972,SUCCESS,16.2,11.86,2004-04-13,2004-07-20,66.0,16.23,2004-05-25,12.5,2004-05-17,16.16,-10.54,26.7,16.04,14.8,12.65,-9.46
RAMCOIND,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,24.2227,SUCCESS,25.0,23.6,2004-10-09,2005-01-20,70.0,37.9,2004-12-31,24.01,2004-10-11,56.47,-0.88,57.34,37.19,53.53,24.1,-0.51
RAMCOIND,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,34.3887,SUCCESS,37.7,32.5,2005-04-12,2005-07-20,71.0,45.75,2005-07-19,33.75,2005-04-18,33.04,-1.86,34.9,45.0,30.86,33.85,-1.57
RAMCOIND,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,56.5987,SUCCESS,59.7,52.25,2005-10-11,2006-01-20,70.0,68.75,2006-01-20,54.5,2005-10-19,21.47,-3.71,25.18,67.0,18.38,56.04,-0.99
