Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RANEHOLDIN,2001,20-March,2001-03-20,2001-12-28,2001-12-28,2002-01-25,15.0,22.82,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RANEHOLDIN,2001,20-September,2001-09-20,2001-12-28,2001-12-28,2002-01-25,15.0,22.82,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RANEHOLDIN,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,28.65,SUCCESS,39.2,25.15,2002-04-12,2002-07-20,68.0,59.5,2002-07-10,34.15,2002-05-08,107.68,19.2,88.48,54.75,91.1,35.15,22.69
RANEHOLDIN,2002,20-September,2002-09-20,2002-09-23,2002-09-23,2002-10-21,15.0,31.29,SUCCESS,35.0,29.65,2002-10-22,2003-01-20,57.0,38.0,2002-12-03,26.0,2002-10-30,21.44,-16.91,38.35,37.65,20.33,26.0,-16.91
RANEHOLDIN,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-10,15.0,32.6167,SUCCESS,35.85,29.8,2003-04-11,2003-07-20,66.0,98.7,2003-07-08,32.0,2003-04-11,202.61,-1.89,204.5,95.65,193.25,33.0,1.18
RANEHOLDIN,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,76.5433,SUCCESS,97.45,68.05,2003-10-14,2004-01-20,71.0,173.6,2003-12-23,92.0,2003-10-22,126.8,20.19,106.61,166.5,117.52,93.5,22.15
RANEHOLDIN,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,139.4033,SUCCESS,155.0,116.0,2004-04-13,2004-07-20,69.0,164.7,2004-04-13,128.0,2004-05-17,18.15,-8.18,26.33,150.1,7.67,132.0,-5.31
RANEHOLDIN,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,162.6067,SUCCESS,175.0,151.0,2004-10-09,2005-01-20,71.0,225.0,2004-12-28,142.1,2004-11-24,38.37,-12.61,50.98,218.5,34.37,148.15,-8.89
RANEHOLDIN,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,225.6533,SUCCESS,236.0,218.65,2005-04-12,2005-07-20,72.0,275.0,2005-05-10,125.0,2005-05-11,21.87,-44.61,66.47,265.2,17.53,172.65,-23.49
RANEHOLDIN,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,223.4667,SUCCESS,249.0,207.0,2005-10-11,2006-01-20,70.0,257.75,2005-12-09,191.05,2005-11-18,15.34,-14.51,29.85,252.9,13.17,194.8,-12.83
RANEHOLDIN,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,213.7467,SUCCESS,294.4,191.1,2006-04-11,2006-07-20,69.0,255.0,2006-04-18,135.0,2006-06-15,19.3,-36.84,56.14,245.2,14.72,141.1,-33.99
RANEHOLDIN,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-12,15.0,187.1967,SUCCESS,206.9,161.25,2006-10-13,2007-01-20,68.0,206.0,2006-11-28,171.25,2006-11-08,10.04,-8.52,18.56,193.6,3.42,175.6,-6.19
RANEHOLDIN,2007,20-March,2007-03-20,2007-03-21,2007-03-21,2007-04-16,15.0,173.33,SUCCESS,187.0,165.0,2007-04-17,2007-07-20,41.0,185.0,2007-04-25,162.0,2007-06-15,6.73,-6.54,13.27,181.9,4.94,163.15,-5.87
RANEHOLDIN,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-20,15.0,49.44,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RANEHOLDIN,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-20,15.0,49.44,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RANEHOLDIN,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-20,15.0,49.44,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RANEHOLDIN,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,49.2667,SUCCESS,63.0,44.1,2009-04-16,2009-07-20,63.0,101.9,2009-06-04,54.05,2009-04-17,106.83,9.71,97.12,99.85,102.67,55.15,11.94
RANEHOLDIN,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,108.99,SUCCESS,129.95,97.0,2009-10-16,2010-01-20,65.0,173.8,2010-01-20,106.0,2009-11-27,59.46,-2.74,62.21,161.5,48.18,109.05,0.06
RANEHOLDIN,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,179.8733,SUCCESS,195.0,165.0,2010-04-14,2010-07-20,69.0,252.0,2010-07-19,172.6,2010-04-19,40.1,-4.04,44.14,243.95,35.62,175.6,-2.38
RANEHOLDIN,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,245.64,SUCCESS,274.3,240.15,2010-10-09,2011-01-20,72.0,352.95,2010-11-04,240.0,2010-10-18,43.69,-2.3,45.98,345.65,40.71,243.85,-0.73
RANEHOLDIN,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,249.26,SUCCESS,267.0,240.0,2011-04-09,2011-07-20,69.0,255.75,2011-04-13,220.1,2011-05-26,2.6,-11.7,14.3,252.2,1.18,221.0,-11.34
RANEHOLDIN,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,204.01,SUCCESS,224.9,193.15,2011-10-12,2012-01-20,68.0,211.6,2011-11-03,166.35,2012-01-03,3.72,-18.46,22.18,210.05,2.96,171.45,-15.96
RANEHOLDIN,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,203.6467,SUCCESS,208.9,195.0,2012-04-12,2012-07-20,71.0,224.0,2012-04-19,187.5,2012-05-22,9.99,-7.93,17.92,220.2,8.13,190.0,-6.7
RANEHOLDIN,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,203.32,SUCCESS,222.0,194.0,2012-10-12,2013-01-20,67.0,233.95,2012-10-16,194.0,2012-11-27,15.06,-4.58,19.65,228.95,12.61,195.05,-4.07
RANEHOLDIN,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,160.6933,SUCCESS,169.4,146.3,2013-04-12,2013-07-20,69.0,199.0,2013-05-02,148.7,2013-04-12,23.84,-7.46,31.3,179.95,11.98,153.55,-4.45
RANEHOLDIN,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,147.87,SUCCESS,154.65,137.95,2013-10-12,2014-01-20,68.0,185.85,2014-01-20,143.0,2013-10-15,25.68,-3.29,28.98,167.45,13.24,144.8,-2.08
RANEHOLDIN,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,178.6667,SUCCESS,219.8,157.95,2014-04-10,2014-07-20,44.0,397.9,2014-06-13,200.0,2014-05-06,122.71,11.94,110.76,381.85,113.72,202.35,13.26
RANEHOLDIN,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,613.4133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RANEHOLDIN,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,613.4133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RANEHOLDIN,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,613.4133,SUCCESS,637.95,588.0,2016-01-16,2016-01-20,3.0,596.0,2016-01-18,520.2,2016-01-18,-2.84,-15.2,12.36,569.95,-7.09,534.75,-12.82
RANEHOLDIN,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,542.41,SUCCESS,568.0,503.5,2016-04-13,2016-07-20,67.0,638.0,2016-06-09,526.0,2016-05-24,17.62,-3.03,20.65,613.0,13.01,535.0,-1.37
RANEHOLDIN,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,838.67,SUCCESS,945.0,760.0,2016-10-11,2017-01-20,71.0,925.0,2016-10-19,700.0,2016-11-09,10.29,-16.53,26.83,899.25,7.22,738.55,-11.94
RANEHOLDIN,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,908.0267,SUCCESS,999.95,870.35,2017-04-11,2017-07-20,70.0,1950.0,2017-06-19,938.45,2017-04-11,114.75,3.35,111.4,1860.7,104.92,961.65,5.91
RANEHOLDIN,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,1757.8067,SUCCESS,1887.95,1650.25,2017-10-12,2018-01-20,70.0,2595.0,2018-01-08,1695.0,2017-10-25,47.63,-3.57,51.2,2528.15,43.82,1702.4,-3.15
RANEHOLDIN,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,2553.9367,SUCCESS,2728.0,2342.8,2018-04-12,2018-07-20,71.0,2795.0,2018-04-25,1803.6,2018-06-28,9.44,-29.38,38.82,2743.35,7.42,1829.7,-28.36
RANEHOLDIN,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,1535.3767,SUCCESS,1715.0,1390.1,2018-10-13,2019-01-20,66.0,1688.0,2018-10-16,1120.0,2019-01-18,9.94,-27.05,36.99,1583.6,3.14,1137.1,-25.94
RANEHOLDIN,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,1195.0833,SUCCESS,1247.5,1155.0,2019-04-11,2019-07-20,67.0,1599.0,2019-04-22,959.0,2019-07-16,33.8,-19.75,53.55,1441.25,20.6,983.75,-17.68
RANEHOLDIN,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,913.51,SUCCESS,1014.45,836.05,2019-10-15,2020-01-20,67.0,932.9,2019-10-31,664.7,2019-12-13,2.12,-27.24,29.36,910.75,-0.3,683.15,-25.22
RANEHOLDIN,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,336.4367,SUCCESS,394.95,280.0,2020-04-16,2020-07-20,66.0,531.0,2020-06-24,335.0,2020-05-18,57.83,-0.43,58.26,478.0,42.08,339.7,0.97
