Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RENUKA,2005,20-March,2005-03-20,2005-10-31,2005-10-31,2005-11-23,15.0,14.2013,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RENUKA,2005,20-September,2005-09-20,2005-10-31,2005-10-31,2005-11-23,15.0,14.2013,SUCCESS,16.25,12.81,2005-11-24,2006-01-20,42.0,38.66,2006-01-20,15.11,2005-11-24,172.23,6.4,165.83,38.53,171.31,15.24,7.31
RENUKA,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,69.3487,SUCCESS,82.86,51.25,2006-04-11,2006-07-20,72.0,83.25,2006-04-12,31.64,2006-06-15,20.05,-54.38,74.42,80.13,15.55,32.73,-52.8
RENUKA,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,30.328,SUCCESS,33.42,28.51,2006-10-12,2007-01-20,69.0,32.73,2006-10-23,18.9,2006-12-27,7.92,-37.68,45.6,32.41,6.86,19.79,-34.75
RENUKA,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,22.206,SUCCESS,25.5,18.25,2007-04-12,2007-07-20,45.0,33.15,2007-06-06,20.82,2007-04-26,49.28,-6.24,55.53,32.41,45.95,21.71,-2.23
RENUKA,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,34.9593,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RENUKA,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,34.9593,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RENUKA,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,34.9593,SUCCESS,39.75,31.5,2009-01-17,2009-01-20,2.0,37.15,2009-01-19,34.93,2009-01-20,6.27,-0.08,6.35,36.03,3.06,35.68,2.06
RENUKA,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,46.6053,SUCCESS,55.5,39.75,2009-04-16,2009-07-20,66.0,76.75,2009-06-29,45.08,2009-04-29,64.68,-3.27,67.95,74.43,59.7,46.05,-1.19
RENUKA,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,98.0893,SUCCESS,106.95,90.83,2009-10-16,2010-01-20,65.0,123.5,2010-01-07,89.13,2009-11-03,25.91,-9.13,35.04,122.43,24.81,91.45,-6.77
RENUKA,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,71.1067,SUCCESS,77.85,67.55,2010-04-14,2010-07-20,69.0,72.5,2010-07-09,51.4,2010-05-12,1.96,-27.71,29.67,71.25,0.2,53.1,-25.32
RENUKA,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,84.3667,SUCCESS,90.0,79.65,2010-10-09,2011-01-20,72.0,108.2,2010-11-11,72.55,2010-11-26,28.25,-14.01,42.26,106.9,26.71,76.2,-9.68
RENUKA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,72.86,SUCCESS,78.1,68.1,2011-04-09,2011-07-20,70.0,76.4,2011-04-15,55.9,2011-05-26,4.86,-23.28,28.14,75.35,3.42,56.25,-22.8
RENUKA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,55.8767,SUCCESS,64.0,49.75,2011-10-12,2012-01-20,70.0,59.0,2011-10-17,22.7,2011-12-19,5.59,-59.37,64.96,58.15,4.07,23.9,-57.23
RENUKA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,31.6867,SUCCESS,35.45,29.55,2012-04-12,2012-07-20,72.0,39.5,2012-07-16,25.1,2012-06-04,24.66,-20.79,45.44,34.9,10.14,25.5,-19.52
RENUKA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,36.0767,SUCCESS,38.4,34.15,2012-10-12,2013-01-20,67.0,37.9,2012-10-12,26.0,2012-12-20,5.05,-27.93,32.99,36.6,1.45,28.6,-20.72
RENUKA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,23.56,SUCCESS,28.75,21.1,2013-04-12,2013-07-20,69.0,25.7,2013-05-08,14.8,2013-06-27,9.08,-37.18,46.26,25.2,6.96,15.2,-35.48
RENUKA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,19.2167,SUCCESS,20.75,17.7,2013-10-12,2014-01-20,68.0,24.5,2013-10-28,18.6,2014-01-03,27.49,-3.21,30.7,24.2,25.93,18.75,-2.43
RENUKA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,21.7133,SUCCESS,23.65,21.2,2014-04-10,2014-07-20,44.0,31.8,2014-06-06,21.45,2014-05-16,46.45,-1.21,47.67,30.75,41.62,21.65,-0.29
