Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RIIL,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,32.6633,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RIIL,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,32.6633,SUCCESS,33.65,30.0,2002-01-16,2002-01-20,3.0,33.75,2002-01-17,32.7,2002-01-16,3.33,0.11,3.21,33.4,2.26,32.75,0.27
RIIL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,34.5967,SUCCESS,35.95,32.0,2002-04-12,2002-07-20,70.0,42.0,2002-07-10,31.35,2002-06-14,21.4,-9.38,30.78,39.55,14.32,32.85,-5.05
RIIL,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-14,15.0,31.6433,SUCCESS,32.4,31.1,2002-10-15,2003-01-20,66.0,37.6,2002-12-03,30.85,2002-10-25,18.82,-2.51,21.33,37.25,17.72,31.05,-1.88
RIIL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-09,15.0,35.71,SUCCESS,37.45,34.5,2003-04-10,2003-07-20,69.0,58.8,2003-06-20,34.5,2003-05-21,64.66,-3.39,68.05,54.9,53.74,34.9,-2.27
RIIL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,50.33,SUCCESS,53.0,48.25,2003-10-14,2004-01-20,71.0,87.8,2003-12-17,47.4,2003-10-24,74.45,-5.82,80.27,84.9,68.69,47.95,-4.73
RIIL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,55.2367,SUCCESS,63.0,48.35,2004-04-13,2004-07-20,70.0,66.4,2004-04-19,47.55,2004-06-22,20.21,-13.92,34.13,63.95,15.77,48.0,-13.1
RIIL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,71.47,SUCCESS,76.7,67.05,2004-10-09,2005-01-20,71.0,82.4,2004-11-23,67.6,2004-11-09,15.29,-5.41,20.71,79.7,11.52,68.7,-3.88
RIIL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,106.4,SUCCESS,156.4,82.05,2005-04-12,2005-07-20,72.0,185.05,2005-07-07,125.2,2005-04-20,73.92,17.67,56.25,177.35,66.68,127.45,19.78
RIIL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,316.75,SUCCESS,382.1,286.7,2005-10-11,2006-01-20,70.0,391.15,2006-01-20,211.1,2005-10-28,23.49,-33.35,56.84,391.15,23.49,212.85,-32.8
