Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ROLLT,2016,20-March,2016-03-20,2016-11-22,2016-11-22,2016-12-12,15.0,17.0833,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ROLLT,2016,20-September,2016-09-20,2016-11-22,2016-11-22,2016-12-12,15.0,17.0833,SUCCESS,19.0,13.25,2016-12-13,2017-01-20,29.0,19.9,2017-01-13,13.45,2016-12-27,16.49,-21.27,37.76,19.7,15.32,13.85,-18.93
ROLLT,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,14.4233,SUCCESS,15.8,13.4,2017-04-11,2017-07-20,70.0,14.45,2017-04-13,3.7,2017-06-28,0.18,-74.35,74.53,13.5,-6.4,3.7,-74.35
ROLLT,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,4.1333,SUCCESS,4.45,3.85,2017-10-12,2018-01-20,70.0,9.1,2017-11-08,4.0,2017-10-12,120.16,-3.23,123.39,8.7,110.48,4.25,2.82
ROLLT,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,5.2267,SUCCESS,6.5,4.55,2018-04-12,2018-07-20,71.0,6.0,2018-04-13,2.8,2018-07-05,14.8,-46.43,61.22,6.0,14.8,2.9,-44.52
ROLLT,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,3.0367,SUCCESS,3.75,2.6,2018-10-13,2019-01-20,66.0,3.7,2018-10-15,2.5,2018-10-22,21.84,-17.67,39.52,3.35,10.32,2.7,-11.09
ROLLT,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,2.2967,SUCCESS,2.45,2.1,2019-04-11,2019-07-20,67.0,2.5,2019-04-22,1.65,2019-07-04,8.85,-28.16,37.01,2.4,4.5,1.7,-25.98
ROLLT,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-17,15.0,2.2367,SUCCESS,2.45,2.05,2019-10-18,2020-01-20,64.0,2.2,2019-11-06,1.35,2019-12-18,-1.64,-39.64,38.0,2.15,-3.87,1.35,-39.64
ROLLT,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,1.12,SUCCESS,1.35,0.95,2020-04-16,2020-07-20,66.0,2.4,2020-07-03,1.05,2020-05-26,114.29,-6.25,120.54,2.3,105.36,1.1,-1.79
ROLLT,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,2.7533,SUCCESS,3.55,2.4,2020-10-13,2021-01-20,69.0,5.0,2021-01-11,1.95,2020-11-13,81.6,-29.18,110.77,4.8,74.33,2.05,-25.54
ROLLT,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,2.5933,SUCCESS,2.95,2.25,2021-04-14,2021-07-20,66.0,3.7,2021-06-23,2.6,2021-05-28,42.67,0.26,42.42,3.55,36.89,2.7,4.11
ROLLT,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,2.5333,SUCCESS,3.05,2.0,2021-10-09,2022-01-20,71.0,4.6,2021-12-24,2.6,2021-10-11,81.58,2.63,78.95,4.45,75.66,2.7,6.58
ROLLT,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,2.16,SUCCESS,2.6,1.85,2022-04-09,2022-07-20,70.0,2.6,2022-04-21,1.1,2022-06-24,20.37,-49.07,69.44,2.4,11.11,1.1,-49.07
ROLLT,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,1.37,SUCCESS,1.5,1.25,2022-10-12,2023-01-20,71.0,1.75,2022-12-21,1.2,2022-10-24,27.74,-12.41,40.15,1.7,24.09,1.25,-8.76
ROLLT,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,1.0267,SUCCESS,1.15,0.9,2023-04-13,2023-07-20,60.0,1.8,2023-06-19,1.0,2023-04-26,75.32,-2.6,77.92,1.8,75.32,1.0,-2.6
ROLLT,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,1.12,SUCCESS,1.35,1.05,2023-10-12,2024-01-20,70.0,1.85,2024-01-16,1.0,2023-10-30,65.18,-10.71,75.89,1.8,60.71,1.05,-6.25
ROLLT,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1.6467,SUCCESS,1.85,1.5,2024-04-13,2024-07-20,66.0,4.91,2024-07-08,1.9,2024-04-15,198.18,15.38,182.79,4.82,192.71,1.9,15.38
ROLLT,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,2.2813,SUCCESS,2.49,2.0,2024-10-12,2025-01-20,68.0,2.65,2024-11-06,1.91,2024-10-23,16.16,-16.28,32.44,2.65,16.16,1.94,-14.96
ROLLT,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1.384,SUCCESS,1.49,1.3,2025-04-12,2025-07-20,67.0,2.53,2025-06-02,1.37,2025-05-09,82.8,-1.01,83.82,2.46,77.75,1.38,-0.29
ROLLT,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1.25,SUCCESS,1.32,1.15,2025-10-14,2026-01-20,67.0,2.12,2026-01-09,1.07,2025-11-28,69.6,-14.4,84.0,1.93,54.4,1.15,-8.0
ROLLT,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,1.212,SUCCESS,1.31,1.09,2026-04-16,2026-07-20,65.0,3.74,2026-06-23,1.27,2026-04-16,208.58,4.79,203.8,3.57,194.55,1.28,5.61
ROLLT,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
