Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RPGLIFE,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.7333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RPGLIFE,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.7333,SUCCESS,24.9,20.0,2009-01-17,2009-01-20,2.0,24.45,2009-01-19,22.4,2009-01-20,7.55,-1.47,9.02,23.65,4.03,23.5,3.37
RPGLIFE,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,24.6767,SUCCESS,29.0,22.2,2009-04-16,2009-07-20,65.0,42.9,2009-05-26,21.05,2009-05-19,73.85,-14.7,88.55,41.0,66.15,24.75,0.3
RPGLIFE,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,45.0667,SUCCESS,50.0,38.1,2009-10-16,2010-01-20,65.0,92.0,2010-01-13,51.0,2009-10-16,104.14,13.17,90.98,88.1,95.49,52.35,16.16
RPGLIFE,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,76.6433,SUCCESS,86.3,70.5,2010-04-14,2010-07-20,69.0,108.0,2010-07-20,61.0,2010-05-21,40.91,-20.41,61.32,103.8,35.43,65.65,-14.34
RPGLIFE,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,98.4067,SUCCESS,104.75,95.0,2010-10-09,2011-01-20,72.0,119.7,2010-10-15,60.55,2010-12-08,21.64,-38.47,60.11,110.05,11.83,69.35,-29.53
RPGLIFE,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,77.29,SUCCESS,84.0,71.25,2011-04-09,2011-07-20,70.0,89.95,2011-06-07,73.45,2011-05-11,16.38,-4.97,21.35,84.85,9.78,76.2,-1.41
RPGLIFE,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,79.8833,SUCCESS,85.25,75.25,2011-10-12,2012-01-20,70.0,82.55,2011-10-28,65.1,2011-12-19,3.34,-18.51,21.84,80.7,1.02,67.15,-15.94
RPGLIFE,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,65.4267,SUCCESS,73.95,60.25,2012-04-12,2012-07-20,72.0,86.4,2012-07-17,54.4,2012-05-14,32.06,-16.85,48.91,84.15,28.62,55.0,-15.94
RPGLIFE,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,78.5933,SUCCESS,81.0,75.35,2012-10-12,2013-01-20,67.0,93.7,2012-12-04,67.5,2012-11-02,19.22,-14.11,33.34,86.0,9.42,70.1,-10.81
RPGLIFE,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,57.9367,SUCCESS,68.7,50.0,2013-04-12,2013-07-20,69.0,77.8,2013-06-04,58.6,2013-06-20,34.28,1.14,33.14,73.7,27.21,60.7,4.77
RPGLIFE,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,63.9533,SUCCESS,72.0,57.95,2013-10-12,2014-01-20,68.0,87.95,2013-11-27,54.35,2014-01-20,37.52,-15.02,52.54,81.65,27.67,55.1,-13.84
RPGLIFE,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,61.2933,SUCCESS,73.85,55.8,2014-04-10,2014-07-20,44.0,83.8,2014-06-12,62.1,2014-04-16,36.72,1.32,35.4,81.25,32.56,63.65,3.84
