Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RPOWER,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,112.5667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RPOWER,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,112.5667,SUCCESS,127.95,95.5,2009-01-17,2009-01-20,2.0,104.9,2009-01-20,98.05,2009-01-20,-6.81,-12.9,6.09,102.5,-8.94,101.65,-9.7
RPOWER,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,110.17,SUCCESS,130.85,98.65,2009-04-16,2009-07-20,66.0,210.0,2009-06-15,112.2,2009-04-21,90.61,1.84,88.77,200.2,81.72,115.95,5.25
RPOWER,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,164.87,SUCCESS,175.0,159.65,2009-10-16,2010-01-20,65.0,165.35,2009-10-20,133.55,2009-11-04,0.29,-19.0,19.29,163.5,-0.83,135.95,-17.54
RPOWER,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,152.4867,SUCCESS,160.8,139.6,2010-04-14,2010-07-20,69.0,190.0,2010-07-05,133.0,2010-05-21,24.6,-12.78,37.38,181.0,18.7,138.75,-9.01
RPOWER,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,162.5533,SUCCESS,171.35,157.5,2010-10-09,2011-01-20,72.0,192.8,2010-11-11,133.2,2011-01-17,18.61,-18.06,36.66,190.75,17.35,137.45,-15.44
RPOWER,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,127.69,SUCCESS,137.45,118.05,2011-04-09,2011-07-20,70.0,133.75,2011-04-18,107.4,2011-06-23,4.75,-15.89,20.64,132.7,3.92,108.7,-14.87
RPOWER,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,80.4767,SUCCESS,84.5,75.1,2011-10-12,2012-01-20,70.0,105.9,2011-11-09,68.5,2011-12-21,31.59,-14.88,46.47,103.15,28.17,69.95,-13.08
RPOWER,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,120.14,SUCCESS,130.4,112.4,2012-04-12,2012-07-20,72.0,120.6,2012-04-18,87.0,2012-06-04,0.38,-27.58,27.97,118.8,-1.12,89.15,-25.79
RPOWER,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,98.9233,SUCCESS,105.0,87.8,2012-10-12,2013-01-20,67.0,106.7,2012-10-15,87.8,2012-11-20,7.86,-11.24,19.11,104.5,5.64,88.7,-10.33
RPOWER,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,63.7433,SUCCESS,71.35,58.55,2013-04-12,2013-07-20,69.0,83.1,2013-05-21,60.35,2013-06-27,30.37,-5.32,35.69,80.95,26.99,61.15,-4.07
RPOWER,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,70.6233,SUCCESS,73.65,66.6,2013-10-12,2014-01-20,68.0,78.9,2013-11-05,66.1,2014-01-10,11.72,-6.4,18.12,77.35,9.52,66.5,-5.84
RPOWER,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,68.3067,SUCCESS,73.7,63.9,2014-04-10,2014-07-20,44.0,113.3,2014-06-11,66.95,2014-05-09,65.87,-1.99,67.86,111.35,63.01,67.3,-1.47
RPOWER,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,56.7367,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RPOWER,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,56.7367,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RPOWER,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,56.7367,SUCCESS,61.25,50.35,2016-01-16,2016-01-20,3.0,51.7,2016-01-19,46.65,2016-01-20,-8.88,-17.78,8.9,50.65,-10.73,48.3,-14.87
RPOWER,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,48.8067,SUCCESS,51.95,45.9,2016-04-13,2016-07-20,67.0,54.6,2016-07-05,46.45,2016-05-24,11.87,-4.83,16.7,53.7,10.03,46.9,-3.91
RPOWER,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,49.6333,SUCCESS,52.6,46.2,2016-10-11,2017-01-20,71.0,49.1,2016-10-24,38.05,2016-11-24,-1.07,-23.34,22.26,48.7,-1.88,38.65,-22.13
RPOWER,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,48.44,SUCCESS,50.8,47.05,2017-04-11,2017-07-20,70.0,50.45,2017-04-24,39.0,2017-05-30,4.15,-19.49,23.64,49.7,2.6,39.9,-17.63
RPOWER,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,41.6933,SUCCESS,46.1,39.9,2017-10-12,2018-01-20,70.0,65.2,2018-01-02,34.6,2017-11-15,56.38,-17.01,73.39,61.3,47.03,35.35,-15.21
RPOWER,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,39.39,SUCCESS,43.9,35.7,2018-04-12,2018-07-20,71.0,41.35,2018-04-12,28.8,2018-07-17,4.98,-26.88,31.86,40.45,2.69,29.15,-26.0
RPOWER,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,26.64,SUCCESS,31.95,23.1,2018-10-13,2019-01-20,66.0,32.7,2018-11-19,25.85,2018-12-11,22.75,-2.97,25.71,31.5,18.24,26.75,0.41
