Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RPPINFRA,2010,20-March,2010-03-20,2010-12-06,2010-12-06,2010-12-27,15.0,59.63,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RPPINFRA,2010,20-September,2010-09-20,2010-12-06,2010-12-06,2010-12-27,15.0,59.63,SUCCESS,80.5,51.0,2010-12-28,2011-01-20,18.0,68.5,2011-01-10,55.5,2011-01-11,14.88,-6.93,21.8,58.95,-1.14,56.5,-5.25
RPPINFRA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,67.2933,SUCCESS,74.7,63.35,2011-04-09,2011-07-20,70.0,90.0,2011-07-06,64.0,2011-05-30,33.74,-4.89,38.64,82.5,22.6,66.6,-1.03
RPPINFRA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,62.65,SUCCESS,69.65,57.0,2011-10-12,2012-01-20,70.0,77.9,2011-11-09,49.05,2011-12-20,24.34,-21.71,46.05,74.6,19.07,49.9,-20.35
RPPINFRA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,59.65,SUCCESS,65.3,55.1,2012-04-12,2012-07-20,70.0,62.0,2012-04-13,44.1,2012-06-20,3.94,-26.07,30.01,60.0,0.59,44.95,-24.64
RPPINFRA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,46.65,SUCCESS,59.8,35.6,2012-10-12,2013-01-20,67.0,52.0,2012-10-16,37.5,2013-01-16,11.47,-19.61,31.08,49.95,7.07,38.05,-18.44
RPPINFRA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,39.6367,SUCCESS,42.0,37.3,2013-04-12,2013-07-20,69.0,42.0,2013-06-26,32.9,2013-07-19,5.96,-17.0,22.96,39.2,-1.1,33.2,-16.24
RPPINFRA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,40.2567,SUCCESS,42.3,38.0,2013-10-12,2014-01-20,68.0,63.8,2014-01-20,37.65,2013-12-24,58.48,-6.48,64.96,61.75,53.39,39.7,-1.38
RPPINFRA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,60.5333,SUCCESS,69.0,56.8,2014-04-10,2014-07-20,44.0,100.0,2014-05-26,60.65,2014-04-22,65.2,0.19,65.01,91.4,50.99,61.55,1.68
RPPINFRA,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,111.29,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
