Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RUSHIL,2011,20-March,2011-03-20,2011-07-07,2011-07-07,2011-07-27,15.0,11.218,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RUSHIL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,13.3573,SUCCESS,15.23,12.0,2011-10-12,2012-01-20,70.0,13.82,2011-10-12,7.49,2011-12-30,3.46,-43.93,47.39,12.81,-4.1,8.61,-35.54
RUSHIL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,16.2267,SUCCESS,18.09,14.79,2012-04-12,2012-07-20,72.0,19.3,2012-05-02,14.12,2012-07-10,18.94,-12.98,31.92,18.8,15.86,15.03,-7.37
RUSHIL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,19.2133,SUCCESS,20.41,18.01,2012-10-12,2013-01-20,67.0,25.98,2013-01-08,18.42,2012-11-15,35.22,-4.13,39.35,25.6,33.24,18.49,-3.76
RUSHIL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,3.2707,SUCCESS,4.04,2.69,2013-04-12,2013-07-20,69.0,4.2,2013-04-23,1.92,2013-06-26,28.41,-41.3,69.71,4.01,22.6,1.97,-39.77
RUSHIL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,3.2373,SUCCESS,3.63,3.08,2013-10-12,2014-01-20,68.0,5.24,2014-01-15,3.01,2013-11-18,61.86,-7.02,68.88,4.91,51.67,3.07,-5.17
RUSHIL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,3.504,SUCCESS,3.9,3.27,2014-04-10,2014-07-20,44.0,5.54,2014-06-06,3.17,2014-04-22,58.11,-9.53,67.64,5.3,51.26,3.25,-7.25
RUSHIL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,20.7227,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RUSHIL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,20.7227,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RUSHIL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,20.7227,SUCCESS,25.48,17.83,2016-01-16,2016-01-20,3.0,18.95,2016-01-19,13.23,2016-01-20,-8.55,-36.16,27.6,16.49,-20.43,13.56,-34.56
RUSHIL,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,15.646,SUCCESS,19.27,13.62,2016-04-13,2016-07-20,67.0,35.74,2016-06-15,17.02,2016-04-13,128.43,8.78,119.65,34.84,122.68,17.42,11.34
RUSHIL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,40.7693,SUCCESS,45.62,36.64,2016-10-11,2017-01-20,71.0,57.04,2016-11-07,38.63,2016-11-21,39.91,-5.25,45.16,50.93,24.92,39.03,-4.27
RUSHIL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,46.3053,SUCCESS,50.14,43.24,2017-04-11,2017-07-20,70.0,61.58,2017-06-16,38.49,2017-04-19,32.99,-16.88,49.86,61.03,31.8,41.36,-10.68
RUSHIL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,71.2207,SUCCESS,85.07,60.18,2017-10-12,2018-01-20,70.0,88.78,2017-11-02,59.52,2017-12-18,24.65,-16.43,41.08,86.21,21.05,65.79,-7.63
RUSHIL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,59.8953,SUCCESS,62.04,57.58,2018-04-12,2018-07-20,71.0,63.37,2018-04-13,43.09,2018-07-17,5.8,-28.06,33.86,60.93,1.73,43.29,-27.72
RUSHIL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,44.5513,SUCCESS,49.99,41.24,2018-10-13,2019-01-20,66.0,49.78,2018-12-31,37.97,2018-12-12,11.74,-14.77,26.51,49.44,10.97,38.34,-13.94
RUSHIL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,34.9413,SUCCESS,42.85,31.21,2019-04-11,2019-07-20,67.0,52.68,2019-05-24,13.91,2019-07-19,50.77,-60.19,110.96,51.06,46.13,13.91,-60.19
RUSHIL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,10.1533,SUCCESS,12.19,8.22,2019-10-15,2020-01-20,67.0,11.93,2019-11-25,6.75,2019-10-18,17.5,-33.52,51.02,11.68,15.04,6.87,-32.34
RUSHIL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,5.6227,SUCCESS,6.7,4.67,2020-04-16,2020-07-20,66.0,10.31,2020-06-08,6.59,2020-04-16,83.36,17.2,66.16,9.76,73.58,7.03,25.03
RUSHIL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,7.172,SUCCESS,9.19,5.94,2020-10-13,2021-01-20,70.0,17.61,2021-01-08,7.03,2020-10-14,145.54,-1.98,147.52,16.81,134.38,7.2,0.39
RUSHIL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,19.2253,SUCCESS,23.14,15.6,2021-04-14,2021-07-20,66.0,27.2,2021-07-06,15.29,2021-05-03,41.48,-20.47,61.95,26.77,39.24,15.59,-18.91
RUSHIL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,22.816,SUCCESS,24.67,21.45,2021-10-09,2022-01-20,71.0,38.74,2021-12-28,21.36,2021-10-21,69.79,-6.38,76.17,37.36,63.74,21.51,-5.72
