Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
RUSTOMJEE,2022,20-March,2022-03-20,2022-11-24,2022-11-24,2022-12-14,15.0,543.8967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
RUSTOMJEE,2022,20-September,2022-09-20,2022-11-24,2022-11-24,2022-12-14,15.0,543.8967,SUCCESS,597.0,524.05,2022-12-15,2023-01-20,27.0,554.9,2023-01-03,470.0,2022-12-23,2.02,-13.59,15.61,543.8,-0.02,478.8,-11.97
RUSTOMJEE,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,450.7033,SUCCESS,469.4,435.0,2023-04-13,2023-07-20,68.0,656.0,2023-07-18,416.05,2023-04-28,45.55,-7.69,53.24,626.5,39.0,427.05,-5.25
RUSTOMJEE,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,558.5067,SUCCESS,612.0,526.0,2023-10-12,2024-01-20,70.0,734.9,2024-01-09,518.0,2023-10-26,31.58,-7.25,38.84,720.1,28.93,535.0,-4.21
RUSTOMJEE,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,644.0767,SUCCESS,694.9,601.55,2024-04-13,2024-07-20,66.0,748.0,2024-05-23,624.3,2024-06-04,16.14,-3.07,19.21,732.35,13.71,642.15,-0.3
RUSTOMJEE,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,721.9,SUCCESS,772.6,675.0,2024-10-12,2025-01-20,68.0,801.05,2024-11-11,617.5,2025-01-20,10.96,-14.46,25.43,737.85,2.21,618.7,-14.3
RUSTOMJEE,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,532.22,SUCCESS,559.75,500.0,2025-04-12,2025-07-20,67.0,697.0,2025-07-02,480.05,2025-05-09,30.96,-9.8,40.76,669.8,25.85,495.4,-6.92
RUSTOMJEE,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,608.7233,SUCCESS,634.0,570.1,2025-10-14,2026-01-20,67.0,625.05,2025-10-14,467.4,2026-01-19,2.68,-23.22,25.9,612.45,0.61,477.0,-21.64
RUSTOMJEE,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,387.48,SUCCESS,414.75,358.8,2026-04-16,2026-07-20,65.0,446.15,2026-06-30,375.3,2026-06-11,15.14,-3.14,18.28,434.1,12.03,380.25,-1.87
RUSTOMJEE,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
