Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SAKHTISUG,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-16,15.0,5.98,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SAKHTISUG,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-16,15.0,5.98,SUCCESS,6.45,5.5,2002-01-17,2002-01-20,1.0,6.0,2002-01-18,5.75,2002-01-18,0.33,-3.85,4.18,6.0,0.33,6.0,0.33
SAKHTISUG,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,6.7433,SUCCESS,8.1,6.0,2002-04-12,2002-07-20,69.0,15.2,2002-07-09,6.0,2002-04-16,125.41,-11.02,136.43,14.8,119.48,6.4,-5.09
SAKHTISUG,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,8.1133,SUCCESS,9.0,7.3,2002-10-12,2003-01-20,65.0,9.3,2002-10-18,6.65,2002-10-30,14.63,-18.04,32.66,9.0,10.93,7.15,-11.87
SAKHTISUG,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-09,15.0,5.67,SUCCESS,6.1,5.0,2003-04-10,2003-07-20,66.0,14.4,2003-07-08,4.8,2003-05-07,153.97,-15.34,169.31,12.95,128.4,5.4,-4.76
SAKHTISUG,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,22.9633,SUCCESS,28.0,19.0,2003-10-14,2004-01-20,71.0,55.0,2004-01-09,20.55,2003-10-23,139.51,-10.51,150.02,50.45,119.7,21.0,-8.55
SAKHTISUG,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,28.8367,SUCCESS,35.3,21.0,2004-04-13,2004-07-20,70.0,41.5,2004-04-22,23.0,2004-06-25,43.91,-20.24,64.15,40.05,38.89,23.95,-16.95
SAKHTISUG,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,30.2233,SUCCESS,31.7,28.2,2004-10-09,2005-01-20,71.0,58.4,2005-01-03,27.5,2004-10-14,93.23,-9.01,102.24,55.2,82.64,27.65,-8.51
SAKHTISUG,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,71.2933,SUCCESS,81.4,63.55,2005-04-12,2005-07-20,72.0,89.8,2005-07-20,64.5,2005-05-02,25.96,-9.53,35.49,86.75,21.68,65.2,-8.55
SAKHTISUG,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,93.19,SUCCESS,109.8,86.05,2005-10-11,2006-01-20,70.0,184.4,2006-01-20,68.5,2005-10-20,97.88,-26.49,124.37,184.4,97.88,69.65,-25.26
SAKHTISUG,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,202.2433,SUCCESS,242.2,170.0,2006-04-11,2006-07-20,72.0,274.75,2006-04-25,130.55,2006-06-15,35.85,-35.45,71.3,259.3,28.21,133.2,-34.14
SAKHTISUG,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,131.3733,SUCCESS,144.7,125.25,2006-10-12,2007-01-20,69.0,141.7,2006-10-26,73.1,2007-01-19,7.86,-44.36,52.22,137.7,4.82,87.3,-33.55
SAKHTISUG,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,86.19,SUCCESS,109.5,61.35,2007-04-12,2007-07-20,45.0,107.4,2007-05-22,83.25,2007-05-11,24.61,-3.41,28.02,103.65,20.26,83.95,-2.6
SAKHTISUG,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,42.0933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SAKHTISUG,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,42.0933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SAKHTISUG,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,42.0933,SUCCESS,50.4,32.45,2009-01-17,2009-01-20,2.0,35.35,2009-01-19,33.1,2009-01-19,-16.02,-21.37,5.35,35.35,-16.02,34.15,-18.87
SAKHTISUG,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,24.88,SUCCESS,31.9,21.2,2009-04-16,2009-07-20,66.0,64.0,2009-06-08,31.0,2009-04-16,157.23,24.6,132.64,61.6,147.59,32.3,29.82
SAKHTISUG,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,87.65,SUCCESS,94.45,83.0,2009-10-16,2010-01-20,65.0,110.4,2010-01-08,86.0,2009-12-16,25.96,-1.88,27.84,107.45,22.59,87.25,-0.46
