Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SANCO,2016,20-March,2016-03-20,2016-11-22,2016-11-22,2016-12-12,15.0,113.9233,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SANCO,2016,20-September,2016-09-20,2016-11-22,2016-11-22,2016-12-12,15.0,113.9233,SUCCESS,130.95,101.0,2016-12-13,2017-01-20,29.0,119.0,2017-01-04,99.0,2016-12-29,4.46,-13.1,17.56,114.85,0.81,104.15,-8.58
SANCO,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,112.7433,SUCCESS,123.0,104.0,2017-04-11,2017-07-20,70.0,122.0,2017-05-05,95.1,2017-07-12,8.21,-15.65,23.86,121.0,7.32,100.2,-11.13
SANCO,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,82.6633,SUCCESS,96.0,73.25,2017-10-12,2018-01-20,70.0,97.8,2017-10-26,44.5,2018-01-18,18.31,-46.17,64.48,91.35,10.51,45.05,-45.5
SANCO,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,32.4667,SUCCESS,38.0,30.0,2018-04-12,2018-07-20,71.0,33.75,2018-04-16,19.8,2018-07-19,3.95,-39.01,42.97,32.15,-0.98,20.35,-37.32
SANCO,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,15.4867,SUCCESS,17.7,13.35,2018-10-13,2019-01-20,66.0,17.7,2018-10-31,11.6,2018-10-25,14.29,-25.1,39.39,16.0,3.31,12.25,-20.9
SANCO,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,14.2167,SUCCESS,15.5,11.45,2019-04-11,2019-07-20,67.0,20.0,2019-05-09,13.0,2019-04-30,40.68,-8.56,49.24,19.7,38.57,13.6,-4.34
SANCO,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,17.7733,SUCCESS,21.5,15.0,2019-10-15,2020-01-20,67.0,18.3,2019-10-22,10.75,2020-01-20,2.96,-39.52,42.48,17.3,-2.66,12.2,-31.36
SANCO,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,7.2133,SUCCESS,9.75,6.0,2020-04-16,2020-07-20,66.0,12.7,2020-06-22,6.8,2020-04-16,76.06,-5.73,81.79,12.15,68.44,7.3,1.2
SANCO,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,13.4933,SUCCESS,14.6,12.15,2020-10-13,2021-01-20,69.0,18.8,2021-01-11,12.75,2020-12-03,39.33,-5.51,44.84,17.95,33.03,13.4,-0.69
SANCO,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,8.6233,SUCCESS,10.2,6.9,2021-04-14,2021-07-20,66.0,11.7,2021-06-24,7.9,2021-05-10,35.68,-8.39,44.07,11.2,29.88,8.1,-6.07
SANCO,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,8.91,SUCCESS,9.8,8.5,2021-10-09,2022-01-20,71.0,23.65,2022-01-12,7.1,2021-10-22,165.43,-20.31,185.75,22.55,153.09,8.2,-7.97
SANCO,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,10.8633,SUCCESS,12.45,9.5,2022-04-09,2022-07-20,70.0,13.8,2022-04-20,8.3,2022-06-09,27.03,-23.6,50.63,13.3,22.43,8.6,-20.83
SANCO,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,9.2067,SUCCESS,9.7,8.6,2022-10-12,2023-01-20,42.0,12.25,2022-12-05,8.2,2022-11-24,33.06,-10.93,43.99,12.25,33.06,8.6,-6.59
SANCO,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,7.4667,SUCCESS,8.0,6.9,2023-04-13,2023-07-20,38.0,10.15,2023-05-17,6.2,2023-07-05,35.94,-16.96,52.9,9.7,29.91,6.5,-12.95
SANCO,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,7.1767,SUCCESS,7.95,6.5,2023-10-12,2024-01-20,69.0,9.3,2024-01-19,5.7,2023-12-22,29.59,-20.58,50.16,9.3,29.59,6.0,-16.4
SANCO,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,4.9167,SUCCESS,6.3,4.0,2024-04-16,2024-07-20,26.0,9.85,2024-06-25,6.45,2024-06-06,100.34,31.19,69.15,9.85,100.34,6.6,34.24
SANCO,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,4.6007,SUCCESS,4.99,4.13,2024-10-12,2025-01-20,68.0,5.08,2025-01-02,3.43,2024-11-25,10.42,-25.45,35.86,4.85,5.42,3.6,-21.75
SANCO,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-15,15.0,2.3533,SUCCESS,2.73,2.04,2025-04-16,2025-07-20,55.0,4.22,2025-06-30,2.22,2025-05-13,79.32,-5.67,84.99,4.02,70.82,2.34,-0.57
SANCO,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-11-12,15.0,1.9547,SUCCESS,2.55,1.67,2025-11-13,2026-01-20,47.0,3.42,2026-01-20,1.66,2025-12-05,74.97,-15.08,90.04,3.41,74.45,1.72,-12.01
SANCO,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,2.25,SUCCESS,2.58,2.02,2026-04-16,2026-07-20,34.0,4.22,2026-05-22,2.0,2026-04-16,87.56,-11.11,98.67,4.05,80.0,2.11,-6.22
