Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SCHNEIDER,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,71.2567,SUCCESS,86.9,58.7,2012-04-12,2012-07-20,72.0,100.7,2012-04-20,72.55,2012-06-21,41.32,1.82,39.51,94.25,32.27,72.95,2.38
SCHNEIDER,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,94.05,SUCCESS,101.9,89.3,2012-10-12,2013-01-20,67.0,101.55,2012-12-03,83.25,2013-01-03,7.97,-11.48,19.46,99.05,5.32,83.7,-11.0
SCHNEIDER,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,74.28,SUCCESS,77.55,69.55,2013-04-12,2013-07-20,69.0,88.0,2013-05-17,63.75,2013-06-26,18.47,-14.18,32.65,84.1,13.22,65.05,-12.43
SCHNEIDER,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,59.7267,SUCCESS,64.5,55.6,2013-10-12,2014-01-20,68.0,77.35,2014-01-13,58.0,2013-10-15,29.51,-2.89,32.4,76.4,27.92,58.65,-1.8
SCHNEIDER,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,85.03,SUCCESS,96.0,78.0,2014-04-10,2014-07-20,44.0,133.0,2014-06-13,86.25,2014-04-15,56.42,1.43,54.98,130.05,52.95,89.4,5.14
SCHNEIDER,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,168.97,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SCHNEIDER,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,168.97,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SCHNEIDER,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,168.97,SUCCESS,184.9,155.0,2016-01-16,2016-01-20,3.0,161.0,2016-01-18,140.3,2016-01-20,-4.72,-16.97,12.25,149.8,-11.35,144.65,-14.39
SCHNEIDER,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,144.68,SUCCESS,161.3,138.8,2016-04-13,2016-07-20,67.0,153.2,2016-04-18,126.0,2016-05-26,5.89,-12.91,18.8,151.45,4.68,129.5,-10.49
SCHNEIDER,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,143.5,SUCCESS,163.35,131.3,2016-10-11,2017-01-20,71.0,173.75,2016-11-02,130.0,2016-11-22,21.08,-9.41,30.49,168.35,17.32,130.6,-8.99
SCHNEIDER,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,140.3633,SUCCESS,151.0,129.85,2017-04-11,2017-07-20,70.0,162.0,2017-04-25,125.1,2017-06-27,15.41,-10.87,26.29,158.3,12.78,125.9,-10.3
SCHNEIDER,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,125.7667,SUCCESS,144.6,118.0,2017-10-12,2018-01-20,70.0,134.95,2017-11-06,119.1,2017-10-16,7.3,-5.3,12.6,132.6,5.43,119.75,-4.78
SCHNEIDER,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,116.4433,SUCCESS,123.3,108.05,2018-04-12,2018-07-20,71.0,133.85,2018-05-02,81.85,2018-07-19,14.95,-29.71,44.66,126.05,8.25,82.95,-28.76
SCHNEIDER,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,110.8233,SUCCESS,127.95,98.8,2018-10-13,2019-01-20,66.0,121.0,2018-11-14,96.0,2019-01-18,9.18,-13.38,22.56,118.45,6.88,96.3,-13.1
SCHNEIDER,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,105.78,SUCCESS,122.45,100.0,2019-04-11,2019-07-20,67.0,107.6,2019-04-12,86.65,2019-07-19,1.72,-18.08,19.81,105.05,-0.69,86.85,-17.9
SCHNEIDER,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,76.5533,SUCCESS,89.0,68.25,2019-10-15,2020-01-20,67.0,92.95,2020-01-09,60.55,2019-12-11,21.42,-20.9,42.32,86.0,12.34,61.3,-19.93
SCHNEIDER,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,67.59,SUCCESS,81.65,58.0,2020-04-16,2020-07-20,66.0,95.4,2020-06-11,73.1,2020-05-12,41.15,8.15,32.99,92.45,36.78,74.3,9.93
SCHNEIDER,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,79.0233,SUCCESS,84.45,75.75,2020-10-13,2021-01-20,69.0,106.9,2021-01-20,67.6,2020-11-04,35.28,-14.46,49.73,104.0,31.61,68.75,-13.0
SCHNEIDER,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,94.87,SUCCESS,102.9,88.45,2021-04-14,2021-07-20,66.0,141.0,2021-06-08,87.3,2021-04-19,48.62,-7.98,56.6,134.95,42.25,87.9,-7.35
SCHNEIDER,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,114.8767,SUCCESS,119.95,113.35,2021-10-09,2022-01-20,71.0,128.4,2021-11-10,98.75,2021-12-20,11.77,-14.04,25.81,125.9,9.6,100.4,-12.6
SCHNEIDER,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,119.8933,SUCCESS,130.45,106.8,2022-04-09,2022-07-20,70.0,154.0,2022-04-26,91.7,2022-06-20,28.45,-23.52,51.96,149.15,24.4,93.5,-22.01
SCHNEIDER,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,175.3867,SUCCESS,195.4,150.55,2022-10-12,2023-01-20,71.0,209.9,2023-01-16,138.2,2022-12-23,19.68,-21.2,40.88,206.45,17.71,140.1,-20.12
SCHNEIDER,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,157.61,SUCCESS,167.6,145.65,2023-04-13,2023-07-20,68.0,308.0,2023-07-18,161.0,2023-04-13,95.42,2.15,93.27,296.95,88.41,162.7,3.23
SCHNEIDER,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,352.89,SUCCESS,397.0,326.15,2023-10-12,2024-01-20,70.0,449.0,2024-01-12,300.0,2023-10-26,27.24,-14.99,42.22,437.5,23.98,310.55,-12.0
SCHNEIDER,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,743.47,SUCCESS,857.85,568.0,2024-04-16,2024-07-20,65.0,980.0,2024-07-03,649.6,2024-06-05,31.81,-12.63,44.44,939.0,26.3,683.75,-8.03
SCHNEIDER,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,813.9267,SUCCESS,884.55,737.05,2024-10-12,2025-01-20,68.0,880.0,2024-10-16,678.05,2024-11-18,8.12,-16.69,24.81,870.0,6.89,704.05,-13.5
SCHNEIDER,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,643.66,SUCCESS,722.7,561.15,2025-04-12,2025-07-20,67.0,916.0,2025-07-17,540.0,2025-05-09,42.31,-16.1,58.42,906.8,40.88,550.95,-14.4
SCHNEIDER,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,844.4167,SUCCESS,904.8,808.5,2025-10-14,2026-01-20,67.0,909.5,2025-11-04,578.25,2026-01-20,7.71,-31.52,39.23,889.95,5.39,585.45,-30.67
SCHNEIDER,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,924.62,SUCCESS,1045.0,832.95,2026-04-16,2026-07-20,65.0,1548.0,2026-07-08,979.9,2026-04-16,67.42,5.98,61.44,1501.0,62.34,998.25,7.96
SCHNEIDER,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
