Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SCPL,2022,20-March,2022-03-20,2022-11-22,2022-11-22,2022-12-12,15.0,629.8167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SCPL,2022,20-September,2022-09-20,2022-11-22,2022-11-22,2022-12-12,15.0,629.8167,SUCCESS,694.0,571.1,2022-12-13,2023-01-20,29.0,674.0,2022-12-30,523.0,2022-12-23,7.02,-16.96,23.98,654.0,3.84,537.0,-14.74
SCPL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,578.0433,SUCCESS,691.95,496.7,2023-04-13,2023-07-20,67.0,717.05,2023-04-19,365.3,2023-07-10,24.05,-36.8,60.85,701.15,21.3,378.0,-34.61
SCPL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,420.1767,SUCCESS,471.5,393.8,2023-10-12,2024-01-20,70.0,459.9,2023-10-12,325.05,2023-12-18,9.45,-22.64,32.09,450.0,7.1,331.55,-21.09
SCPL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,396.08,SUCCESS,451.9,345.0,2024-04-13,2024-07-20,66.0,634.5,2024-07-15,399.0,2024-05-06,60.19,0.74,59.46,610.4,54.11,401.3,1.32
SCPL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,370.41,SUCCESS,393.6,338.55,2024-10-12,2025-01-20,68.0,376.85,2024-11-07,300.0,2024-11-21,1.74,-19.01,20.75,371.05,0.17,304.85,-17.7
SCPL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,321.3467,SUCCESS,354.0,297.8,2025-04-12,2025-07-20,67.0,368.95,2025-04-23,287.3,2025-05-09,14.81,-10.59,25.41,354.5,10.32,298.8,-7.02
SCPL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,240.8967,SUCCESS,265.19,226.35,2025-10-14,2026-01-20,67.0,325.9,2026-01-06,190.03,2025-12-09,35.29,-21.12,56.4,322.0,33.67,194.1,-19.43
SCPL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,313.3433,SUCCESS,329.5,285.9,2026-04-16,2026-07-20,65.0,594.85,2026-07-03,300.0,2026-04-21,89.84,-4.26,94.1,561.35,79.15,305.1,-2.63
SCPL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
