Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SECURKLOUD,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-10,15.0,39.6127,SUCCESS,42.56,37.5,2014-04-11,2014-07-20,43.0,67.05,2014-06-09,39.0,2014-04-16,69.26,-1.55,70.81,63.62,60.61,39.09,-1.32
SECURKLOUD,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,856.5653,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SECURKLOUD,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,856.5653,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SECURKLOUD,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,856.5653,SUCCESS,956.25,766.13,2016-01-16,2016-01-20,3.0,871.88,2016-01-18,718.91,2016-01-20,1.79,-16.07,17.86,801.0,-6.49,729.21,-14.87
SECURKLOUD,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,745.506,SUCCESS,823.28,688.48,2016-04-13,2016-07-20,67.0,853.13,2016-05-03,570.04,2016-05-20,14.44,-23.54,37.97,842.03,12.95,593.44,-20.4
SECURKLOUD,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,745.7933,SUCCESS,839.9,699.0,2016-10-11,2017-01-20,71.0,818.0,2016-10-13,585.0,2016-11-22,9.68,-21.56,31.24,794.75,6.56,591.3,-20.72
SECURKLOUD,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,603.7233,SUCCESS,632.05,590.7,2017-04-11,2017-07-20,70.0,645.0,2017-05-10,472.05,2017-04-27,6.84,-21.81,28.65,623.9,3.34,517.2,-14.33
SECURKLOUD,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,423.0367,SUCCESS,525.0,364.7,2017-10-12,2018-01-20,70.0,1029.95,2017-11-29,481.55,2017-10-12,143.47,13.83,129.63,987.9,133.53,491.6,16.21
SECURKLOUD,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,697.89,SUCCESS,768.0,659.0,2018-04-12,2018-07-20,71.0,851.95,2018-04-25,307.5,2018-07-20,22.08,-55.94,78.01,819.7,17.45,307.5,-55.94
SECURKLOUD,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,177.83,SUCCESS,271.0,120.8,2018-10-13,2019-01-20,66.0,206.0,2018-12-05,55.4,2018-11-02,15.84,-68.85,84.69,202.65,13.96,61.55,-65.39
SECURKLOUD,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,100.31,SUCCESS,109.0,88.35,2019-04-11,2019-07-20,67.0,142.3,2019-04-18,66.3,2019-06-20,41.86,-33.9,75.77,135.55,35.13,69.75,-30.47
SECURKLOUD,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,51.9167,SUCCESS,62.9,45.25,2019-10-15,2020-01-20,22.0,43.9,2019-10-15,29.35,2020-01-20,-15.44,-43.47,28.03,43.9,-15.44,29.35,-43.47
SECURKLOUD,2020,20-March,2020-03-20,2020-03-23,2020-03-23,2020-09-11,15.0,25.61,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SECURKLOUD,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,58.5067,SUCCESS,80.35,40.85,2020-10-13,2021-01-20,69.0,112.85,2020-10-21,71.0,2020-12-11,92.88,21.35,71.53,107.5,83.74,73.2,25.11
SECURKLOUD,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,86.0233,SUCCESS,102.8,76.05,2021-04-14,2021-07-20,66.0,99.8,2021-06-10,80.0,2021-05-07,16.02,-7.0,23.02,98.5,14.5,80.75,-6.13
SECURKLOUD,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,193.1933,SUCCESS,243.75,157.05,2021-10-09,2022-01-20,71.0,232.9,2021-10-13,128.3,2021-11-23,20.55,-33.59,54.14,218.55,13.13,129.35,-33.05
SECURKLOUD,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,90.55,SUCCESS,104.9,78.3,2022-04-09,2022-07-20,70.0,102.5,2022-04-11,63.5,2022-05-12,13.2,-29.87,43.07,99.9,10.33,65.5,-27.66
SECURKLOUD,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,62.6033,SUCCESS,71.0,56.25,2022-10-12,2023-01-20,71.0,73.6,2022-12-07,56.7,2023-01-19,17.57,-9.43,27.0,69.05,10.3,57.45,-8.23
SECURKLOUD,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,36.43,SUCCESS,45.7,31.5,2023-04-13,2023-07-20,68.0,50.0,2023-07-17,30.15,2023-04-13,37.25,-17.24,54.49,48.0,31.76,31.35,-13.94
SECURKLOUD,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,40.42,SUCCESS,42.45,38.95,2023-10-12,2024-01-20,70.0,64.9,2024-01-20,34.55,2023-11-22,60.56,-14.52,75.09,63.6,57.35,35.3,-12.67
SECURKLOUD,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,42.8367,SUCCESS,47.05,37.0,2024-04-16,2024-07-20,65.0,48.5,2024-05-23,35.96,2024-06-10,13.22,-16.05,29.27,47.05,9.84,36.02,-15.91
SECURKLOUD,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,34.364,SUCCESS,44.15,29.2,2024-10-12,2025-01-20,68.0,41.5,2024-11-04,29.6,2025-01-13,20.77,-13.86,34.63,39.71,15.56,30.2,-12.12
SECURKLOUD,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,20.682,SUCCESS,27.0,16.35,2025-04-12,2025-07-20,67.0,31.82,2025-04-22,22.3,2025-07-14,53.85,7.82,46.03,31.82,53.85,23.29,12.61
SECURKLOUD,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,22.8293,SUCCESS,24.94,18.36,2025-10-14,2026-01-20,67.0,34.18,2025-11-24,16.01,2025-11-17,49.72,-29.87,79.59,31.08,36.14,16.36,-28.34
SECURKLOUD,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,22.1367,SUCCESS,27.46,17.42,2026-04-16,2026-07-20,65.0,26.05,2026-04-16,16.71,2026-07-06,17.68,-24.51,42.19,25.31,14.34,17.65,-20.27
SECURKLOUD,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
