Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SEPC,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,112.062,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SEPC,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,112.062,SUCCESS,141.2,87.84,2009-01-17,2009-01-20,2.0,90.36,2009-01-19,86.75,2009-01-20,-19.37,-22.59,3.22,89.47,-20.16,86.98,-22.38
SEPC,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,101.1727,SUCCESS,128.68,72.3,2009-04-16,2009-07-20,65.0,202.37,2009-05-25,107.63,2009-04-22,100.02,6.38,93.64,186.61,84.45,111.15,9.86
SEPC,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,174.97,SUCCESS,189.77,168.17,2009-10-16,2010-01-20,65.0,239.03,2009-12-24,175.63,2009-10-16,36.61,0.38,36.23,228.36,30.51,176.22,0.71
SEPC,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,205.376,SUCCESS,272.73,175.31,2010-04-14,2010-07-20,69.0,266.59,2010-05-24,217.79,2010-05-05,29.81,6.04,23.76,261.39,27.27,228.54,11.28
SEPC,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,253.7873,SUCCESS,275.53,246.02,2010-10-09,2011-01-20,72.0,252.12,2010-10-11,162.71,2010-12-10,-0.66,-35.89,35.23,246.75,-2.77,169.43,-33.24
SEPC,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,145.8687,SUCCESS,157.7,132.12,2011-04-09,2011-07-20,70.0,163.61,2011-06-17,112.06,2011-05-24,12.16,-23.18,35.34,156.11,7.02,115.9,-20.54
SEPC,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,108.766,SUCCESS,115.68,102.38,2011-10-12,2012-01-20,70.0,119.28,2011-10-31,69.85,2011-12-29,9.67,-35.78,45.45,110.79,1.86,72.39,-33.44
SEPC,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,73.472,SUCCESS,78.98,69.58,2012-04-12,2012-07-20,72.0,83.14,2012-04-20,48.26,2012-05-23,13.16,-34.32,47.47,79.39,8.05,49.98,-31.97
SEPC,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,60.9633,SUCCESS,67.69,50.43,2012-10-12,2013-01-20,67.0,76.72,2012-12-06,56.12,2012-11-26,25.85,-7.94,33.79,74.23,21.76,58.06,-4.76
SEPC,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,51.1387,SUCCESS,58.92,47.35,2013-04-12,2013-07-20,69.0,63.17,2013-05-13,34.88,2013-07-18,23.53,-31.79,55.32,55.48,8.49,36.19,-29.23
SEPC,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,28.7187,SUCCESS,31.54,26.71,2013-10-12,2014-01-20,68.0,31.36,2013-11-20,24.3,2013-10-29,9.2,-15.39,24.58,29.96,4.32,24.85,-13.47
SEPC,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,26.8787,SUCCESS,29.78,25.3,2014-04-10,2014-07-20,44.0,39.49,2014-05-27,28.47,2014-04-11,46.92,5.92,41.0,37.64,40.04,29.14,8.41
