Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SFL,2016,20-March,2016-03-20,2016-12-09,2016-12-09,2016-12-29,15.0,477.0633,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SFL,2016,20-September,2016-09-20,2016-12-09,2016-12-09,2016-12-29,15.0,477.0633,SUCCESS,582.0,425.05,2016-12-30,2017-01-20,16.0,499.5,2017-01-13,460.5,2017-01-05,4.7,-3.47,8.18,496.18,4.01,464.4,-2.65
SFL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,548.2693,SUCCESS,582.5,533.48,2017-04-11,2017-07-20,70.0,714.5,2017-05-09,527.5,2017-05-30,30.32,-3.79,34.11,707.48,29.04,557.73,1.73
SFL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,728.704,SUCCESS,778.5,666.0,2017-10-12,2018-01-20,70.0,925.0,2017-11-20,635.0,2017-10-27,26.94,-12.86,39.8,897.23,23.13,677.78,-6.99
SFL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,757.9727,SUCCESS,786.98,700.0,2018-04-12,2018-07-20,71.0,787.48,2018-04-27,635.85,2018-05-21,3.89,-16.11,20.0,779.33,2.82,649.73,-14.28
SFL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,832.594,SUCCESS,885.0,757.38,2018-10-13,2019-01-20,66.0,830.0,2018-10-16,634.25,2019-01-17,-0.31,-23.82,23.51,801.25,-3.76,642.78,-22.8
SFL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,654.3687,SUCCESS,721.5,600.05,2019-04-11,2019-07-20,67.0,707.5,2019-04-16,597.98,2019-05-21,8.12,-8.62,16.74,700.08,6.99,611.58,-6.54
SFL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,637.088,SUCCESS,669.0,612.55,2019-10-15,2020-01-20,67.0,707.0,2020-01-20,601.9,2019-10-31,10.97,-5.52,16.5,698.05,9.57,616.28,-3.27
SFL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,626.034,SUCCESS,745.0,575.93,2020-04-16,2020-07-20,66.0,838.65,2020-05-05,603.55,2020-04-22,33.96,-3.59,37.55,762.3,21.77,615.85,-1.63
SFL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,675.5433,SUCCESS,769.0,648.05,2020-10-13,2021-01-20,70.0,1051.7,2021-01-05,611.08,2020-10-22,55.68,-9.54,65.22,1037.73,53.61,622.65,-7.83
SFL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,1013.4487,SUCCESS,1098.5,965.0,2021-04-14,2021-07-20,66.0,1249.05,2021-07-14,970.0,2021-04-19,23.25,-4.29,27.53,1206.5,19.05,992.75,-2.04
SFL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,1191.848,SUCCESS,1259.5,1123.13,2021-10-09,2022-01-20,71.0,1979.75,2022-01-12,1185.75,2021-10-11,66.11,-0.51,66.62,1882.73,57.97,1205.48,1.14
SFL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,1757.084,SUCCESS,1946.0,1616.88,2022-04-09,2022-07-20,70.0,2027.5,2022-04-13,1271.3,2022-06-22,15.39,-27.65,43.04,1972.2,12.24,1281.78,-27.05
SFL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,1434.2473,SUCCESS,1560.0,1302.63,2022-10-12,2023-01-20,71.0,1474.0,2022-11-07,1202.65,2022-12-23,2.77,-16.15,18.92,1448.75,1.01,1223.2,-14.71
SFL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,1039.4867,SUCCESS,1103.9,906.6,2023-04-13,2023-07-20,68.0,1365.0,2023-07-18,992.75,2023-05-25,31.31,-4.5,35.81,1240.0,19.29,999.75,-3.82
