Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SHANTIGEAR,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,2.7833,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SHANTIGEAR,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,2.7833,SUCCESS,2.91,2.69,2002-01-16,2002-01-20,3.0,2.88,2002-01-18,2.73,2002-01-16,3.47,-1.92,5.39,2.76,-0.84,2.74,-1.56
SHANTIGEAR,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,2.7,SUCCESS,3.33,2.57,2002-04-12,2002-07-20,70.0,5.77,2002-07-08,2.98,2002-04-12,113.7,10.37,103.33,5.54,105.19,3.09,14.44
SHANTIGEAR,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-14,15.0,3.814,SUCCESS,4.11,3.58,2002-10-15,2003-01-20,65.0,4.37,2003-01-01,3.72,2002-10-17,14.58,-2.46,17.04,4.3,12.74,3.72,-2.46
SHANTIGEAR,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-11,15.0,4.218,SUCCESS,4.44,4.11,2003-04-12,2003-07-20,66.0,6.94,2003-07-08,4.3,2003-04-25,64.53,1.94,62.59,6.78,60.74,4.3,1.94
SHANTIGEAR,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,8.1987,SUCCESS,8.81,7.69,2003-10-14,2004-01-20,71.0,14.04,2004-01-20,7.71,2003-10-15,71.25,-5.96,77.21,13.62,66.12,7.91,-3.52
SHANTIGEAR,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,14.6867,SUCCESS,15.82,11.98,2004-04-13,2004-07-20,70.0,20.61,2004-07-19,13.88,2004-05-13,40.33,-5.49,45.82,19.05,29.71,15.28,4.04
SHANTIGEAR,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,25.4167,SUCCESS,28.0,22.9,2004-10-09,2005-01-20,71.0,44.9,2005-01-10,23.7,2004-10-25,76.66,-6.75,83.41,41.3,62.49,24.0,-5.57
SHANTIGEAR,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,37.98,SUCCESS,41.4,35.0,2005-04-12,2005-07-20,72.0,59.5,2005-05-05,37.3,2005-04-15,56.66,-1.79,58.45,57.35,51.0,39.0,2.69
SHANTIGEAR,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,56.91,SUCCESS,60.45,52.1,2005-10-11,2006-01-20,70.0,72.75,2006-01-12,44.0,2005-11-02,27.83,-22.68,50.52,69.4,21.95,50.1,-11.97
SHANTIGEAR,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,83.1033,SUCCESS,92.45,78.5,2006-04-11,2006-07-20,72.0,92.8,2006-05-12,50.0,2006-06-08,11.67,-39.83,51.5,85.85,3.31,53.45,-35.68
SHANTIGEAR,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,68.27,SUCCESS,76.7,62.7,2006-10-12,2007-01-20,69.0,83.8,2006-10-19,64.0,2006-12-13,22.75,-6.25,29.0,77.35,13.3,65.35,-4.28
SHANTIGEAR,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,60.71,SUCCESS,63.95,58.0,2007-04-12,2007-07-20,45.0,75.9,2007-05-17,61.3,2007-04-12,25.02,0.97,24.05,74.9,23.37,62.05,2.21
SHANTIGEAR,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,34.7267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SHANTIGEAR,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,34.7267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
