Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SHARDAMOTR,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,96.3153,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SHARDAMOTR,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,96.3153,SUCCESS,102.28,86.89,2016-01-16,2016-01-20,3.0,85.99,2016-01-18,79.45,2016-01-18,-10.72,-17.51,6.79,82.42,-14.43,81.31,-15.58
SHARDAMOTR,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-13,15.0,80.8373,SUCCESS,91.26,76.55,2016-04-14,2016-07-20,66.0,97.31,2016-07-19,79.59,2016-05-30,20.38,-1.54,21.92,95.42,18.04,80.48,-0.44
SHARDAMOTR,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,115.4,SUCCESS,120.15,100.42,2016-10-11,2017-01-20,71.0,136.4,2016-11-01,94.24,2016-12-26,18.2,-18.34,36.53,133.52,15.7,95.0,-17.68
SHARDAMOTR,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,189.6373,SUCCESS,209.12,156.99,2017-04-11,2017-07-20,70.0,298.64,2017-06-13,169.02,2017-05-24,57.48,-10.87,68.35,289.23,52.52,170.7,-9.99
SHARDAMOTR,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,266.0593,SUCCESS,281.61,248.34,2017-10-12,2018-01-20,70.0,276.52,2017-10-12,221.43,2017-11-24,3.93,-16.77,20.71,269.63,1.34,224.07,-15.78
SHARDAMOTR,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,190.7987,SUCCESS,200.58,173.77,2018-04-12,2018-07-20,71.0,229.77,2018-05-28,173.08,2018-05-22,20.43,-9.29,29.71,224.76,17.8,176.84,-7.32
SHARDAMOTR,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,162.0693,SUCCESS,188.57,141.6,2018-10-13,2019-01-20,66.0,168.36,2018-10-17,140.23,2019-01-16,3.88,-13.48,17.36,160.66,-0.87,142.99,-11.77
SHARDAMOTR,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,149.7467,SUCCESS,161.24,146.54,2019-04-11,2019-07-20,67.0,153.9,2019-05-28,91.86,2019-07-19,2.77,-38.66,41.43,151.32,1.05,93.23,-37.74
SHARDAMOTR,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,90.6313,SUCCESS,98.7,76.66,2019-10-15,2020-01-20,67.0,119.95,2019-10-30,76.96,2019-10-17,32.35,-15.08,47.43,117.7,29.87,79.1,-12.72
SHARDAMOTR,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,60.4853,SUCCESS,75.0,51.29,2020-04-16,2020-07-20,66.0,94.1,2020-06-30,57.46,2020-05-20,55.57,-5.0,60.58,90.91,50.3,58.49,-3.3
SHARDAMOTR,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,85.812,SUCCESS,90.9,80.0,2020-10-13,2021-01-20,70.0,225.0,2021-01-01,80.0,2020-10-15,162.2,-6.77,168.97,215.85,151.54,81.47,-5.06
SHARDAMOTR,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,206.6633,SUCCESS,230.0,183.5,2021-04-14,2021-07-20,66.0,377.5,2021-07-02,162.45,2021-05-05,82.66,-21.39,104.06,356.0,72.26,164.33,-20.48
SHARDAMOTR,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,305.7207,SUCCESS,318.4,292.5,2021-10-09,2022-01-20,71.0,477.45,2021-12-29,293.0,2021-11-01,56.17,-4.16,60.33,451.33,47.63,295.93,-3.2
SHARDAMOTR,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,383.4307,SUCCESS,411.7,365.0,2022-04-09,2022-07-20,70.0,424.4,2022-07-07,288.33,2022-05-12,10.68,-24.8,35.49,420.38,9.64,315.8,-17.64
SHARDAMOTR,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,408.7587,SUCCESS,449.48,389.5,2022-10-12,2023-01-20,71.0,429.45,2022-11-15,335.0,2022-12-26,5.06,-18.04,23.11,421.23,3.05,349.23,-14.56
SHARDAMOTR,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,296.3113,SUCCESS,318.58,275.2,2023-04-13,2023-07-20,68.0,459.0,2023-05-19,309.53,2023-04-24,54.9,4.46,50.44,423.68,42.98,310.78,4.88
SHARDAMOTR,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,490.3513,SUCCESS,511.5,469.53,2023-10-12,2024-01-20,70.0,747.2,2024-01-08,432.3,2023-10-26,52.38,-11.84,64.22,719.55,46.74,444.78,-9.29
SHARDAMOTR,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,697.332,SUCCESS,799.95,582.53,2024-04-13,2024-07-20,66.0,1476.05,2024-07-09,709.55,2024-06-04,111.67,1.75,109.92,1462.73,109.76,727.13,4.27
SHARDAMOTR,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1167.71,SUCCESS,1263.43,1006.03,2024-10-12,2025-01-20,68.0,1185.05,2024-11-06,880.53,2025-01-20,1.48,-24.59,26.08,1152.18,-1.33,887.95,-23.96
SHARDAMOTR,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,781.1487,SUCCESS,973.98,625.0,2025-04-12,2025-07-20,67.0,1248.0,2025-07-07,751.0,2025-05-07,59.76,-3.86,63.62,1216.7,55.76,766.85,-1.83
SHARDAMOTR,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1074.62,SUCCESS,1153.7,1032.0,2025-10-14,2026-01-20,67.0,1189.9,2025-11-11,830.0,2026-01-19,10.73,-22.76,33.49,1174.4,9.29,840.6,-21.78
SHARDAMOTR,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,777.29,SUCCESS,864.0,700.0,2026-04-16,2026-07-20,65.0,928.0,2026-05-21,764.5,2026-06-11,19.39,-1.65,21.03,909.55,17.02,766.6,-1.38
SHARDAMOTR,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
