Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SHREECEM,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,44.3767,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SHREECEM,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,44.3767,SUCCESS,51.8,37.0,2002-01-16,2002-01-20,3.0,49.0,2002-01-18,45.5,2002-01-18,10.42,2.53,7.89,46.8,5.46,45.95,3.55
SHREECEM,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,41.97,SUCCESS,43.9,40.75,2002-04-12,2002-07-20,70.0,60.0,2002-06-17,41.0,2002-05-21,42.96,-2.31,45.27,55.25,31.64,42.0,0.07
SHREECEM,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,45.16,SUCCESS,46.5,43.0,2002-10-12,2003-01-20,67.0,59.0,2002-12-02,44.3,2002-10-30,30.65,-1.9,32.55,56.95,26.11,44.65,-1.13
SHREECEM,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,46.5467,SUCCESS,50.1,43.0,2003-04-09,2003-07-20,70.0,102.0,2003-07-03,46.3,2003-04-15,119.13,-0.53,119.66,86.4,85.62,47.35,1.73
SHREECEM,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,91.4533,SUCCESS,102.5,85.0,2003-10-14,2004-01-20,71.0,159.8,2003-12-30,82.0,2003-10-30,74.73,-10.34,85.07,157.8,72.55,84.3,-7.82
SHREECEM,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,144.9867,SUCCESS,158.0,134.95,2004-04-13,2004-07-20,70.0,200.0,2004-05-13,140.0,2004-06-15,37.94,-3.44,41.38,195.5,34.84,141.4,-2.47
SHREECEM,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,196.14,SUCCESS,205.0,187.1,2004-10-09,2005-01-20,71.0,295.0,2005-01-07,185.05,2004-10-27,50.4,-5.65,56.06,289.75,47.73,189.5,-3.39
SHREECEM,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,329.99,SUCCESS,350.0,305.05,2005-04-12,2005-07-20,72.0,400.0,2005-05-10,325.15,2005-04-18,21.22,-1.47,22.68,378.5,14.7,329.55,-0.13
SHREECEM,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,466.0333,SUCCESS,500.0,401.7,2005-10-11,2006-01-20,70.0,571.0,2006-01-20,375.55,2005-11-18,22.52,-19.42,41.94,569.0,22.09,410.15,-11.99
