Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SHYAMCENT,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,7.3433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SHYAMCENT,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,7.3433,SUCCESS,8.8,6.2,2016-01-16,2016-01-20,3.0,7.0,2016-01-19,6.15,2016-01-19,-4.68,-16.25,11.58,7.0,-4.68,6.6,-10.12
SHYAMCENT,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,5.22,SUCCESS,5.9,4.85,2016-04-13,2016-07-20,67.0,7.7,2016-05-25,5.3,2016-04-18,47.51,1.53,45.98,7.2,37.93,5.85,12.07
SHYAMCENT,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,6.7933,SUCCESS,7.5,5.75,2016-10-11,2017-01-20,71.0,11.25,2016-12-02,6.5,2016-10-17,65.6,-4.32,69.92,10.95,61.19,6.7,-1.37
SHYAMCENT,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,8.1267,SUCCESS,9.25,7.4,2017-04-11,2017-07-20,70.0,11.2,2017-05-31,7.5,2017-04-17,37.82,-7.71,45.53,9.35,15.05,7.75,-4.63
SHYAMCENT,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,8.24,SUCCESS,8.9,7.85,2017-10-12,2018-01-20,70.0,18.65,2017-11-10,7.75,2017-10-18,126.33,-5.95,132.28,17.95,117.84,8.05,-2.31
SHYAMCENT,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,9.57,SUCCESS,10.4,8.7,2018-04-12,2018-07-20,71.0,14.5,2018-04-24,8.0,2018-06-28,51.52,-16.41,67.92,13.9,45.25,8.25,-13.79
SHYAMCENT,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,7.3233,SUCCESS,9.0,6.3,2018-10-13,2019-01-20,66.0,8.3,2018-12-20,5.85,2018-12-10,13.34,-20.12,33.45,7.85,7.19,6.2,-15.34
SHYAMCENT,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,6.33,SUCCESS,7.0,5.4,2019-04-11,2019-07-20,67.0,7.0,2019-04-30,3.5,2019-07-15,10.58,-44.71,55.29,6.75,6.64,3.7,-41.55
SHYAMCENT,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,2.6133,SUCCESS,2.95,2.25,2019-10-15,2020-01-20,67.0,4.25,2020-01-20,2.4,2019-10-15,62.63,-8.16,70.79,4.25,62.63,2.5,-4.34
SHYAMCENT,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,2.0433,SUCCESS,2.35,1.8,2020-04-16,2020-07-20,66.0,4.05,2020-07-01,2.15,2020-04-16,98.21,5.22,92.99,4.0,95.76,2.2,7.67
SHYAMCENT,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,4.09,SUCCESS,4.65,3.7,2020-10-13,2021-01-20,69.0,7.75,2020-12-17,3.35,2020-10-15,89.49,-18.09,107.58,7.4,80.93,3.5,-14.43
SHYAMCENT,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,5.5367,SUCCESS,6.9,5.05,2021-04-14,2021-07-20,66.0,18.55,2021-07-20,5.0,2021-04-20,235.04,-9.69,244.73,18.55,235.04,5.35,-3.37
SHYAMCENT,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,13.0367,SUCCESS,15.9,10.05,2021-10-09,2022-01-20,71.0,19.45,2022-01-11,10.7,2021-12-01,49.19,-17.92,67.12,18.65,43.06,10.85,-16.77
SHYAMCENT,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,23.6767,SUCCESS,29.95,18.0,2022-04-09,2022-07-20,70.0,38.05,2022-04-19,18.35,2022-06-21,60.71,-22.5,83.2,36.25,53.1,18.95,-19.96
