Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SHYAMMETL,2021,20-March,2021-03-20,2021-06-24,2021-06-24,2021-07-14,15.0,392.8033,SUCCESS,428.5,361.1,2021-07-15,2021-07-20,4.0,461.15,2021-07-20,404.25,2021-07-15,17.4,2.91,14.49,442.3,12.6,406.2,3.41
SHYAMMETL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,370.7567,SUCCESS,398.9,357.0,2021-10-09,2022-01-20,71.0,382.35,2021-10-19,300.0,2021-12-20,3.13,-19.08,22.21,374.2,0.93,308.25,-16.86
SHYAMMETL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,366.0467,SUCCESS,385.5,350.0,2022-04-09,2022-07-20,70.0,372.85,2022-04-11,273.1,2022-06-20,1.86,-25.39,27.25,370.1,1.11,276.45,-24.48
SHYAMMETL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,290.01,SUCCESS,303.0,280.75,2022-10-12,2023-01-20,71.0,334.9,2023-01-03,280.05,2022-10-12,15.48,-3.43,18.91,327.05,12.77,284.05,-2.06
SHYAMMETL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,273.8033,SUCCESS,295.0,254.55,2023-04-13,2023-07-20,68.0,392.8,2023-07-19,287.55,2023-04-13,43.46,5.02,38.44,382.5,39.7,291.5,6.46
SHYAMMETL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,438.3667,SUCCESS,451.7,426.9,2023-10-12,2024-01-20,70.0,703.5,2024-01-20,420.2,2023-10-25,60.48,-4.14,64.63,696.75,58.94,431.85,-1.49
SHYAMMETL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,609.26,SUCCESS,658.9,564.1,2024-04-13,2024-07-20,66.0,745.3,2024-07-05,524.2,2024-06-04,22.33,-13.96,36.29,732.75,20.27,552.3,-9.35
SHYAMMETL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,915.9933,SUCCESS,956.9,861.5,2024-10-12,2025-01-20,68.0,939.0,2024-10-17,628.25,2025-01-10,2.51,-31.41,33.92,925.55,1.04,717.25,-21.7
SHYAMMETL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,858.07,SUCCESS,924.0,745.0,2025-04-12,2025-07-20,67.0,950.0,2025-05-16,805.6,2025-06-19,10.71,-6.11,16.83,937.75,9.29,818.55,-4.61
SHYAMMETL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,927.0867,SUCCESS,988.0,879.35,2025-10-14,2026-01-20,67.0,934.85,2025-10-14,776.4,2025-12-09,0.84,-16.25,17.09,928.4,0.14,789.35,-14.86
SHYAMMETL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,806.81,SUCCESS,865.0,747.95,2026-04-16,2026-07-20,65.0,1090.0,2026-07-20,802.3,2026-04-23,35.1,-0.56,35.66,1055.0,30.76,812.55,0.71
SHYAMMETL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
