Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SILGO,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,48.5133,SUCCESS,62.72,34.65,2021-04-14,2021-07-20,66.0,52.89,2021-04-23,35.21,2021-06-18,9.02,-27.42,36.44,50.16,3.39,35.73,-26.35
SILGO,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,32.6367,SUCCESS,41.84,26.8,2021-10-09,2022-01-20,71.0,40.81,2021-10-26,27.55,2021-12-06,25.04,-15.59,40.63,39.21,20.14,27.88,-14.57
SILGO,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,25.8293,SUCCESS,28.82,23.18,2022-04-09,2022-07-20,70.0,37.52,2022-05-20,24.87,2022-07-01,45.26,-3.71,48.98,35.21,36.32,25.62,-0.81
SILGO,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,23.726,SUCCESS,25.34,21.34,2022-10-12,2023-01-20,71.0,28.16,2022-12-20,21.16,2022-11-21,18.69,-10.82,29.5,26.23,10.55,21.53,-9.26
SILGO,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,15.856,SUCCESS,17.87,13.4,2023-04-13,2023-07-20,68.0,31.5,2023-07-19,15.23,2023-04-13,98.66,-3.95,102.61,28.21,77.91,15.61,-1.55
SILGO,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,22.2647,SUCCESS,23.6,21.25,2023-10-12,2024-01-20,70.0,40.43,2024-01-11,21.44,2023-10-26,81.59,-3.7,85.29,38.41,72.52,21.72,-2.45
SILGO,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,27.0873,SUCCESS,31.64,22.19,2024-04-16,2024-07-20,65.0,38.55,2024-05-03,28.21,2024-04-16,42.32,4.14,38.17,37.28,37.63,29.95,10.57
SILGO,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,40.7267,SUCCESS,44.65,37.61,2024-10-12,2025-01-20,68.0,48.64,2024-10-14,30.8,2025-01-13,19.43,-24.37,43.8,46.93,15.23,31.28,-23.2
SILGO,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,44.022,SUCCESS,47.49,41.12,2025-04-12,2025-07-20,67.0,57.3,2025-07-15,42.04,2025-04-17,30.16,-4.5,34.66,56.26,27.8,42.7,-3.0
SILGO,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,63.8747,SUCCESS,68.12,58.87,2025-10-14,2026-01-20,67.0,82.28,2025-12-29,57.36,2025-11-26,28.81,-10.2,39.01,80.94,26.72,59.25,-7.24
SILGO,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,73.544,SUCCESS,78.78,69.5,2026-04-16,2026-07-20,65.0,86.2,2026-05-29,64.2,2026-05-13,17.21,-12.71,29.91,83.51,13.55,72.52,-1.39
SILGO,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
