Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SIS,2017,20-March,2017-03-20,2017-08-10,2017-08-10,2017-09-01,15.0,389.882,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SIS,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,388.768,SUCCESS,401.73,376.55,2017-10-12,2018-01-20,70.0,647.53,2017-12-21,386.5,2017-10-27,66.56,-0.58,67.14,632.28,62.64,387.75,-0.26
SIS,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,559.5287,SUCCESS,587.25,525.0,2018-04-12,2018-07-20,71.0,699.0,2018-05-03,522.5,2018-07-18,24.93,-6.62,31.54,689.45,23.22,538.68,-3.73
SIS,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,467.676,SUCCESS,524.0,413.13,2018-10-13,2019-01-20,66.0,483.1,2018-10-15,353.45,2018-11-22,3.3,-24.42,27.72,464.1,-0.76,368.98,-21.1
SIS,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,427.4467,SUCCESS,441.75,406.03,2019-04-11,2019-07-20,67.0,494.5,2019-05-21,401.18,2019-04-30,15.69,-6.15,21.83,475.48,11.24,412.5,-3.5
SIS,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,428.858,SUCCESS,459.98,416.43,2019-10-15,2020-01-20,67.0,521.0,2020-01-15,424.0,2019-10-15,21.49,-1.13,22.62,516.25,20.38,434.18,1.24
SIS,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,410.2633,SUCCESS,474.0,336.0,2020-04-16,2020-07-20,66.0,445.0,2020-04-27,322.1,2020-05-07,8.47,-21.49,29.96,419.3,2.2,345.2,-15.86
SIS,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,369.9767,SUCCESS,396.0,354.25,2020-10-13,2021-01-20,69.0,477.4,2020-12-16,347.05,2020-10-15,29.04,-6.2,35.23,470.8,27.25,348.7,-5.75
SIS,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,395.0533,SUCCESS,417.5,365.0,2021-04-14,2021-07-20,66.0,529.5,2021-07-13,353.85,2021-04-29,34.03,-10.43,44.46,508.55,28.73,355.5,-10.01
SIS,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,482.8667,SUCCESS,509.65,449.6,2021-10-09,2022-01-20,71.0,549.0,2021-11-25,422.05,2021-11-02,13.7,-12.59,26.29,530.25,9.81,434.9,-9.93
SIS,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,496.65,SUCCESS,523.45,472.8,2022-04-09,2022-07-20,70.0,528.0,2022-04-26,434.9,2022-06-14,6.31,-12.43,18.75,515.75,3.85,437.3,-11.95
SIS,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,419.4733,SUCCESS,441.0,400.0,2022-10-12,2023-01-20,71.0,427.4,2022-10-14,371.0,2023-01-20,1.89,-11.56,13.45,424.25,1.14,374.25,-10.78
SIS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,344.54,SUCCESS,380.0,318.95,2023-04-13,2023-07-20,68.0,442.4,2023-07-13,367.1,2023-04-13,28.4,6.55,21.86,435.35,26.36,375.6,9.01
SIS,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,443.0367,SUCCESS,485.5,420.25,2023-10-12,2024-01-20,70.0,564.55,2024-01-20,400.0,2023-10-26,27.43,-9.71,37.14,516.0,16.47,411.0,-7.23
SIS,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,441.5667,SUCCESS,469.8,402.4,2024-04-13,2024-07-20,66.0,484.9,2024-04-24,393.0,2024-06-04,9.81,-11.0,20.81,476.3,7.87,404.55,-8.38
SIS,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,410.3933,SUCCESS,425.0,392.95,2024-10-12,2025-01-20,68.0,411.85,2024-10-15,326.3,2025-01-14,0.35,-20.49,20.85,406.15,-1.03,330.95,-19.36
SIS,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,329.4867,SUCCESS,346.15,291.55,2025-04-12,2025-07-20,67.0,390.5,2025-07-16,319.3,2025-05-09,18.52,-3.09,21.61,382.95,16.23,321.3,-2.48
SIS,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,337.93,SUCCESS,356.45,319.3,2025-10-14,2026-01-20,67.0,349.05,2025-10-23,319.7,2026-01-20,3.29,-5.39,8.69,345.0,2.09,321.3,-4.92
SIS,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,289.7767,SUCCESS,320.0,257.05,2026-04-16,2026-07-20,65.0,480.95,2026-06-24,316.2,2026-04-20,65.97,9.12,56.85,441.5,52.36,319.6,10.29
SIS,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
