Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SOFTTECH,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,107.4167,SUCCESS,116.1,97.5,2022-04-09,2022-07-20,68.0,144.8,2022-04-13,84.65,2022-07-04,34.8,-21.19,56.0,137.75,28.24,88.25,-17.84
SOFTTECH,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,175.2267,SUCCESS,201.0,152.85,2022-10-12,2023-01-20,71.0,186.45,2023-01-19,130.95,2022-12-12,6.41,-25.27,31.67,180.95,3.27,136.25,-22.24
SOFTTECH,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,152.3333,SUCCESS,177.9,131.35,2023-04-13,2023-07-20,68.0,187.95,2023-04-20,121.55,2023-05-26,23.38,-20.21,43.59,162.45,6.64,130.0,-14.66
SOFTTECH,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,204.8633,SUCCESS,287.45,170.25,2023-10-12,2024-01-20,70.0,295.05,2024-01-20,206.8,2023-10-26,44.02,0.95,43.08,291.35,42.22,211.7,3.34
SOFTTECH,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,308.6933,SUCCESS,343.0,270.1,2024-04-16,2024-07-20,65.0,395.95,2024-07-02,280.2,2024-06-05,28.27,-9.23,37.5,389.75,26.26,285.1,-7.64
SOFTTECH,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,356.9333,SUCCESS,380.0,328.35,2024-10-12,2025-01-20,68.0,612.05,2024-12-12,305.0,2024-10-25,71.47,-14.55,86.02,564.25,58.08,340.7,-4.55
SOFTTECH,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,346.74,SUCCESS,368.75,313.3,2025-04-12,2025-07-20,67.0,421.0,2025-04-22,314.05,2025-06-18,21.42,-9.43,30.84,409.05,17.97,318.9,-8.03
SOFTTECH,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,373.6233,SUCCESS,393.75,359.0,2025-10-14,2026-01-20,67.0,389.0,2025-10-14,290.0,2026-01-14,4.12,-22.38,26.5,374.8,0.31,297.95,-20.25
SOFTTECH,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,272.0273,SUCCESS,329.98,215.0,2026-04-16,2026-07-20,63.0,489.9,2026-06-02,287.15,2026-04-21,80.09,5.56,74.53,481.25,76.91,302.14,11.07
SOFTTECH,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
