Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SOMANYCERA,2001,20-March,2001-03-20,2001-12-27,2001-12-27,2002-01-17,15.0,4.318,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SOMANYCERA,2001,20-September,2001-09-20,2001-12-27,2001-12-27,2002-01-17,15.0,4.318,SUCCESS,4.58,4.0,2002-01-18,2002-01-20,1.0,4.4,2002-01-18,4.4,2002-01-18,1.9,1.9,0.0,4.4,1.9,4.4,1.9
SOMANYCERA,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,4.0787,SUCCESS,4.4,3.65,2002-04-12,2002-07-20,68.0,8.5,2002-07-10,4.0,2002-04-18,108.4,-1.93,110.33,7.7,88.79,4.2,2.97
SOMANYCERA,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-22,15.0,5.1513,SUCCESS,5.7,4.86,2002-10-23,2003-01-20,55.0,5.46,2002-10-24,4.33,2002-12-13,5.99,-15.94,21.94,5.08,-1.38,4.33,-15.94
SOMANYCERA,2003,20-March,2003-03-20,2003-03-22,2003-03-22,2003-04-11,15.0,4.2073,SUCCESS,4.76,3.85,2003-04-12,2003-07-20,61.0,5.79,2003-07-08,4.1,2003-06-05,37.62,-2.55,40.17,5.4,28.35,4.17,-0.89
SOMANYCERA,2003,20-September,2003-09-20,2003-09-23,2003-09-23,2003-10-16,15.0,4.8667,SUCCESS,5.35,4.22,2003-10-17,2004-01-20,65.0,10.0,2003-12-22,4.25,2003-11-03,105.48,-12.67,118.15,9.41,93.36,4.3,-11.64
SOMANYCERA,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,6.7587,SUCCESS,7.41,5.41,2004-04-13,2004-07-20,64.0,9.4,2004-05-10,5.44,2004-06-11,39.08,-19.51,58.59,9.12,34.94,5.81,-14.04
SOMANYCERA,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,7.812,SUCCESS,8.74,7.43,2004-10-09,2005-01-20,71.0,14.96,2004-11-25,7.62,2004-10-12,91.5,-2.46,93.96,13.42,71.79,7.81,-0.03
SOMANYCERA,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,8.8393,SUCCESS,9.75,7.2,2005-04-12,2005-07-20,72.0,16.38,2005-07-15,7.62,2005-05-02,85.31,-13.79,99.1,15.86,79.43,8.36,-5.42
SOMANYCERA,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,17.564,SUCCESS,23.5,15.22,2005-10-11,2006-01-20,70.0,17.87,2006-01-04,12.0,2005-10-31,1.74,-31.68,33.42,17.21,-2.02,12.13,-30.94
SOMANYCERA,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,16.7153,SUCCESS,18.69,14.8,2006-04-11,2006-07-20,69.0,23.99,2006-05-18,10.5,2006-06-15,43.52,-37.18,80.7,22.31,33.47,11.03,-34.01
SOMANYCERA,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,14.4727,SUCCESS,16.0,13.21,2006-10-12,2007-01-20,66.0,18.83,2006-12-04,13.11,2006-12-13,30.11,-9.42,39.52,17.12,18.29,13.45,-7.07
SOMANYCERA,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-17,15.0,11.4,SUCCESS,12.97,10.41,2007-04-18,2007-07-20,34.0,14.67,2007-05-11,11.18,2007-04-23,28.68,-1.93,30.61,14.6,28.07,11.35,-0.44
SOMANYCERA,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-27,15.0,8.68,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SOMANYCERA,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-27,15.0,8.68,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SOMANYCERA,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-27,15.0,8.68,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SOMANYCERA,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-24,15.0,9.19,SUCCESS,10.08,8.5,2009-04-25,2009-07-20,43.0,14.96,2009-07-20,8.95,2009-05-07,62.79,-2.61,65.4,14.35,56.15,9.12,-0.76
SOMANYCERA,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,22.4853,SUCCESS,23.98,20.82,2009-10-16,2010-01-20,50.0,34.4,2010-01-18,21.5,2009-12-23,52.99,-4.38,57.37,33.37,48.41,22.01,-2.11
SOMANYCERA,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,32.9053,SUCCESS,37.39,30.5,2010-04-14,2010-07-20,69.0,59.79,2010-07-07,32.21,2010-05-31,81.7,-2.11,83.82,56.75,72.46,37.02,12.5
SOMANYCERA,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,53.2887,SUCCESS,59.6,48.71,2010-10-09,2011-01-20,72.0,71.38,2010-11-10,48.5,2011-01-20,33.95,-8.99,42.94,69.71,30.82,49.55,-7.02
SOMANYCERA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,39.8233,SUCCESS,46.6,35.0,2011-04-09,2011-07-20,70.0,53.55,2011-05-02,37.6,2011-06-23,34.47,-5.58,40.05,46.3,16.26,37.95,-4.7
SOMANYCERA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,42.8833,SUCCESS,50.0,38.1,2011-10-12,2012-01-20,70.0,52.7,2011-10-24,28.8,2011-12-28,22.89,-32.84,55.73,48.5,13.1,31.8,-25.85
SOMANYCERA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,39.5167,SUCCESS,42.35,36.05,2012-04-12,2012-07-20,72.0,48.7,2012-04-23,39.1,2012-06-15,23.24,-1.05,24.29,47.65,20.58,40.6,2.74
SOMANYCERA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,55.4633,SUCCESS,59.7,50.8,2012-10-12,2013-01-20,67.0,115.0,2013-01-11,55.0,2012-10-12,107.34,-0.84,108.18,112.25,102.39,56.3,1.51
SOMANYCERA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,68.77,SUCCESS,76.1,60.15,2013-04-12,2013-07-20,69.0,95.0,2013-05-16,64.55,2013-06-28,38.14,-6.14,44.28,88.0,27.96,67.95,-1.19
SOMANYCERA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,80.1833,SUCCESS,85.85,74.35,2013-10-12,2014-01-20,68.0,155.9,2014-01-16,78.7,2013-10-18,94.43,-1.85,96.28,145.7,81.71,81.15,1.21
SOMANYCERA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,169.63,SUCCESS,184.8,154.8,2014-04-10,2014-07-20,44.0,316.8,2014-06-06,166.0,2014-04-15,86.76,-2.14,88.9,279.45,64.74,169.4,-0.14
SOMANYCERA,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,381.1433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SOMANYCERA,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,381.1433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SOMANYCERA,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,381.1433,SUCCESS,447.15,344.0,2016-01-16,2016-01-20,3.0,356.95,2016-01-19,338.0,2016-01-18,-6.35,-11.32,4.97,351.55,-7.76,347.9,-8.72
SOMANYCERA,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,383.9033,SUCCESS,401.0,370.0,2016-04-13,2016-07-20,67.0,659.8,2016-07-19,393.55,2016-04-13,71.87,2.51,69.35,606.2,57.9,405.15,5.53
SOMANYCERA,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,612.11,SUCCESS,640.0,531.0,2016-10-11,2017-01-20,71.0,714.4,2016-10-26,470.05,2017-01-11,16.71,-23.21,39.92,664.2,8.51,473.95,-22.57
SOMANYCERA,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,674.5667,SUCCESS,702.95,637.0,2017-04-11,2017-07-20,70.0,840.0,2017-05-10,672.25,2017-04-19,24.52,-0.34,24.87,818.15,21.29,675.1,0.08
SOMANYCERA,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,845.2233,SUCCESS,886.0,803.0,2017-10-12,2018-01-20,70.0,977.6,2018-01-05,814.95,2017-11-15,15.66,-3.58,19.24,953.1,12.76,823.85,-2.53
SOMANYCERA,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,672.2733,SUCCESS,700.0,647.1,2018-04-12,2018-07-20,71.0,686.0,2018-04-13,446.4,2018-07-20,2.04,-33.6,35.64,683.25,1.63,449.75,-33.1
SOMANYCERA,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,371.8533,SUCCESS,418.9,315.95,2018-10-13,2019-01-20,66.0,390.0,2018-11-02,270.1,2018-12-11,4.88,-27.36,32.24,368.25,-0.97,275.05,-26.03
SOMANYCERA,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,416.58,SUCCESS,471.65,381.25,2019-04-11,2019-07-20,67.0,462.75,2019-05-28,360.05,2019-05-22,11.08,-13.57,24.65,451.65,8.42,364.8,-12.43
SOMANYCERA,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,192.83,SUCCESS,214.85,174.0,2019-10-15,2020-01-20,67.0,252.5,2020-01-17,170.35,2019-11-20,30.94,-11.66,42.6,243.85,26.46,173.25,-10.15
SOMANYCERA,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,94.2533,SUCCESS,117.8,76.85,2020-04-16,2020-07-20,66.0,149.0,2020-06-19,87.0,2020-05-20,58.08,-7.7,65.78,141.9,50.55,87.3,-7.38
SOMANYCERA,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,191.5767,SUCCESS,215.95,162.65,2020-10-13,2021-01-20,69.0,375.65,2021-01-20,189.15,2020-10-13,96.08,-1.27,97.35,364.55,90.29,190.95,-0.33
