Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SPCENET,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,0.7333,SUCCESS,0.9,0.6,2017-04-11,2017-07-20,69.0,0.75,2017-04-24,0.15,2017-07-20,2.27,-79.55,81.82,0.7,-4.55,0.15,-79.55
SPCENET,2017,20-September,2017-09-20,2017-11-13,2017-11-13,2018-09-28,15.0,0.3333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SPCENET,2018,20-March,2018-03-20,2018-09-17,2018-09-17,2018-10-09,15.0,0.6,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SPCENET,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,0.71,SUCCESS,1.0,0.4,2018-10-13,2019-01-20,66.0,0.9,2019-01-17,0.25,2018-11-29,26.76,-64.79,91.55,0.9,26.76,0.3,-57.75
SPCENET,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,1.36,SUCCESS,1.7,1.0,2019-04-11,2019-07-20,67.0,1.75,2019-04-11,0.75,2019-06-26,28.68,-44.85,73.53,1.65,21.32,0.8,-41.18
SPCENET,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,1.1067,SUCCESS,1.3,0.8,2019-10-15,2020-01-20,67.0,1.25,2019-10-15,0.75,2019-11-15,12.95,-32.23,45.18,1.2,8.43,0.8,-27.71
SPCENET,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,0.91,SUCCESS,1.0,0.8,2020-04-16,2020-07-20,24.0,1.55,2020-05-11,0.9,2020-07-20,70.33,-1.1,71.43,1.55,70.33,0.9,-1.1
SPCENET,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-14,15.0,1.1067,SUCCESS,1.2,1.0,2020-10-15,2021-01-20,31.0,1.6,2020-12-18,1.1,2020-10-15,44.58,-0.6,45.18,1.55,40.06,1.1,-0.6
SPCENET,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-07-19,15.0,1.8267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SPCENET,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-12-27,15.0,2.0933,SUCCESS,2.1,2.0,2021-12-28,2022-01-20,3.0,2.2,2022-01-10,2.1,2022-01-03,5.1,0.32,4.78,2.2,5.1,2.1,0.32
SPCENET,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-06-22,15.0,2.48,SUCCESS,2.8,2.3,2022-06-23,2022-07-20,20.0,6.65,2022-07-20,2.9,2022-06-23,168.15,16.94,151.21,6.65,168.15,2.9,16.94
SPCENET,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,20.23,SUCCESS,24.75,18.1,2022-10-12,2023-01-20,71.0,31.55,2023-01-05,16.4,2022-10-20,55.96,-18.93,74.89,30.8,52.25,17.0,-15.97
SPCENET,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,16.7433,SUCCESS,18.95,14.25,2023-04-13,2023-07-20,68.0,18.65,2023-04-18,14.55,2023-05-22,11.39,-13.1,24.49,18.15,8.4,14.95,-10.71
SPCENET,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,23.05,SUCCESS,26.55,21.45,2023-10-12,2024-01-20,70.0,37.15,2024-01-12,21.9,2023-10-25,61.17,-4.99,66.16,36.25,57.27,23.7,2.82
SPCENET,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,28.79,SUCCESS,32.9,25.35,2024-04-13,2024-07-20,66.0,36.1,2024-06-26,23.25,2024-06-04,25.39,-19.24,44.63,35.34,22.75,24.55,-14.73
SPCENET,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,24.6873,SUCCESS,26.06,21.0,2024-10-12,2025-01-20,68.0,26.5,2024-10-18,7.32,2025-01-17,7.34,-70.35,77.69,26.41,6.98,7.71,-68.77
SPCENET,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,6.8747,SUCCESS,8.04,5.82,2025-04-12,2025-07-20,67.0,9.23,2025-04-23,6.73,2025-06-20,34.26,-2.1,36.37,9.05,31.64,6.82,-0.8
SPCENET,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,7.7407,SUCCESS,9.62,6.4,2025-10-14,2026-01-20,67.0,11.24,2025-10-28,5.7,2026-01-16,45.21,-26.36,71.57,10.96,41.59,5.84,-24.55
SPCENET,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,3.574,SUCCESS,4.34,3.0,2026-04-16,2026-07-20,65.0,4.99,2026-04-20,3.0,2026-06-12,39.62,-16.06,55.68,4.77,33.46,3.25,-9.07
SPCENET,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
