Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SULA,2022,20-March,2022-03-20,2022-12-22,2022-12-22,2023-01-11,15.0,326.69,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SULA,2022,20-September,2022-09-20,2022-12-22,2022-12-22,2023-01-11,15.0,326.69,SUCCESS,363.3,305.35,2023-01-12,2023-01-20,7.0,431.9,2023-01-20,323.1,2023-01-13,32.2,-1.1,33.3,423.35,29.59,324.9,-0.55
SULA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,358.4067,SUCCESS,394.3,326.35,2023-04-13,2023-07-20,68.0,498.1,2023-07-12,371.5,2023-04-18,38.98,3.65,35.32,494.0,37.83,374.9,4.6
SULA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,470.0667,SUCCESS,486.0,459.0,2023-10-12,2024-01-20,70.0,699.0,2024-01-09,447.0,2023-10-26,48.7,-4.91,53.61,670.85,42.71,457.35,-2.71
SULA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,552.0067,SUCCESS,584.0,517.2,2024-04-13,2024-07-20,66.0,579.05,2024-04-16,468.0,2024-06-04,4.9,-15.22,20.12,564.85,2.33,476.5,-13.68
SULA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,465.96,SUCCESS,490.9,436.6,2024-10-12,2025-01-20,68.0,456.0,2024-12-11,370.05,2025-01-14,-2.14,-20.58,18.45,446.45,-4.19,374.3,-19.67
SULA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,275.37,SUCCESS,294.9,245.5,2025-04-12,2025-07-20,67.0,335.9,2025-06-11,263.1,2025-05-09,21.98,-4.46,26.44,320.8,16.5,271.45,-1.42
SULA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,265.1853,SUCCESS,292.74,253.2,2025-10-14,2026-01-20,67.0,261.85,2025-11-04,191.05,2026-01-20,-1.26,-27.96,26.7,255.75,-3.56,194.26,-26.75
SULA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,155.542,SUCCESS,173.0,138.6,2026-04-16,2026-07-20,65.0,183.95,2026-04-28,148.0,2026-07-15,18.26,-4.85,23.11,179.22,15.22,148.27,-4.68
SULA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
