Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SUPREMEIND,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,4.34,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SUPREMEIND,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,4.34,SUCCESS,4.85,4.06,2002-01-16,2002-01-20,3.0,4.47,2002-01-18,4.23,2002-01-17,3.0,-2.53,5.53,4.39,1.15,4.34,0.0
SUPREMEIND,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,5.89,SUCCESS,7.2,5.07,2002-04-12,2002-07-20,70.0,10.9,2002-05-14,6.5,2002-04-15,85.06,10.36,74.7,10.4,76.57,6.51,10.53
SUPREMEIND,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,8.8813,SUCCESS,9.33,8.3,2002-10-12,2003-01-20,67.0,11.7,2003-01-03,7.66,2002-11-01,31.74,-13.75,45.49,11.55,30.05,7.9,-11.05
SUPREMEIND,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-09,15.0,8.0773,SUCCESS,8.5,7.51,2003-04-10,2003-07-20,69.0,13.98,2003-07-02,7.75,2003-04-21,73.08,-4.05,77.13,13.5,67.13,7.81,-3.31
SUPREMEIND,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,17.9853,SUCCESS,22.35,14.76,2003-10-14,2004-01-20,71.0,25.3,2004-01-12,18.4,2003-11-24,40.67,2.31,38.36,24.35,35.39,19.09,6.14
SUPREMEIND,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,19.3087,SUCCESS,24.4,16.7,2004-04-13,2004-07-20,70.0,24.15,2004-04-15,16.0,2004-05-17,25.07,-17.14,42.21,23.05,19.38,16.11,-16.57
SUPREMEIND,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,18.6953,SUCCESS,19.4,17.9,2004-10-09,2005-01-20,71.0,24.8,2005-01-11,15.81,2004-11-01,32.65,-15.43,48.09,23.99,28.32,15.94,-14.74
SUPREMEIND,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,26.1787,SUCCESS,27.99,25.01,2005-04-12,2005-07-20,72.0,28.8,2005-07-15,23.6,2005-05-12,10.01,-9.85,19.86,28.14,7.49,23.88,-8.78
SUPREMEIND,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,33.06,SUCCESS,37.9,30.62,2005-10-11,2006-01-20,70.0,34.4,2005-10-13,27.2,2005-12-29,4.05,-17.73,21.78,33.3,0.73,27.25,-17.57
SUPREMEIND,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,40.3153,SUCCESS,43.98,37.61,2006-04-11,2006-07-20,72.0,48.24,2006-05-08,24.3,2006-06-08,19.66,-39.73,59.38,47.17,17.0,25.44,-36.9
SUPREMEIND,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,40.3187,SUCCESS,42.69,38.2,2006-10-12,2007-01-20,69.0,48.4,2007-01-11,38.42,2006-10-16,20.04,-4.71,24.75,47.27,17.24,40.24,-0.2
SUPREMEIND,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,32.452,SUCCESS,36.0,30.81,2007-04-12,2007-07-20,45.0,49.0,2007-06-04,34.81,2007-04-12,50.99,7.27,43.73,47.88,47.54,35.98,10.87
