Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SURANAT&P,2002,20-March,2002-03-20,2002-05-22,2002-05-22,2002-06-11,15.0,2.79,SUCCESS,3.4,2.31,2002-06-12,2002-07-20,28.0,3.79,2002-07-09,2.75,2002-06-13,35.84,-1.43,37.28,3.52,26.16,2.78,-0.36
SURANAT&P,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-14,15.0,2.0333,SUCCESS,2.25,1.8,2002-10-15,2003-01-20,66.0,2.19,2002-10-21,1.48,2003-01-17,7.7,-27.21,34.92,2.0,-1.64,1.48,-27.21
SURANAT&P,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,1.326,SUCCESS,1.44,1.22,2003-04-09,2003-07-20,68.0,1.88,2003-06-23,1.04,2003-04-25,41.78,-21.57,63.35,1.84,38.76,1.18,-11.01
SURANAT&P,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,1.8427,SUCCESS,2.04,1.75,2003-10-14,2004-01-20,71.0,3.34,2004-01-09,1.5,2003-10-27,81.26,-18.6,99.86,3.08,67.15,1.55,-15.88
SURANAT&P,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,1.8873,SUCCESS,2.19,1.55,2004-04-13,2004-07-20,69.0,2.8,2004-04-22,1.47,2004-06-23,48.36,-22.11,70.47,2.5,32.46,1.5,-20.52
SURANAT&P,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,4.91,SUCCESS,5.9,4.3,2004-10-09,2005-01-20,71.0,7.94,2004-12-29,5.45,2004-10-12,61.71,11.0,50.71,7.76,58.04,5.69,15.89
SURANAT&P,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,5.1693,SUCCESS,6.14,4.41,2005-04-12,2005-07-20,72.0,8.41,2005-06-24,4.41,2005-04-18,62.69,-14.69,77.38,7.14,38.12,5.0,-3.28
SURANAT&P,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,7.9807,SUCCESS,9.52,7.05,2005-10-11,2006-01-20,70.0,7.48,2005-10-13,5.51,2005-12-14,-6.27,-30.96,24.68,7.1,-11.04,5.71,-28.45
SURANAT&P,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,4.7293,SUCCESS,5.5,4.28,2006-04-11,2006-07-20,72.0,9.52,2006-05-09,4.26,2006-06-09,101.3,-9.92,111.22,8.85,87.13,4.37,-7.6
SURANAT&P,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,4.6867,SUCCESS,5.0,4.5,2006-10-12,2007-01-20,69.0,5.9,2007-01-18,4.06,2006-12-13,25.89,-13.37,39.26,5.6,19.49,4.39,-6.33
SURANAT&P,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,4.75,SUCCESS,4.98,4.6,2007-04-12,2007-07-20,45.0,5.27,2007-05-08,4.6,2007-05-25,10.95,-3.16,14.11,5.14,8.21,4.69,-1.26
SURANAT&P,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,4.1847,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SURANAT&P,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,4.1847,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SURANAT&P,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,4.1847,SUCCESS,4.78,3.26,2009-01-17,2009-01-20,2.0,3.7,2009-01-19,3.4,2009-01-19,-11.58,-18.75,7.17,3.58,-14.45,3.5,-16.36
SURANAT&P,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,3.9107,SUCCESS,4.66,3.28,2009-04-16,2009-07-20,65.0,7.26,2009-06-10,3.5,2009-05-14,85.65,-10.5,96.15,6.77,73.12,4.0,2.28
SURANAT&P,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,7.8813,SUCCESS,9.56,6.27,2009-10-16,2010-01-20,65.0,8.78,2009-10-17,7.01,2009-11-04,11.4,-11.06,22.46,8.44,7.09,7.2,-8.64
SURANAT&P,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,7.9473,SUCCESS,9.28,7.6,2010-04-14,2010-07-20,69.0,10.36,2010-07-07,8.44,2010-05-17,30.36,6.2,24.16,10.22,28.6,8.7,9.47
SURANAT&P,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,3.8007,SUCCESS,3.92,3.6,2010-10-09,2011-01-20,72.0,4.68,2010-12-28,3.48,2010-12-10,23.14,-8.44,31.57,4.43,16.56,3.56,-6.33
SURANAT&P,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,3.186,SUCCESS,3.94,2.74,2011-04-09,2011-07-20,70.0,3.7,2011-04-11,2.65,2011-06-24,16.13,-16.82,32.96,3.55,11.42,3.0,-5.84
SURANAT&P,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,2.868,SUCCESS,3.04,2.6,2011-10-12,2012-01-20,69.0,3.7,2012-01-12,2.4,2011-11-18,29.01,-16.32,45.33,3.57,24.48,2.5,-12.83
SURANAT&P,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,3.1587,SUCCESS,3.37,2.9,2012-04-12,2012-07-20,72.0,3.94,2012-07-05,2.65,2012-05-18,24.74,-16.1,40.84,3.86,22.2,2.97,-5.97
SURANAT&P,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,3.4767,SUCCESS,3.76,3.31,2012-10-12,2013-01-20,66.0,4.3,2013-01-08,3.31,2012-10-30,23.68,-4.79,28.48,3.99,14.77,3.36,-3.36
SURANAT&P,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-07-12,15.0,3.2467,SUCCESS,3.56,2.73,2013-07-13,2013-07-20,2.0,3.47,2013-07-15,3.4,2013-07-18,6.88,4.72,2.16,3.47,6.88,3.4,4.72
SURANAT&P,2013,20-September,2013-09-20,2013-09-23,2013-09-23,2013-11-05,15.0,2.8927,SUCCESS,3.0,2.8,2013-11-06,2014-01-20,26.0,3.6,2014-01-16,2.8,2013-11-06,24.45,-3.2,27.66,3.59,24.11,2.8,-3.2
SURANAT&P,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-10,15.0,3.34,SUCCESS,3.64,2.81,2014-04-11,2014-07-20,42.0,4.58,2014-06-05,3.01,2014-05-05,37.13,-9.88,47.01,4.19,25.45,3.01,-9.88
SURANAT&P,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,6.9333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SURANAT&P,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,6.9333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SURANAT&P,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,6.9333,SUCCESS,8.9,5.85,2016-01-16,2016-01-20,3.0,5.6,2016-01-19,5.0,2016-01-18,-19.23,-27.88,8.65,5.45,-21.39,5.1,-26.44
SURANAT&P,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,5.13,SUCCESS,5.6,4.6,2016-04-13,2016-07-20,67.0,7.95,2016-07-08,4.0,2016-05-25,54.97,-22.03,77.0,6.95,35.48,4.55,-11.31
SURANAT&P,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,5.2633,SUCCESS,5.75,4.85,2016-10-11,2017-01-20,71.0,6.0,2017-01-03,4.6,2016-12-12,14.0,-12.6,26.6,5.7,8.3,4.7,-10.7
SURANAT&P,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,4.9033,SUCCESS,5.85,4.2,2017-04-11,2017-07-20,70.0,5.8,2017-05-16,3.35,2017-05-31,18.29,-31.68,49.97,5.25,7.07,4.1,-16.38
SURANAT&P,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,4.5033,SUCCESS,4.8,4.05,2017-10-12,2018-01-20,70.0,9.3,2017-11-02,4.4,2017-10-12,106.51,-2.29,108.81,8.55,89.86,4.45,-1.18
SURANAT&P,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,4.8033,SUCCESS,5.2,4.35,2018-04-12,2018-07-20,71.0,5.4,2018-05-02,3.55,2018-07-02,12.42,-26.09,38.51,5.1,6.18,3.95,-17.77
SURANAT&P,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,4.6733,SUCCESS,5.25,4.1,2018-10-13,2019-01-20,66.0,5.45,2019-01-14,4.25,2018-10-29,16.62,-9.06,25.68,4.9,4.85,4.4,-5.85
SURANAT&P,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,4.2067,SUCCESS,4.4,3.95,2019-04-11,2019-07-20,67.0,5.8,2019-07-09,3.15,2019-06-21,37.88,-25.12,63.0,5.0,18.86,3.7,-12.04
SURANAT&P,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,3.5333,SUCCESS,4.35,3.1,2019-10-15,2020-01-20,67.0,4.05,2020-01-06,3.0,2019-11-27,14.62,-15.09,29.72,3.9,10.38,3.3,-6.6
SURANAT&P,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,2.66,SUCCESS,3.6,1.95,2020-04-16,2020-07-20,66.0,5.35,2020-06-22,2.4,2020-04-22,101.13,-9.77,110.9,5.0,87.97,2.75,3.38
SURANAT&P,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,3.8233,SUCCESS,4.1,3.55,2020-10-13,2021-01-20,69.0,7.6,2021-01-04,3.6,2020-10-13,98.78,-5.84,104.62,7.6,98.78,3.7,-3.23
