Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
SWARAJENG,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,79.696,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SWARAJENG,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,79.696,SUCCESS,82.28,76.78,2002-01-16,2002-01-20,3.0,81.33,2002-01-18,77.74,2002-01-16,2.05,-2.45,4.5,81.06,1.71,77.99,-2.14
SWARAJENG,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-12,15.0,80.142,SUCCESS,83.32,77.36,2002-04-13,2002-07-20,69.0,92.89,2002-04-25,77.41,2002-05-31,15.91,-3.41,19.32,90.96,13.5,78.09,-2.56
SWARAJENG,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,73.8813,SUCCESS,78.01,71.04,2002-10-12,2003-01-20,67.0,74.09,2002-10-14,60.33,2002-12-20,0.28,-18.34,18.62,73.24,-0.87,62.96,-14.78
SWARAJENG,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,59.7207,SUCCESS,61.54,57.99,2003-04-09,2003-07-20,70.0,78.63,2003-07-04,58.33,2003-04-10,31.66,-2.33,33.99,76.94,28.83,58.86,-1.44
SWARAJENG,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,74.0447,SUCCESS,79.99,69.99,2003-10-14,2004-01-20,71.0,114.99,2003-12-30,67.99,2003-11-24,55.3,-8.18,63.48,112.91,52.49,70.99,-4.13
SWARAJENG,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,76.612,SUCCESS,83.16,70.03,2004-04-13,2004-07-20,69.0,107.31,2004-07-12,71.69,2004-05-17,40.07,-6.42,46.49,105.82,38.12,74.43,-2.85
SWARAJENG,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,94.656,SUCCESS,99.99,91.04,2004-10-09,2005-01-20,71.0,129.99,2005-01-18,98.32,2004-10-09,37.33,3.87,33.46,121.97,28.86,99.74,5.37
SWARAJENG,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,118.88,SUCCESS,129.65,112.32,2005-04-12,2005-07-20,72.0,207.28,2005-07-05,114.07,2005-04-21,74.36,-4.05,78.41,205.11,72.54,116.89,-1.67
SWARAJENG,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,176.83,SUCCESS,190.0,169.0,2005-10-11,2006-01-20,70.0,180.0,2005-11-30,146.15,2005-10-31,1.79,-17.35,19.14,172.5,-2.45,149.1,-15.68
SWARAJENG,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,151.4133,SUCCESS,176.0,143.0,2006-04-11,2006-07-20,72.0,185.0,2006-05-02,112.0,2006-06-08,22.18,-26.03,48.21,165.8,9.5,115.4,-23.78
SWARAJENG,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,137.89,SUCCESS,151.65,134.1,2006-10-12,2007-01-20,69.0,169.1,2007-01-05,121.5,2006-12-12,22.63,-11.89,34.52,164.8,19.52,123.45,-10.47
SWARAJENG,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,142.38,SUCCESS,147.95,137.85,2007-04-12,2007-07-20,45.0,173.0,2007-06-15,142.15,2007-04-16,21.51,-0.16,21.67,171.55,20.49,143.05,0.47
SWARAJENG,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,107.7033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SWARAJENG,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,107.7033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
SWARAJENG,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,107.7033,SUCCESS,117.0,98.3,2009-01-17,2009-01-20,2.0,116.7,2009-01-19,97.0,2009-01-19,8.35,-9.94,18.29,112.1,4.08,107.0,-0.65
SWARAJENG,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,102.2067,SUCCESS,120.0,90.0,2009-04-16,2009-07-20,66.0,310.1,2009-07-20,90.1,2009-05-04,203.4,-11.85,215.25,299.55,193.08,106.7,4.4
SWARAJENG,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,324.9733,SUCCESS,362.3,302.25,2009-10-16,2010-01-20,65.0,364.0,2010-01-14,280.0,2009-11-04,12.01,-13.84,25.85,349.65,7.59,291.15,-10.41
