Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TARMAT,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,24.08,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TARMAT,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,24.08,SUCCESS,31.7,20.0,2009-01-17,2009-01-20,2.0,22.0,2009-01-20,19.1,2009-01-19,-8.64,-20.68,12.04,20.75,-13.83,20.65,-14.24
TARMAT,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,29.8633,SUCCESS,36.5,24.5,2009-04-16,2009-07-20,65.0,55.4,2009-06-05,26.5,2009-04-28,85.51,-11.26,96.77,50.85,70.28,27.65,-7.41
TARMAT,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,57.5633,SUCCESS,64.55,53.1,2009-10-16,2010-01-20,65.0,72.6,2010-01-11,45.0,2009-11-05,26.12,-21.83,47.95,71.65,24.47,46.25,-19.65
TARMAT,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,49.8233,SUCCESS,57.0,44.55,2010-04-14,2010-07-20,69.0,63.95,2010-04-22,52.05,2010-04-19,28.35,4.47,23.88,62.2,24.84,52.75,5.87
TARMAT,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,52.57,SUCCESS,56.8,50.0,2010-10-09,2011-01-20,72.0,58.0,2010-10-15,35.85,2011-01-17,10.33,-31.81,42.13,55.5,5.57,36.85,-29.9
TARMAT,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,30.4367,SUCCESS,41.7,27.1,2011-04-09,2011-07-20,68.0,38.5,2011-04-11,22.6,2011-07-18,26.49,-25.75,52.24,36.95,21.4,23.3,-23.45
TARMAT,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,22.83,SUCCESS,25.85,20.4,2011-10-12,2012-01-20,68.0,24.9,2011-11-09,15.05,2011-12-28,9.07,-34.08,43.14,23.7,3.81,15.95,-30.14
TARMAT,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,19.6133,SUCCESS,22.5,17.1,2012-04-12,2012-07-20,67.0,21.4,2012-04-13,15.2,2012-06-25,9.11,-22.5,31.61,20.7,5.54,15.8,-19.44
TARMAT,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-12,15.0,19.2167,SUCCESS,20.55,18.6,2012-10-13,2013-01-20,54.0,19.6,2012-10-15,17.0,2012-11-07,1.99,-11.54,13.53,19.05,-0.87,17.5,-8.93
TARMAT,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-17,15.0,12.7267,SUCCESS,14.5,10.6,2013-04-18,2013-07-20,59.0,15.9,2013-04-18,8.55,2013-07-12,24.93,-32.82,57.75,13.95,9.61,8.8,-30.85
TARMAT,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-21,15.0,7.94,SUCCESS,8.75,6.85,2013-10-22,2014-01-20,31.0,8.0,2014-01-15,6.0,2013-11-01,0.76,-24.43,25.19,8.0,0.76,6.0,-24.43
TARMAT,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-30,15.0,7.38,SUCCESS,7.95,6.8,2014-05-01,2014-07-20,26.0,18.65,2014-06-16,7.0,2014-05-06,152.71,-5.15,157.86,17.95,143.22,7.0,-5.15
TARMAT,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,27.92,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TARMAT,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,27.92,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TARMAT,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,27.92,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TARMAT,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-13,15.0,22.6133,SUCCESS,30.65,20.0,2016-04-14,2016-07-20,66.0,50.45,2016-06-21,26.0,2016-04-20,123.1,14.98,108.12,47.1,108.28,27.5,21.61
