Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TATAPOWER,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,11.5513,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TATAPOWER,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,11.5513,SUCCESS,12.5,10.62,2002-01-16,2002-01-20,3.0,12.46,2002-01-18,11.78,2002-01-17,7.87,1.98,5.89,12.23,5.88,11.93,3.28
TATAPOWER,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,11.0487,SUCCESS,11.72,10.82,2002-04-12,2002-07-20,70.0,13.34,2002-06-12,10.62,2002-04-23,20.74,-3.88,24.62,12.97,17.39,10.71,-3.07
TATAPOWER,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,9.3913,SUCCESS,9.74,9.07,2002-10-12,2003-01-20,67.0,11.01,2002-12-26,9.18,2002-10-29,17.24,-2.25,19.49,10.91,16.17,9.28,-1.19
TATAPOWER,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,11.178,SUCCESS,11.67,10.83,2003-04-09,2003-07-20,70.0,16.09,2003-07-03,10.87,2003-04-24,43.94,-2.76,46.7,15.97,42.87,10.93,-2.22
TATAPOWER,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,18.1007,SUCCESS,20.76,15.36,2003-10-14,2004-01-20,71.0,43.44,2004-01-09,19.44,2003-10-15,139.99,7.4,132.59,40.78,125.3,19.81,9.44
TATAPOWER,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,36.8307,SUCCESS,40.59,32.37,2004-04-13,2004-07-20,70.0,41.52,2004-04-23,20.52,2004-06-24,12.73,-44.29,57.02,40.38,9.64,21.16,-42.55
TATAPOWER,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,30.4767,SUCCESS,32.44,29.09,2004-10-09,2005-01-20,71.0,39.28,2005-01-04,27.73,2004-10-26,28.89,-9.01,37.9,38.93,27.74,28.76,-5.63
TATAPOWER,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,33.9453,SUCCESS,37.12,32.37,2005-04-12,2005-07-20,72.0,40.56,2005-07-18,31.48,2005-04-18,19.49,-7.26,26.75,39.41,16.1,32.01,-5.7
TATAPOWER,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,44.484,SUCCESS,47.89,40.76,2005-10-11,2006-01-20,70.0,45.33,2005-10-11,35.73,2005-10-21,1.9,-19.68,21.58,44.61,0.28,37.32,-16.1
TATAPOWER,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,56.0293,SUCCESS,59.17,54.17,2006-04-11,2006-07-20,72.0,58.31,2006-04-12,37.66,2006-06-13,4.07,-32.79,36.86,57.34,2.34,38.02,-32.14
TATAPOWER,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,52.0187,SUCCESS,55.14,48.77,2006-10-12,2007-01-20,69.0,60.06,2006-12-04,50.52,2006-10-27,15.46,-2.88,18.34,58.8,13.04,50.92,-2.11
TATAPOWER,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,49.058,SUCCESS,51.94,46.72,2007-04-12,2007-07-20,45.0,60.2,2007-05-23,49.44,2007-04-19,22.71,0.78,21.93,59.05,20.37,50.54,3.02
TATAPOWER,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,73.6413,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TATAPOWER,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,73.6413,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TATAPOWER,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,73.6413,SUCCESS,81.21,68.56,2009-01-17,2009-01-20,2.0,77.01,2009-01-20,71.2,2009-01-20,4.57,-3.32,7.89,74.21,0.77,73.39,-0.34
TATAPOWER,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,77.0093,SUCCESS,88.35,63.3,2009-04-16,2009-07-20,66.0,118.77,2009-06-10,80.14,2009-04-28,54.23,4.07,50.16,117.34,52.37,81.04,5.23
TATAPOWER,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,126.442,SUCCESS,133.59,121.67,2009-10-16,2010-01-20,65.0,146.55,2010-01-11,120.92,2009-11-04,15.9,-4.37,20.27,143.86,13.78,122.73,-2.94
TATAPOWER,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,131.5447,SUCCESS,135.99,127.92,2010-04-14,2010-07-20,69.0,134.12,2010-04-26,114.91,2010-05-25,1.96,-12.65,14.6,132.29,0.57,116.25,-11.63
TATAPOWER,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,131.1367,SUCCESS,141.79,121.52,2010-10-09,2011-01-20,72.0,140.11,2010-10-14,121.19,2010-11-26,6.84,-7.58,14.43,138.45,5.58,122.9,-6.28
TATAPOWER,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,125.5787,SUCCESS,130.36,116.45,2011-04-09,2011-07-20,70.0,130.84,2011-05-03,113.16,2011-05-26,4.19,-9.89,14.08,129.3,2.96,114.71,-8.65
TATAPOWER,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,96.154,SUCCESS,102.59,89.27,2011-10-12,2012-01-20,70.0,103.08,2012-01-20,77.39,2011-12-20,7.2,-19.51,26.72,101.77,5.84,78.21,-18.66
TATAPOWER,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,96.672,SUCCESS,102.16,90.23,2012-04-12,2012-07-20,72.0,105.49,2012-04-19,82.8,2012-05-24,9.12,-14.35,23.47,103.8,7.37,85.6,-11.45
TATAPOWER,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,99.5887,SUCCESS,106.79,81.69,2012-10-12,2013-01-20,67.0,109.26,2012-12-05,92.94,2012-11-19,9.71,-6.68,16.39,108.15,8.6,93.52,-6.09
TATAPOWER,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,92.2913,SUCCESS,97.91,90.28,2013-04-12,2013-07-20,69.0,96.08,2013-04-16,74.54,2013-06-13,4.11,-19.23,23.34,92.84,0.59,75.46,-18.24
TATAPOWER,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,78.9247,SUCCESS,83.04,74.83,2013-10-12,2014-01-20,68.0,89.41,2013-12-09,73.92,2013-11-22,13.29,-6.34,19.63,88.45,12.07,74.25,-5.92
TATAPOWER,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,82.6433,SUCCESS,87.9,77.8,2014-04-10,2014-07-20,44.0,115.6,2014-06-09,75.65,2014-05-08,39.88,-8.46,48.34,113.95,37.88,76.3,-7.68
TATAPOWER,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,67.1333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TATAPOWER,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,67.1333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TATAPOWER,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,67.1333,SUCCESS,70.7,61.3,2016-01-16,2016-01-20,3.0,64.95,2016-01-19,60.4,2016-01-20,-3.25,-10.03,6.78,64.25,-4.29,61.65,-8.17
TATAPOWER,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,64.3667,SUCCESS,70.1,58.4,2016-04-13,2016-07-20,67.0,77.4,2016-06-13,68.0,2016-05-19,20.25,5.64,14.6,76.55,18.93,68.4,6.27
TATAPOWER,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,76.8167,SUCCESS,82.0,71.75,2016-10-11,2017-01-20,71.0,84.4,2016-10-24,67.0,2016-11-09,9.87,-12.78,22.65,83.65,8.9,68.6,-10.7
TATAPOWER,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,88.0667,SUCCESS,91.15,85.55,2017-04-11,2017-07-20,70.0,90.15,2017-04-11,76.65,2017-06-12,2.37,-12.96,15.33,86.0,-2.35,77.1,-12.45
TATAPOWER,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,80.1,SUCCESS,86.2,76.85,2017-10-12,2018-01-20,70.0,101.8,2018-01-05,80.45,2017-10-12,27.09,0.44,26.65,100.8,25.84,81.5,1.75
TATAPOWER,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,82.3867,SUCCESS,88.1,78.0,2018-04-12,2018-07-20,71.0,89.55,2018-05-02,67.15,2018-07-20,8.69,-18.49,27.19,88.3,7.18,67.85,-17.64
TATAPOWER,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,66.7133,SUCCESS,76.5,59.8,2018-10-13,2019-01-20,66.0,86.1,2018-10-29,67.55,2018-10-25,29.06,1.25,27.81,82.55,23.74,68.9,3.28
