Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TBZ,2012,20-March,2012-03-20,2012-05-09,2012-05-09,2012-05-29,15.0,115.3267,SUCCESS,122.35,105.5,2012-05-30,2012-07-20,38.0,120.95,2012-07-06,103.0,2012-06-29,4.88,-10.69,15.56,119.35,3.49,105.9,-8.17
TBZ,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,140.6367,SUCCESS,149.85,118.4,2012-10-12,2013-01-20,67.0,300.0,2012-12-10,139.5,2012-10-12,113.32,-0.81,114.12,287.05,104.11,139.95,-0.49
TBZ,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,225.2567,SUCCESS,256.0,205.0,2013-04-12,2013-07-20,69.0,261.8,2013-05-22,160.0,2013-07-08,16.22,-28.97,45.19,253.3,12.45,176.75,-21.53
TBZ,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,134.2533,SUCCESS,152.4,116.05,2013-10-12,2014-01-20,68.0,169.3,2013-10-29,128.0,2013-12-12,26.1,-4.66,30.76,163.35,21.67,128.7,-4.14
TBZ,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,128.77,SUCCESS,138.6,124.8,2014-04-10,2014-07-20,44.0,224.9,2014-06-13,132.8,2014-04-15,74.65,3.13,71.52,218.2,69.45,134.95,4.8
TBZ,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,87.56,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TBZ,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,87.56,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TBZ,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,87.56,SUCCESS,95.4,70.2,2016-01-16,2016-01-20,3.0,77.0,2016-01-18,68.85,2016-01-20,-12.06,-21.37,9.31,74.25,-15.2,70.6,-19.37
TBZ,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,58.8733,SUCCESS,66.9,49.4,2016-04-13,2016-07-20,67.0,77.0,2016-07-01,59.7,2016-05-25,30.79,1.4,29.39,75.55,28.33,59.9,1.74
TBZ,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,71.1667,SUCCESS,89.2,63.0,2016-10-11,2017-01-20,71.0,91.7,2016-10-30,55.8,2016-12-26,28.85,-21.59,50.44,90.5,27.17,57.15,-19.7
TBZ,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,78.0033,SUCCESS,86.7,68.25,2017-04-11,2017-07-20,70.0,104.7,2017-07-20,79.8,2017-04-17,34.23,2.3,31.92,102.75,31.73,80.7,3.46
TBZ,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,119.92,SUCCESS,131.85,107.6,2017-10-12,2018-01-20,70.0,155.2,2018-01-16,115.1,2017-11-15,29.42,-4.02,33.44,148.2,23.58,116.2,-3.1
TBZ,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,91.07,SUCCESS,98.0,83.95,2018-04-12,2018-07-20,71.0,115.25,2018-05-08,68.7,2018-07-20,26.55,-24.56,51.11,109.1,19.8,72.3,-20.61
TBZ,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,53.77,SUCCESS,66.8,48.0,2018-10-13,2019-01-20,66.0,72.75,2018-12-19,51.7,2018-10-25,35.3,-3.85,39.15,68.25,26.93,52.75,-1.9
TBZ,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,59.7333,SUCCESS,66.0,55.65,2019-04-11,2019-07-20,67.0,72.45,2019-04-18,35.05,2019-06-19,21.29,-41.32,62.61,69.75,16.77,36.2,-39.4
TBZ,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,42.1133,SUCCESS,47.0,40.15,2019-10-15,2020-01-20,67.0,52.8,2019-10-24,34.75,2019-12-11,25.38,-17.48,42.86,51.1,21.34,36.15,-14.16
TBZ,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,20.44,SUCCESS,27.7,16.45,2020-04-16,2020-07-20,66.0,35.0,2020-06-08,19.65,2020-05-20,71.23,-3.86,75.1,32.8,60.47,19.9,-2.64
TBZ,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,36.5667,SUCCESS,40.95,32.4,2020-10-13,2021-01-20,69.0,96.25,2021-01-07,36.3,2020-10-14,163.22,-0.73,163.95,93.95,156.93,36.7,0.36
TBZ,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,64.7367,SUCCESS,69.7,60.0,2021-04-14,2021-07-20,66.0,88.85,2021-06-04,58.2,2021-04-22,37.25,-10.1,47.35,84.55,30.61,59.45,-8.17
TBZ,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,79.2133,SUCCESS,94.4,73.6,2021-10-09,2022-01-20,71.0,104.4,2021-10-28,73.5,2021-12-20,31.8,-7.21,39.01,101.55,28.2,74.0,-6.58
TBZ,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,71.49,SUCCESS,76.9,67.2,2022-04-09,2022-07-20,70.0,76.75,2022-04-11,50.85,2022-06-20,7.36,-28.87,36.23,73.8,3.23,52.0,-27.26
TBZ,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,79.67,SUCCESS,85.5,74.0,2022-10-12,2023-01-20,71.0,83.4,2022-10-18,64.8,2022-12-23,4.68,-18.66,23.35,82.5,3.55,66.3,-16.78
TBZ,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,63.8633,SUCCESS,68.8,58.15,2023-04-13,2023-07-20,68.0,92.0,2023-06-09,65.95,2023-04-20,44.06,3.27,40.79,89.25,39.75,66.15,3.58
TBZ,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,113.85,SUCCESS,129.25,107.45,2023-10-12,2024-01-20,70.0,144.95,2023-12-21,108.65,2023-10-26,27.32,-4.57,31.88,140.3,23.23,114.8,0.83
TBZ,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,112.08,SUCCESS,123.55,98.55,2024-04-13,2024-07-20,66.0,153.9,2024-07-11,93.05,2024-06-04,37.31,-16.98,54.29,148.52,32.51,97.7,-12.83
TBZ,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,277.1593,SUCCESS,306.95,237.1,2024-10-12,2025-01-20,68.0,310.95,2024-10-16,197.56,2025-01-13,12.19,-28.72,40.91,306.8,10.69,200.55,-27.64
TBZ,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,185.9347,SUCCESS,208.5,163.64,2025-04-12,2025-07-20,67.0,232.65,2025-04-22,181.55,2025-05-07,25.12,-2.36,27.48,221.03,18.88,182.94,-1.61
TBZ,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,185.4127,SUCCESS,191.86,179.21,2025-10-14,2026-01-20,67.0,199.45,2025-11-10,155.0,2025-12-18,7.57,-16.4,23.97,195.67,5.53,159.05,-14.22
TBZ,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,130.4987,SUCCESS,149.78,110.5,2026-04-16,2026-07-20,65.0,274.99,2026-07-15,126.36,2026-05-18,110.72,-3.17,113.89,262.09,100.84,128.96,-1.18
TBZ,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
