Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TCI,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-18,15.0,2.7747,SUCCESS,3.08,2.51,2002-04-19,2002-07-20,65.0,3.67,2002-04-29,2.35,2002-06-28,32.27,-15.31,47.57,3.38,21.82,2.35,-15.31
TCI,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-16,15.0,2.3587,SUCCESS,2.44,1.94,2002-10-17,2003-01-20,47.0,2.85,2002-11-26,1.98,2002-11-01,20.83,-16.05,36.89,2.68,13.62,2.07,-12.24
TCI,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-24,15.0,2.0753,SUCCESS,2.37,1.74,2003-04-25,2003-07-20,49.0,2.94,2003-07-08,1.95,2003-04-29,41.66,-6.04,47.7,2.91,40.22,1.97,-5.08
TCI,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,4.226,SUCCESS,4.54,3.79,2003-10-14,2004-01-20,69.0,7.24,2003-12-30,3.78,2003-11-10,71.32,-10.55,81.87,6.73,59.25,3.78,-10.55
TCI,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-15,15.0,4.4827,SUCCESS,5.39,3.73,2004-04-16,2004-07-20,64.0,5.94,2004-04-23,3.62,2004-05-21,32.51,-19.24,51.75,5.48,22.25,3.96,-11.66
TCI,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,6.312,SUCCESS,6.83,5.58,2004-10-09,2005-01-20,71.0,11.58,2004-12-14,6.05,2004-10-26,83.46,-4.15,87.61,10.83,71.58,6.22,-1.46
TCI,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,11.252,SUCCESS,15.01,9.72,2005-04-12,2005-07-20,72.0,29.16,2005-07-18,11.89,2005-04-15,159.15,5.67,153.48,27.77,146.8,12.47,10.82
TCI,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,22.4407,SUCCESS,23.62,20.22,2005-10-11,2006-01-20,70.0,33.39,2006-01-20,17.51,2005-10-27,48.79,-21.97,70.76,33.25,48.17,17.73,-20.99
TCI,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,32.8847,SUCCESS,36.5,30.24,2006-04-11,2006-07-20,71.0,46.33,2006-05-15,25.92,2006-06-16,40.89,-21.18,62.07,44.37,34.93,27.31,-16.95
TCI,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,37.0987,SUCCESS,42.12,31.36,2006-10-12,2007-01-20,69.0,52.38,2007-01-04,35.13,2006-11-13,41.19,-5.31,46.5,50.52,36.18,35.54,-4.2
TCI,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,31.864,SUCCESS,37.26,28.49,2007-04-12,2007-07-20,45.0,51.25,2007-06-08,32.48,2007-04-12,60.84,1.93,58.91,47.84,50.14,33.32,4.57
TCI,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,21.07,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TCI,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,21.07,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TCI,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,21.07,SUCCESS,24.38,18.44,2009-01-17,2009-01-20,2.0,20.98,2009-01-19,18.5,2009-01-20,-0.43,-12.2,11.77,19.01,-9.78,18.5,-12.2
TCI,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,20.1833,SUCCESS,29.7,17.42,2009-04-16,2009-07-20,65.0,46.22,2009-06-03,21.9,2009-04-27,129.0,8.51,120.5,43.55,115.77,22.84,13.16
TCI,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,46.9487,SUCCESS,53.76,44.28,2009-10-16,2010-01-20,65.0,74.14,2010-01-20,39.69,2009-11-03,57.92,-15.46,73.38,66.69,42.05,40.01,-14.78
TCI,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,57.3727,SUCCESS,63.34,53.35,2010-04-14,2010-07-20,69.0,77.11,2010-07-20,56.86,2010-04-19,34.4,-0.89,35.3,74.3,29.5,57.48,0.19
TCI,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,76.696,SUCCESS,82.08,74.52,2010-10-09,2011-01-20,72.0,85.86,2010-10-13,52.95,2010-12-10,11.95,-30.96,42.91,83.35,8.68,54.11,-29.45
TCI,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,52.4047,SUCCESS,56.75,50.3,2011-04-09,2011-07-20,70.0,57.24,2011-04-15,44.09,2011-07-01,9.23,-15.87,25.09,54.0,3.04,45.09,-13.96
TCI,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,45.036,SUCCESS,51.84,42.2,2011-10-12,2012-01-20,70.0,43.96,2011-10-13,28.62,2011-12-20,-2.39,-36.45,34.06,43.44,-3.54,29.0,-35.61
TCI,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,33.2867,SUCCESS,35.1,31.32,2012-04-12,2012-07-20,72.0,36.72,2012-07-17,28.08,2012-05-23,10.31,-15.64,25.96,36.18,8.69,29.16,-12.4
TCI,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,33.77,SUCCESS,37.1,31.32,2012-10-12,2013-01-20,67.0,48.44,2012-12-12,33.16,2012-10-31,43.44,-1.81,45.25,44.87,32.87,33.86,0.27
TCI,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,29.754,SUCCESS,32.24,28.32,2013-04-12,2013-07-20,69.0,33.48,2013-05-20,27.0,2013-07-15,12.52,-9.26,21.78,32.21,8.25,27.7,-6.9
