Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TEGA,2021,20-March,2021-03-20,2021-12-13,2021-12-13,2021-12-31,15.0,606.96,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TEGA,2021,20-September,2021-09-20,2021-12-13,2021-12-13,2021-12-31,15.0,606.96,SUCCESS,767.7,545.4,2022-01-01,2022-01-20,14.0,606.6,2022-01-03,570.0,2022-01-20,-0.06,-6.09,6.03,598.05,-1.47,571.4,-5.86
TEGA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,479.7867,SUCCESS,513.2,466.25,2022-04-09,2022-07-20,70.0,507.7,2022-07-13,401.55,2022-05-02,5.82,-16.31,22.12,483.9,0.86,419.0,-12.67
TEGA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,541.4367,SUCCESS,585.0,511.8,2022-10-12,2023-01-20,71.0,659.0,2022-12-06,518.3,2022-10-17,21.71,-4.27,25.99,629.2,16.21,527.5,-2.57
TEGA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,683.08,SUCCESS,726.0,626.65,2023-04-13,2023-07-20,68.0,1080.9,2023-07-19,644.1,2023-04-26,58.24,-5.71,63.95,1067.85,56.33,652.5,-4.48
TEGA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,915.18,SUCCESS,976.95,870.05,2023-10-12,2024-01-20,70.0,1224.4,2023-12-27,841.7,2023-10-26,33.79,-8.03,41.82,1207.3,31.92,847.7,-7.37
TEGA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1298.1767,SUCCESS,1385.0,1212.55,2024-04-13,2024-07-20,66.0,1917.85,2024-07-09,1270.0,2024-06-04,47.73,-2.17,49.9,1845.15,42.13,1351.7,4.12
TEGA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1887.6767,SUCCESS,2034.95,1800.0,2024-10-12,2025-01-20,68.0,2328.9,2024-11-07,1520.0,2024-12-31,23.37,-19.48,42.85,2197.75,16.43,1538.15,-18.52
TEGA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1437.9633,SUCCESS,1535.85,1200.05,2025-04-12,2025-07-20,67.0,1969.0,2025-07-16,1240.0,2025-05-09,36.93,-13.77,50.7,1938.0,34.77,1271.4,-11.58
TEGA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1934.02,SUCCESS,2031.0,1868.4,2025-10-14,2026-01-20,67.0,2010.0,2025-12-22,1772.0,2026-01-20,3.93,-8.38,12.31,2001.6,3.49,1791.8,-7.35
TEGA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,1689.8067,SUCCESS,1778.0,1560.8,2026-04-16,2026-07-20,65.0,1894.0,2026-06-04,1522.2,2026-05-29,12.08,-9.92,22.0,1872.2,10.79,1556.0,-7.92
TEGA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
