Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TEXMOPIPES,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,92.44,SUCCESS,114.25,77.0,2010-04-14,2010-07-20,69.0,81.7,2010-04-15,39.25,2010-06-07,-11.62,-57.54,45.92,78.85,-14.7,39.85,-56.89
TEXMOPIPES,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,67.7733,SUCCESS,72.9,59.05,2010-10-09,2011-01-20,72.0,71.3,2010-10-12,38.05,2011-01-20,5.2,-43.86,49.06,66.6,-1.73,38.5,-43.19
TEXMOPIPES,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,35.5,SUCCESS,52.35,30.15,2011-04-09,2011-07-20,70.0,48.7,2011-07-20,31.4,2011-06-21,37.18,-11.55,48.73,45.2,27.32,32.8,-7.61
TEXMOPIPES,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,36.5033,SUCCESS,45.9,33.15,2011-10-12,2012-01-20,70.0,35.9,2011-10-13,15.0,2011-12-30,-1.65,-58.91,57.26,34.9,-4.39,15.35,-57.95
TEXMOPIPES,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,21.23,SUCCESS,22.9,20.15,2012-04-12,2012-07-20,72.0,28.0,2012-06-13,10.6,2012-07-19,31.89,-50.07,81.96,26.9,26.71,11.0,-48.19
TEXMOPIPES,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,9.4233,SUCCESS,10.0,8.6,2012-10-12,2013-01-20,67.0,11.0,2012-10-25,7.65,2013-01-16,16.73,-18.82,35.55,10.5,11.43,8.6,-8.74
TEXMOPIPES,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,5.3567,SUCCESS,6.45,4.2,2013-04-12,2013-07-20,69.0,6.7,2013-05-16,2.7,2013-06-25,25.08,-49.6,74.67,6.4,19.48,2.95,-44.93
TEXMOPIPES,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,4.7,SUCCESS,5.1,4.3,2013-10-12,2014-01-20,68.0,8.3,2013-12-30,4.8,2013-10-14,76.6,2.13,74.47,7.7,63.83,5.0,6.38
TEXMOPIPES,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,6.2167,SUCCESS,7.4,5.0,2014-04-10,2014-07-20,44.0,12.3,2014-06-10,6.7,2014-04-10,97.86,7.77,90.08,10.95,76.14,6.85,10.19
TEXMOPIPES,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,21.67,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TEXMOPIPES,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,21.67,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TEXMOPIPES,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,21.67,SUCCESS,31.0,13.2,2016-01-16,2016-01-20,3.0,24.15,2016-01-18,21.85,2016-01-20,11.44,0.83,10.61,24.15,11.44,22.95,5.91
TEXMOPIPES,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,22.9867,SUCCESS,24.95,19.6,2016-04-13,2016-07-20,67.0,39.75,2016-05-09,22.2,2016-04-20,72.93,-3.42,76.35,38.35,66.84,22.75,-1.03
TEXMOPIPES,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,28.7267,SUCCESS,31.95,24.95,2016-10-11,2017-01-20,71.0,29.8,2016-10-13,18.0,2017-01-03,3.74,-37.34,41.08,28.3,-1.49,18.55,-35.43
TEXMOPIPES,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,19.78,SUCCESS,22.6,17.9,2017-04-11,2017-07-20,70.0,28.7,2017-04-18,19.4,2017-05-25,45.1,-1.92,47.02,27.75,40.29,20.1,1.62
TEXMOPIPES,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,22.09,SUCCESS,26.5,20.25,2017-10-12,2018-01-20,70.0,34.8,2017-11-27,22.25,2017-10-12,57.54,0.72,56.81,33.1,49.84,23.3,5.48
