Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
TGBHOTELS,2007,20-March,2007-03-20,2007-05-17,2007-05-17,2007-06-06,15.0,45.8733,SUCCESS,57.35,30.0,2007-06-07,2007-07-20,7.0,43.5,2007-06-15,35.6,2007-06-12,-5.17,-22.4,17.22,41.55,-9.42,36.4,-20.65
TGBHOTELS,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,25.8433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TGBHOTELS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,25.8433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TGBHOTELS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,25.8433,SUCCESS,28.9,22.2,2009-01-17,2009-01-20,2.0,25.0,2009-01-20,22.15,2009-01-19,-3.26,-14.29,11.03,24.4,-5.58,23.95,-7.33
TGBHOTELS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,24.0867,SUCCESS,31.0,20.55,2009-04-16,2009-07-20,65.0,48.55,2009-06-02,27.05,2009-04-16,101.56,12.3,89.26,47.05,95.34,29.0,20.4
TGBHOTELS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,46.7667,SUCCESS,54.0,40.1,2009-10-16,2010-01-20,65.0,96.5,2010-01-18,37.15,2009-11-03,106.34,-20.56,126.91,92.55,97.9,38.7,-17.25
TGBHOTELS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,74.3467,SUCCESS,84.5,63.5,2010-04-14,2010-07-20,69.0,122.85,2010-07-20,72.0,2010-05-21,65.24,-3.16,68.4,119.0,60.06,75.0,0.88
TGBHOTELS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,177.5933,SUCCESS,189.75,166.0,2010-10-09,2011-01-20,72.0,196.0,2010-10-22,102.0,2011-01-10,10.36,-42.57,52.93,191.95,8.08,106.75,-39.89
TGBHOTELS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,106.3167,SUCCESS,117.75,93.1,2011-04-09,2011-07-20,70.0,115.0,2011-06-29,85.0,2011-06-14,8.17,-20.05,28.22,110.1,3.56,89.0,-16.29
TGBHOTELS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,78.4867,SUCCESS,89.85,71.0,2011-10-12,2012-01-20,70.0,89.7,2012-01-10,54.55,2011-12-20,14.29,-30.5,44.78,80.6,2.69,59.0,-24.83
TGBHOTELS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,75.1533,SUCCESS,84.7,66.25,2012-04-12,2012-07-20,72.0,81.9,2012-04-18,57.7,2012-05-30,8.98,-23.22,32.2,80.0,6.45,58.1,-22.69
TGBHOTELS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,70.6533,SUCCESS,77.5,63.5,2012-10-12,2013-01-20,67.0,102.9,2013-01-18,66.5,2012-11-05,45.64,-5.88,51.52,95.65,35.38,68.3,-3.33
TGBHOTELS,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,49.7367,SUCCESS,58.5,44.3,2013-04-12,2013-07-20,68.0,53.0,2013-06-03,42.5,2013-05-30,6.56,-14.55,21.11,51.0,2.54,44.7,-10.13
TGBHOTELS,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,55.8033,SUCCESS,62.25,51.0,2013-10-12,2014-01-20,68.0,78.0,2013-11-03,55.4,2013-10-14,39.78,-0.72,40.5,74.55,33.59,58.2,4.29
TGBHOTELS,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-10,15.0,49.4167,SUCCESS,52.95,46.5,2014-04-11,2014-07-20,43.0,81.95,2014-06-10,47.3,2014-05-09,65.83,-4.28,70.12,79.8,61.48,48.2,-2.46
TGBHOTELS,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,115.5833,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TGBHOTELS,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,115.5833,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
TGBHOTELS,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,115.5833,SUCCESS,135.5,94.0,2016-01-16,2016-01-20,3.0,102.0,2016-01-19,79.2,2016-01-20,-11.75,-31.48,19.73,99.0,-14.35,79.9,-30.87
TGBHOTELS,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,71.5,SUCCESS,80.95,65.3,2016-04-13,2016-07-20,67.0,83.75,2016-07-11,56.3,2016-06-09,17.13,-21.26,38.39,79.05,10.56,57.8,-19.16
